model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	217.437	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4023.710	0.000	0.000	3781.980	0.000	0.000	0.000	16.551	0.000	-541.126	0.000	0.000	0.000	0.000	3389.320	-93.260	0.000	0.000
../06_emref/emref_4.pdb	-	2	237.728	25.850	0.000	55.875	41.199	0.009	27.364	-	-	-	4433.090	0.000	0.000	3957.050	0.000	0.000	0.000	-10.522	0.000	-476.718	0.000	0.000	0.000	0.000	3856.660	-99.715	0.000	0.000
../06_emref/emref_2.pdb	-	3	244.029	26.946	0.000	68.468	42.049	0.006	25.900	-	-	-	4084.220	0.000	0.000	3063.950	0.000	0.000	0.000	7.876	0.000	-512.959	0.000	0.000	0.000	0.000	3501.580	-69.677	0.000	0.000
../06_emref/emref_9.pdb	-	4	272.956	26.817	0.007	69.112	46.276	0.008	25.771	-	-	-	4576.130	0.000	0.000	3261.560	0.000	0.000	0.000	16.715	0.000	-553.666	0.000	0.000	0.000	0.000	3931.830	-90.639	0.000	0.000
../06_emref/emref_11.pdb	-	5	282.031	16.683	0.000	52.969	33.938	0.011	19.405	-	-	-	4409.520	0.000	0.000	2981.620	0.000	0.000	0.000	-9.026	0.000	-358.483	0.000	0.000	0.000	0.000	3972.840	-78.198	0.000	0.000
../06_emref/emref_18.pdb	-	6	286.851	25.757	0.000	70.434	44.863	0.006	27.799	-	-	-	4554.250	0.000	0.000	3362.520	0.000	0.000	0.000	-0.193	0.000	-423.149	0.000	0.000	0.000	0.000	4047.350	-83.751	0.000	0.000
../06_emref/emref_8.pdb	-	7	291.016	7.966	0.044	15.215	13.140	0.105	9.886	-	-	-	4483.230	0.000	0.000	3118.000	0.000	0.000	0.000	19.177	0.000	-552.740	0.000	0.000	0.000	0.000	3864.550	-65.936	0.000	0.000
../06_emref/emref_3.pdb	-	8	291.121	25.528	0.029	68.854	46.250	0.016	26.442	-	-	-	4723.370	0.000	0.000	4043.510	0.000	0.000	0.000	5.836	0.000	-390.020	0.000	0.000	0.000	0.000	4224.300	-109.048	0.000	0.000
../06_emref/emref_35.pdb	-	9	296.155	4.383	0.110	10.816	9.777	0.199	4.569	-	-	-	4792.040	0.000	0.000	3539.670	0.000	0.000	0.000	8.896	0.000	-409.161	0.000	0.000	0.000	0.000	4272.770	-110.113	0.000	0.000
../06_emref/emref_16.pdb	-	10	297.996	1.357	0.662	3.226	2.660	0.695	1.334	-	-	-	4537.300	0.000	0.000	3360.330	0.000	0.000	0.000	21.721	0.000	-483.219	0.000	0.000	0.000	0.000	3973.270	-80.812	0.000	0.000
../06_emref/emref_24.pdb	-	11	299.700	28.428	0.029	66.343	43.211	0.016	27.803	-	-	-	4474.860	0.000	0.000	3461.150	0.000	0.000	0.000	22.953	0.000	-460.163	0.000	0.000	0.000	0.000	3935.990	-78.707	0.000	0.000
../06_emref/emref_28.pdb	-	12	302.860	13.597	0.000	43.363	23.153	0.016	20.651	-	-	-	4435.780	0.000	0.000	2753.760	0.000	0.000	0.000	20.068	0.000	-548.148	0.000	0.000	0.000	0.000	3836.480	-51.157	0.000	0.000
../06_emref/emref_7.pdb	-	13	302.945	10.303	0.000	24.458	22.046	0.043	10.095	-	-	-	4495.930	0.000	0.000	2876.680	0.000	0.000	0.000	18.188	0.000	-531.376	0.000	0.000	0.000	0.000	3906.000	-58.561	0.000	0.000
../06_emref/emref_15.pdb	-	14	305.473	12.793	0.000	34.141	24.517	0.024	17.143	-	-	-	4661.920	0.000	0.000	3112.060	0.000	0.000	0.000	9.940	0.000	-384.033	0.000	0.000	0.000	0.000	4184.040	-93.852	0.000	0.000
../06_emref/emref_14.pdb	-	15	306.069	14.587	0.015	51.246	26.070	0.017	19.374	-	-	-	4673.400	0.000	0.000	3565.520	0.000	0.000	0.000	18.528	0.000	-599.127	0.000	0.000	0.000	0.000	4014.300	-59.973	0.000	0.000
../06_emref/emref_19.pdb	-	16	306.292	14.709	0.000	45.138	37.889	0.015	13.448	-	-	-	4933.310	0.000	0.000	3401.730	0.000	0.000	0.000	17.411	0.000	-497.972	0.000	0.000	0.000	0.000	4330.480	-104.856	0.000	0.000
../06_emref/emref_10.pdb	-	17	308.550	13.329	0.015	47.223	21.902	0.020	19.357	-	-	-	4662.440	0.000	0.000	3914.980	0.000	0.000	0.000	35.809	0.000	-621.165	0.000	0.000	0.000	0.000	3972.010	-69.270	0.000	0.000
../06_emref/emref_6.pdb	-	18	309.962	14.143	0.000	61.748	39.988	0.010	13.263	-	-	-	4995.130	0.000	0.000	3387.430	0.000	0.000	0.000	27.259	0.000	-621.833	0.000	0.000	0.000	0.000	4280.850	-92.443	0.000	0.000
../06_emref/emref_25.pdb	-	19	311.191	5.203	0.250	14.022	10.918	0.198	5.880	-	-	-	4736.040	0.000	0.000	3185.340	0.000	0.000	0.000	10.297	0.000	-377.998	0.000	0.000	0.000	0.000	4260.940	-97.111	0.000	0.000
../06_emref/emref_22.pdb	-	20	314.037	14.926	0.044	47.007	29.189	0.029	16.500	-	-	-	4654.070	0.000	0.000	3317.730	0.000	0.000	0.000	10.901	0.000	-473.684	0.000	0.000	0.000	0.000	4112.850	-67.534	0.000	0.000
../06_emref/emref_5.pdb	-	21	318.031	16.636	0.000	52.145	42.269	0.011	19.603	-	-	-	4453.080	0.000	0.000	3446.770	0.000	0.000	0.000	9.688	0.000	-389.311	0.000	0.000	0.000	0.000	4004.670	-59.103	0.000	0.000
../06_emref/emref_30.pdb	-	22	323.326	14.535	0.007	49.785	25.261	0.015	18.132	-	-	-	4581.170	0.000	0.000	3206.860	0.000	0.000	0.000	0.745	0.000	-297.645	0.000	0.000	0.000	0.000	4207.520	-76.007	0.000	0.000
../06_emref/emref_21.pdb	-	23	324.808	26.421	0.000	60.786	44.937	0.007	25.325	-	-	-	4427.140	0.000	0.000	2775.590	0.000	0.000	0.000	22.998	0.000	-400.708	0.000	0.000	0.000	0.000	3965.670	-60.763	0.000	0.000
../06_emref/emref_23.pdb	-	24	326.623	25.812	0.000	52.622	45.808	0.010	25.471	-	-	-	4897.720	0.000	0.000	3354.900	0.000	0.000	0.000	16.591	0.000	-416.920	0.000	0.000	0.000	0.000	4384.440	-96.356	0.000	0.000
../06_emref/emref_32.pdb	-	25	328.348	29.727	0.000	66.841	45.104	0.006	30.479	-	-	-	4912.700	0.000	0.000	2993.710	0.000	0.000	0.000	24.254	0.000	-561.635	0.000	0.000	0.000	0.000	4276.210	-74.849	0.000	0.000
../06_emref/emref_20.pdb	-	26	333.674	25.909	0.022	65.859	43.455	0.014	26.740	-	-	-	4537.920	0.000	0.000	2864.760	0.000	0.000	0.000	14.822	0.000	-368.076	0.000	0.000	0.000	0.000	4108.520	-61.325	0.000	0.000
../06_emref/emref_13.pdb	-	27	335.578	16.140	0.000	40.484	38.134	0.017	18.700	-	-	-	4932.400	0.000	0.000	3620.990	0.000	0.000	0.000	2.624	0.000	-445.298	0.000	0.000	0.000	0.000	4415.880	-71.227	0.000	0.000
../06_emref/emref_40.pdb	-	28	337.624	23.023	0.029	63.338	38.603	0.017	22.516	-	-	-	4990.370	0.000	0.000	2878.310	0.000	0.000	0.000	-7.248	0.000	-334.924	0.000	0.000	0.000	0.000	4568.270	-87.180	0.000	0.000
../06_emref/emref_31.pdb	-	29	339.909	29.691	0.000	73.880	54.057	0.005	29.908	-	-	-	4779.250	0.000	0.000	3268.690	0.000	0.000	0.000	13.380	0.000	-345.790	0.000	0.000	0.000	0.000	4351.220	-82.239	0.000	0.000
../06_emref/emref_36.pdb	-	30	345.456	13.375	0.000	45.005	21.715	0.016	21.638	-	-	-	4960.360	0.000	0.000	2848.460	0.000	0.000	0.000	11.369	0.000	-448.270	0.000	0.000	0.000	0.000	4439.790	-72.295	0.000	0.000
../06_emref/emref_17.pdb	-	31	347.733	13.320	0.000	45.262	21.913	0.016	20.757	-	-	-	4589.300	0.000	0.000	2525.560	0.000	0.000	0.000	15.306	0.000	-469.368	0.000	0.000	0.000	0.000	4087.300	-32.629	0.000	0.000
../06_emref/emref_27.pdb	-	32	352.406	13.430	0.029	43.211	22.665	0.026	18.321	-	-	-	5042.810	0.000	0.000	3401.530	0.000	0.000	0.000	2.291	0.000	-374.250	0.000	0.000	0.000	0.000	4589.240	-79.316	0.000	0.000
../06_emref/emref_33.pdb	-	33	359.959	17.387	0.000	58.379	30.592	0.009	19.784	-	-	-	5017.250	0.000	0.000	2586.560	0.000	0.000	0.000	-16.214	0.000	-311.224	0.000	0.000	0.000	0.000	4642.720	-63.308	0.000	0.000
../06_emref/emref_38.pdb	-	34	360.087	13.638	0.000	35.524	28.383	0.022	17.106	-	-	-	4938.210	0.000	0.000	2523.280	0.000	0.000	0.000	2.095	0.000	-375.790	0.000	0.000	0.000	0.000	4501.750	-60.670	0.000	0.000
../06_emref/emref_26.pdb	-	35	361.512	10.182	0.000	27.070	18.052	0.037	13.558	-	-	-	4724.280	0.000	0.000	2380.460	0.000	0.000	0.000	27.407	0.000	-534.349	0.000	0.000	0.000	0.000	4158.480	-31.454	0.000	0.000
../06_emref/emref_45.pdb	-	36	369.449	23.611	0.022	64.725	40.726	0.014	25.696	-	-	-	4724.140	0.000	0.000	2803.930	0.000	0.000	0.000	12.061	0.000	-194.690	0.000	0.000	0.000	0.000	4453.360	-76.089	0.000	0.000
../06_emref/emref_48.pdb	-	37	369.748	9.289	0.007	22.346	19.473	0.053	9.931	-	-	-	5127.620	0.000	0.000	2905.880	0.000	0.000	0.000	12.357	0.000	-350.603	0.000	0.000	0.000	0.000	4691.770	-85.249	0.000	0.000
../06_emref/emref_39.pdb	-	38	370.983	21.119	0.000	50.442	36.930	0.011	22.434	-	-	-	5177.650	0.000	0.000	2998.760	0.000	0.000	0.000	15.673	0.000	-513.707	0.000	0.000	0.000	0.000	4604.230	-59.713	0.000	0.000
../06_emref/emref_46.pdb	-	39	371.303	16.415	0.000	52.945	29.237	0.011	18.819	-	-	-	4897.020	0.000	0.000	2926.850	0.000	0.000	0.000	-3.569	0.000	-218.632	0.000	0.000	0.000	0.000	4607.280	-71.103	0.000	0.000
../06_emref/emref_12.pdb	-	40	374.619	15.196	0.044	46.472	29.001	0.029	18.004	-	-	-	5217.610	0.000	0.000	3079.260	0.000	0.000	0.000	24.500	0.000	-551.598	0.000	0.000	0.000	0.000	4604.690	-61.323	0.000	0.000
../06_emref/emref_34.pdb	-	41	377.642	11.470	0.029	36.332	22.131	0.033	14.284	-	-	-	5197.250	0.000	0.000	3425.210	0.000	0.000	0.000	4.228	0.000	-357.664	0.000	0.000	0.000	0.000	4764.810	-74.778	0.000	0.000
../06_emref/emref_29.pdb	-	42	377.986	9.998	0.000	37.699	26.223	0.023	10.361	-	-	-	5320.970	0.000	0.000	2945.940	0.000	0.000	0.000	20.609	0.000	-613.154	0.000	0.000	0.000	0.000	4655.730	-52.089	0.000	0.000
../06_emref/emref_37.pdb	-	43	385.859	11.632	0.037	36.086	22.764	0.035	13.532	-	-	-	4940.760	0.000	0.000	2923.380	0.000	0.000	0.000	35.114	0.000	-478.815	0.000	0.000	0.000	0.000	4414.380	-47.568	0.000	0.000
../06_emref/emref_50.pdb	-	44	388.883	12.476	0.000	40.423	29.895	0.019	11.944	-	-	-	5009.910	0.000	0.000	2753.770	0.000	0.000	0.000	18.292	0.000	-281.741	0.000	0.000	0.000	0.000	4654.120	-74.052	0.000	0.000
../06_emref/emref_49.pdb	-	45	400.669	23.699	0.000	69.343	46.727	0.006	24.386	-	-	-	5522.810	0.000	0.000	3354.260	0.000	0.000	0.000	8.372	0.000	-355.556	0.000	0.000	0.000	0.000	5078.380	-88.873	0.000	0.000
