model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	229.765	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4035.830	0.000	0.000	3627.910	0.000	0.000	0.000	11.179	0.000	-556.038	0.000	0.000	0.000	0.000	3406.000	-73.790	0.000	0.000
../06_emref/emref_3.pdb	-	2	233.957	14.649	0.007	30.632	23.650	0.030	17.742	-	-	-	4008.340	0.000	0.000	3624.150	0.000	0.000	0.000	25.272	0.000	-474.716	0.000	0.000	0.000	0.000	3436.410	-97.206	0.000	0.000
../06_emref/emref_22.pdb	-	3	252.259	16.148	0.000	78.237	30.170	0.007	16.919	-	-	-	3928.510	0.000	0.000	2740.410	0.000	0.000	0.000	5.392	0.000	-351.084	0.000	0.000	0.000	0.000	3501.660	-75.767	0.000	0.000
../06_emref/emref_5.pdb	-	4	253.300	17.618	0.021	92.261	33.404	0.012	18.849	-	-	-	4133.660	0.000	0.000	3147.690	0.000	0.000	0.000	3.660	0.000	-418.166	0.000	0.000	0.000	0.000	3635.410	-80.093	0.000	0.000
../06_emref/emref_4.pdb	-	5	258.147	14.801	0.000	31.204	27.089	0.026	15.599	-	-	-	4139.310	0.000	0.000	3539.350	0.000	0.000	0.000	15.119	0.000	-393.695	0.000	0.000	0.000	0.000	3653.450	-92.164	0.000	0.000
../06_emref/emref_13.pdb	-	6	258.559	22.402	0.000	78.556	38.849	0.005	25.486	-	-	-	4065.760	0.000	0.000	3482.650	0.000	0.000	0.000	16.836	0.000	-428.752	0.000	0.000	0.000	0.000	3557.900	-79.102	0.000	0.000
../06_emref/emref_23.pdb	-	7	264.665	20.810	0.007	86.578	41.369	0.007	21.671	-	-	-	4101.720	0.000	0.000	3299.170	0.000	0.000	0.000	13.306	0.000	-345.084	0.000	0.000	0.000	0.000	3666.840	-89.796	0.000	0.000
../06_emref/emref_21.pdb	-	8	282.754	17.384	0.000	47.972	36.026	0.013	19.330	-	-	-	4108.610	0.000	0.000	3269.440	0.000	0.000	0.000	13.759	0.000	-244.870	0.000	0.000	0.000	0.000	3770.850	-92.892	0.000	0.000
../06_emref/emref_8.pdb	-	9	287.781	19.027	0.000	84.057	36.405	0.005	21.132	-	-	-	4520.070	0.000	0.000	3452.840	0.000	0.000	0.000	24.481	0.000	-524.879	0.000	0.000	0.000	0.000	3911.460	-83.731	0.000	0.000
../06_emref/emref_16.pdb	-	10	288.244	24.367	0.000	87.411	44.300	0.004	25.500	-	-	-	4295.540	0.000	0.000	3028.340	0.000	0.000	0.000	22.267	0.000	-397.542	0.000	0.000	0.000	0.000	3813.930	-84.068	0.000	0.000
