model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_2.pdb	-	1	239.042	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4375.780	0.000	0.000	4167.160	0.000	0.000	0.000	26.515	0.000	-489.429	0.000	0.000	0.000	0.000	3759.190	-127.165	0.000	0.000
../06_emref/emref_3.pdb	-	2	244.051	28.900	0.000	72.754	59.586	0.005	26.833	-	-	-	4325.870	0.000	0.000	3449.410	0.000	0.000	0.000	13.150	0.000	-504.593	0.000	0.000	0.000	0.000	3720.510	-100.767	0.000	0.000
../06_emref/emref_4.pdb	-	3	259.078	31.666	0.000	65.084	59.840	0.006	30.234	-	-	-	4435.950	0.000	0.000	3308.880	0.000	0.000	0.000	15.558	0.000	-538.607	0.000	0.000	0.000	0.000	3804.990	-92.353	0.000	0.000
../06_emref/emref_10.pdb	-	4	289.216	16.426	0.000	43.137	36.868	0.015	16.771	-	-	-	4699.140	0.000	0.000	3942.890	0.000	0.000	0.000	20.153	0.000	-409.106	0.000	0.000	0.000	0.000	4171.000	-119.030	0.000	0.000
../06_emref/emref_1.pdb	-	5	289.589	20.715	0.000	52.413	42.092	0.010	21.172	-	-	-	4460.190	0.000	0.000	3319.060	0.000	0.000	0.000	9.706	0.000	-470.989	0.000	0.000	0.000	0.000	3917.260	-71.939	0.000	0.000
../06_emref/emref_13.pdb	-	6	296.331	17.386	0.000	45.396	37.879	0.014	18.111	-	-	-	4603.640	0.000	0.000	3594.620	0.000	0.000	0.000	6.493	0.000	-443.711	0.000	0.000	0.000	0.000	4078.140	-81.783	0.000	0.000
../06_emref/emref_8.pdb	-	7	297.354	20.331	0.000	52.418	42.477	0.010	20.843	-	-	-	4522.130	0.000	0.000	3550.030	0.000	0.000	0.000	11.504	0.000	-426.110	0.000	0.000	0.000	0.000	4014.880	-81.141	0.000	0.000
../06_emref/emref_18.pdb	-	8	302.420	29.941	0.000	79.234	63.130	0.005	26.470	-	-	-	4903.400	0.000	0.000	4074.610	0.000	0.000	0.000	25.805	0.000	-573.862	0.000	0.000	0.000	0.000	4230.590	-98.952	0.000	0.000
../06_emref/emref_7.pdb	-	9	307.541	21.341	0.000	46.931	47.665	0.012	21.645	-	-	-	5114.770	0.000	0.000	3555.890	0.000	0.000	0.000	-12.657	0.000	-410.921	0.000	0.000	0.000	0.000	4594.760	-109.095	0.000	0.000
../06_emref/emref_12.pdb	-	10	312.117	30.989	0.000	79.682	66.486	0.005	27.619	-	-	-	4981.930	0.000	0.000	3520.720	0.000	0.000	0.000	7.689	0.000	-443.587	0.000	0.000	0.000	0.000	4433.290	-105.047	0.000	0.000
../06_emref/emref_14.pdb	-	11	313.211	16.287	0.000	42.405	36.530	0.016	16.539	-	-	-	4891.900	0.000	0.000	3869.630	0.000	0.000	0.000	15.678	0.000	-460.076	0.000	0.000	0.000	0.000	4332.180	-99.641	0.000	0.000
../06_emref/emref_6.pdb	-	12	320.207	18.480	0.000	45.127	43.033	0.014	19.080	-	-	-	4814.390	0.000	0.000	3191.310	0.000	0.000	0.000	19.877	0.000	-599.823	0.000	0.000	0.000	0.000	4153.420	-61.144	0.000	0.000
