model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	275.941	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4324.580	0.000	0.000	3514.360	0.000	0.000	0.000	7.604	0.000	-382.259	0.000	0.000	0.000	0.000	3854.650	-87.669	0.000	0.000
../06_emref/emref_2.pdb	-	2	295.575	16.254	0.000	45.204	42.924	0.014	15.063	-	-	-	4524.830	0.000	0.000	3649.860	0.000	0.000	0.000	19.491	0.000	-491.632	0.000	0.000	0.000	0.000	3955.130	-78.073	0.000	0.000
../06_emref/emref_16.pdb	-	3	297.591	20.959	0.000	61.578	34.544	0.008	23.461	-	-	-	4545.070	0.000	0.000	3164.480	0.000	0.000	0.000	9.545	0.000	-355.792	0.000	0.000	0.000	0.000	4093.980	-95.302	0.000	0.000
../06_emref/emref_11.pdb	-	4	298.681	28.746	0.000	80.789	59.081	0.005	27.984	-	-	-	4571.620	0.000	0.000	3213.460	0.000	0.000	0.000	5.422	0.000	-310.425	0.000	0.000	0.000	0.000	4159.380	-101.818	0.000	0.000
../06_emref/emref_14.pdb	-	5	298.859	20.390	0.000	62.042	36.684	0.008	26.983	-	-	-	4612.000	0.000	0.000	2899.070	0.000	0.000	0.000	-1.282	0.000	-391.468	0.000	0.000	0.000	0.000	4137.760	-82.766	0.000	0.000
../06_emref/emref_3.pdb	-	6	313.805	27.332	0.000	74.127	42.270	0.005	28.980	-	-	-	5081.820	0.000	0.000	3639.950	0.000	0.000	0.000	3.623	0.000	-451.282	0.000	0.000	0.000	0.000	4522.790	-107.744	0.000	0.000
../06_emref/emref_12.pdb	-	7	320.731	15.498	0.000	50.422	37.442	0.012	17.214	-	-	-	4709.550	0.000	0.000	3407.720	0.000	0.000	0.000	24.973	0.000	-494.798	0.000	0.000	0.000	0.000	4138.520	-76.237	0.000	0.000
../06_emref/emref_15.pdb	-	8	320.968	29.376	0.000	75.505	48.446	0.005	30.748	-	-	-	4893.920	0.000	0.000	3240.130	0.000	0.000	0.000	3.525	0.000	-425.732	0.000	0.000	0.000	0.000	4381.380	-86.803	0.000	0.000
../06_emref/emref_4.pdb	-	9	324.003	1.579	0.545	3.757	3.162	0.619	1.380	-	-	-	4901.630	0.000	0.000	3308.310	0.000	0.000	0.000	16.932	0.000	-607.793	0.000	0.000	0.000	0.000	4232.300	-61.533	0.000	0.000
../06_emref/emref_6.pdb	-	10	324.115	29.970	0.000	78.809	64.811	0.005	31.844	-	-	-	4658.360	0.000	0.000	3096.070	0.000	0.000	0.000	31.510	0.000	-420.573	0.000	0.000	0.000	0.000	4148.670	-89.117	0.000	0.000
../06_emref/emref_27.pdb	-	11	324.681	27.627	0.000	77.069	53.445	0.005	27.318	-	-	-	4562.580	0.000	0.000	3500.320	0.000	0.000	0.000	5.399	0.000	-244.192	0.000	0.000	0.000	0.000	4230.250	-88.138	0.000	0.000
../06_emref/emref_13.pdb	-	12	326.360	17.272	0.000	51.855	43.463	0.011	17.965	-	-	-	4501.600	0.000	0.000	3415.870	0.000	0.000	0.000	24.570	0.000	-534.953	0.000	0.000	0.000	0.000	3925.270	-41.379	0.000	0.000
