model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_27.pdb	-	1	250.008	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3884.730	0.000	0.000	2952.240	0.000	0.000	0.000	6.432	0.000	-384.502	0.000	0.000	0.000	0.000	3432.230	-67.996	0.000	0.000
../06_emref/emref_6.pdb	-	2	255.480	19.740	0.064	88.170	29.952	0.026	25.523	-	-	-	4141.530	0.000	0.000	2952.720	0.000	0.000	0.000	9.467	0.000	-304.262	0.000	0.000	0.000	0.000	3729.980	-107.287	0.000	0.000
../06_emref/emref_1.pdb	-	3	268.597	17.766	0.000	30.363	34.691	0.027	16.210	-	-	-	4035.090	0.000	0.000	2812.190	0.000	0.000	0.000	33.773	0.000	-539.743	0.000	0.000	0.000	0.000	3434.610	-60.736	0.000	0.000
../06_emref/emref_10.pdb	-	4	280.027	16.821	0.000	87.640	36.014	0.006	20.738	-	-	-	4240.950	0.000	0.000	3301.200	0.000	0.000	0.000	5.579	0.000	-328.921	0.000	0.000	0.000	0.000	3828.170	-83.863	0.000	0.000
../06_emref/emref_7.pdb	-	5	280.345	18.003	0.000	66.759	35.803	0.008	24.456	-	-	-	4354.120	0.000	0.000	2653.630	0.000	0.000	0.000	-1.096	0.000	-353.076	0.000	0.000	0.000	0.000	3917.680	-83.356	0.000	0.000
../06_emref/emref_2.pdb	-	6	284.784	17.804	0.046	61.102	33.579	0.024	19.856	-	-	-	4168.460	0.000	0.000	2521.990	0.000	0.000	0.000	10.696	0.000	-367.779	0.000	0.000	0.000	0.000	3731.480	-69.202	0.000	0.000
../06_emref/emref_8.pdb	-	7	286.016	14.345	0.000	82.575	24.143	0.007	19.620	-	-	-	4238.810	0.000	0.000	3462.850	0.000	0.000	0.000	3.854	0.000	-276.332	0.000	0.000	0.000	0.000	3876.030	-86.452	0.000	0.000
../06_emref/emref_5.pdb	-	8	288.230	19.485	0.000	69.150	42.925	0.007	18.915	-	-	-	4296.440	0.000	0.000	3349.380	0.000	0.000	0.000	19.676	0.000	-310.582	0.000	0.000	0.000	0.000	3886.890	-98.974	0.000	0.000
../06_emref/emref_17.pdb	-	9	289.127	10.058	0.000	34.009	19.203	0.027	12.087	-	-	-	4175.970	0.000	0.000	3019.790	0.000	0.000	0.000	8.340	0.000	-259.593	0.000	0.000	0.000	0.000	3831.480	-84.891	0.000	0.000
../06_emref/emref_14.pdb	-	10	293.055	13.607	0.055	74.247	30.433	0.027	17.408	-	-	-	4426.650	0.000	0.000	2909.150	0.000	0.000	0.000	5.724	0.000	-273.287	0.000	0.000	0.000	0.000	4052.680	-100.677	0.000	0.000
../06_emref/emref_25.pdb	-	11	297.251	20.152	0.000	91.258	31.594	0.005	25.581	-	-	-	4388.220	0.000	0.000	3165.290	0.000	0.000	0.000	8.529	0.000	-374.691	0.000	0.000	0.000	0.000	3938.370	-75.162	0.000	0.000
../06_emref/emref_11.pdb	-	12	299.032	16.160	0.000	62.408	30.602	0.009	19.265	-	-	-	4089.220	0.000	0.000	2557.860	0.000	0.000	0.000	1.154	0.000	-325.818	0.000	0.000	0.000	0.000	3717.520	-45.881	0.000	0.000
../06_emref/emref_12.pdb	-	13	300.664	13.927	0.000	82.049	24.420	0.007	19.374	-	-	-	4313.340	0.000	0.000	2990.050	0.000	0.000	0.000	15.315	0.000	-366.808	0.000	0.000	0.000	0.000	3873.910	-72.624	0.000	0.000
../06_emref/emref_9.pdb	-	14	305.177	17.309	0.000	55.730	34.118	0.010	18.198	-	-	-	4382.420	0.000	0.000	3028.470	0.000	0.000	0.000	14.255	0.000	-435.636	0.000	0.000	0.000	0.000	3886.590	-60.193	0.000	0.000
../06_emref/emref_24.pdb	-	15	306.205	20.665	0.000	88.768	37.519	0.005	23.721	-	-	-	4442.810	0.000	0.000	3312.950	0.000	0.000	0.000	7.286	0.000	-267.020	0.000	0.000	0.000	0.000	4083.840	-91.958	0.000	0.000
../06_emref/emref_4.pdb	-	16	308.662	16.203	0.000	84.373	33.073	0.006	20.136	-	-	-	4428.860	0.000	0.000	3075.070	0.000	0.000	0.000	6.160	0.000	-305.413	0.000	0.000	0.000	0.000	4044.140	-79.301	0.000	0.000
../06_emref/emref_3.pdb	-	17	315.212	19.813	0.000	72.119	37.954	0.006	22.240	-	-	-	4720.980	0.000	0.000	3351.600	0.000	0.000	0.000	20.680	0.000	-499.641	0.000	0.000	0.000	0.000	4143.700	-77.638	0.000	0.000
../06_emref/emref_16.pdb	-	18	317.934	17.833	0.000	71.974	31.574	0.007	19.439	-	-	-	4338.210	0.000	0.000	2398.730	0.000	0.000	0.000	11.006	0.000	-476.236	0.000	0.000	0.000	0.000	3830.330	-31.645	0.000	0.000
../06_emref/emref_20.pdb	-	19	323.901	15.287	0.000	84.086	38.133	0.007	15.601	-	-	-	4580.010	0.000	0.000	2861.560	0.000	0.000	0.000	23.824	0.000	-375.618	0.000	0.000	0.000	0.000	4121.590	-82.800	0.000	0.000
../06_emref/emref_30.pdb	-	20	324.695	18.579	0.000	45.876	35.916	0.013	17.046	-	-	-	4389.580	0.000	0.000	2780.260	0.000	0.000	0.000	14.256	0.000	-371.271	0.000	0.000	0.000	0.000	3964.040	-54.264	0.000	0.000
../06_emref/emref_21.pdb	-	21	329.526	21.030	0.000	45.755	42.099	0.013	19.725	-	-	-	4627.660	0.000	0.000	2969.060	0.000	0.000	0.000	15.943	0.000	-303.194	0.000	0.000	0.000	0.000	4235.920	-88.544	0.000	0.000
