model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_16.pdb	-	1	250.350	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4669.950	0.000	0.000	4023.740	0.000	0.000	0.000	-1.507	0.000	-297.238	0.000	0.000	0.000	0.000	4217.020	-155.690	0.000	0.000
../06_emref/emref_1.pdb	-	2	261.972	15.375	0.000	49.450	39.518	0.013	15.911	-	-	-	4304.780	0.000	0.000	4021.180	0.000	0.000	0.000	23.870	0.000	-572.067	0.000	0.000	0.000	0.000	3654.750	-77.963	0.000	0.000
../06_emref/emref_3.pdb	-	3	264.482	29.941	0.022	81.118	50.763	0.012	26.677	-	-	-	4076.620	0.000	0.000	3603.690	0.000	0.000	0.000	21.402	0.000	-404.587	0.000	0.000	0.000	0.000	3588.370	-83.664	0.000	0.000
../06_emref/emref_7.pdb	-	4	274.486	25.780	0.000	75.525	53.004	0.005	25.758	-	-	-	4476.870	0.000	0.000	3722.110	0.000	0.000	0.000	21.358	0.000	-508.659	0.000	0.000	0.000	0.000	3875.380	-92.827	0.000	0.000
../06_emref/emref_2.pdb	-	5	280.948	31.433	0.000	70.926	47.225	0.005	29.649	-	-	-	4317.230	0.000	0.000	3817.680	0.000	0.000	0.000	36.213	0.000	-552.437	0.000	0.000	0.000	0.000	3688.290	-76.501	0.000	0.000
../06_emref/emref_18.pdb	-	6	282.630	19.460	0.000	52.841	47.648	0.010	18.354	-	-	-	4625.120	0.000	0.000	3646.640	0.000	0.000	0.000	10.371	0.000	-428.503	0.000	0.000	0.000	0.000	4092.060	-104.553	0.000	0.000
../06_emref/emref_14.pdb	-	7	282.796	21.438	0.000	51.630	49.631	0.010	23.472	-	-	-	4356.180	0.000	0.000	3482.820	0.000	0.000	0.000	27.502	0.000	-419.169	0.000	0.000	0.000	0.000	3840.520	-96.490	0.000	0.000
../06_emref/emref_17.pdb	-	8	284.268	29.738	0.006	76.651	48.544	0.007	28.032	-	-	-	4610.650	0.000	0.000	3504.500	0.000	0.000	0.000	13.646	0.000	-475.621	0.000	0.000	0.000	0.000	4039.710	-95.318	0.000	0.000
../06_emref/emref_6.pdb	-	9	288.340	19.549	0.000	43.998	37.085	0.014	20.480	-	-	-	4152.430	0.000	0.000	2932.190	0.000	0.000	0.000	21.321	0.000	-464.126	0.000	0.000	0.000	0.000	3632.900	-55.400	0.000	0.000
../06_emref/emref_5.pdb	-	10	292.351	28.726	0.000	80.273	55.199	0.005	26.070	-	-	-	4538.060	0.000	0.000	3709.840	0.000	0.000	0.000	29.499	0.000	-506.068	0.000	0.000	0.000	0.000	3942.250	-89.740	0.000	0.000
../06_emref/emref_9.pdb	-	11	302.429	25.296	0.000	74.553	47.800	0.005	24.608	-	-	-	4779.190	0.000	0.000	3335.530	0.000	0.000	0.000	14.717	0.000	-526.147	0.000	0.000	0.000	0.000	4168.070	-84.978	0.000	0.000
../06_emref/emref_29.pdb	-	12	307.986	26.640	0.011	68.115	49.171	0.010	26.136	-	-	-	4543.090	0.000	0.000	3130.960	0.000	0.000	0.000	16.964	0.000	-387.274	0.000	0.000	0.000	0.000	4069.990	-85.833	0.000	0.000
../06_emref/emref_4.pdb	-	13	308.661	30.005	0.000	78.253	59.064	0.005	27.348	-	-	-	4498.160	0.000	0.000	3036.730	0.000	0.000	0.000	39.166	0.000	-599.008	0.000	0.000	0.000	0.000	3838.640	-60.520	0.000	0.000
../06_emref/emref_19.pdb	-	14	308.763	27.575	0.000	78.309	53.190	0.005	26.617	-	-	-	4384.970	0.000	0.000	3096.550	0.000	0.000	0.000	15.705	0.000	-313.998	0.000	0.000	0.000	0.000	3988.330	-82.639	0.000	0.000
../06_emref/emref_20.pdb	-	15	310.003	27.650	0.000	73.074	47.217	0.005	26.568	-	-	-	4535.840	0.000	0.000	3117.860	0.000	0.000	0.000	15.672	0.000	-358.970	0.000	0.000	0.000	0.000	4089.410	-87.459	0.000	0.000
../06_emref/emref_10.pdb	-	16	314.275	16.439	0.000	43.910	40.226	0.015	16.577	-	-	-	4954.260	0.000	0.000	3849.200	0.000	0.000	0.000	23.343	0.000	-509.196	0.000	0.000	0.000	0.000	4342.410	-102.655	0.000	0.000
../06_emref/emref_22.pdb	-	17	317.218	8.327	0.006	15.361	16.830	0.090	8.460	-	-	-	4671.670	0.000	0.000	2994.220	0.000	0.000	0.000	10.790	0.000	-380.102	0.000	0.000	0.000	0.000	4206.850	-84.718	0.000	0.000
../06_emref/emref_26.pdb	-	18	318.177	15.376	0.000	40.222	29.248	0.017	17.402	-	-	-	4411.150	0.000	0.000	3088.520	0.000	0.000	0.000	11.991	0.000	-298.566	0.000	0.000	0.000	0.000	4037.370	-75.216	0.000	0.000
../06_emref/emref_32.pdb	-	19	319.929	28.988	0.000	80.332	58.521	0.005	25.990	-	-	-	4516.170	0.000	0.000	3138.160	0.000	0.000	0.000	15.051	0.000	-298.591	0.000	0.000	0.000	0.000	4130.560	-87.021	0.000	0.000
../06_emref/emref_8.pdb	-	20	321.622	16.619	0.000	44.245	31.904	0.015	19.471	-	-	-	4551.840	0.000	0.000	3026.170	0.000	0.000	0.000	33.581	0.000	-505.230	0.000	0.000	0.000	0.000	3980.510	-66.097	0.000	0.000
../06_emref/emref_12.pdb	-	21	325.216	30.617	0.000	88.571	62.611	0.004	29.383	-	-	-	4495.340	0.000	0.000	3407.300	0.000	0.000	0.000	19.067	0.000	-353.500	0.000	0.000	0.000	0.000	4069.150	-72.686	0.000	0.000
../06_emref/emref_24.pdb	-	22	327.016	27.577	0.000	76.471	51.402	0.005	26.476	-	-	-	4598.080	0.000	0.000	3200.450	0.000	0.000	0.000	24.707	0.000	-316.970	0.000	0.000	0.000	0.000	4187.000	-94.105	0.000	0.000
