model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	261.392	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4307.220	0.000	0.000	3875.550	0.000	0.000	0.000	32.822	0.000	-552.721	0.000	0.000	0.000	0.000	3662.900	-91.608	0.000	0.000
../06_emref/emref_11.pdb	-	2	276.376	29.744	0.000	74.535	58.395	0.005	28.765	-	-	-	4728.810	0.000	0.000	3600.830	0.000	0.000	0.000	15.279	0.000	-441.269	0.000	0.000	0.000	0.000	4164.010	-123.530	0.000	0.000
../06_emref/emref_8.pdb	-	3	284.712	7.823	0.023	37.839	24.266	0.036	9.471	-	-	-	4556.080	0.000	0.000	3643.380	0.000	0.000	0.000	12.141	0.000	-540.863	0.000	0.000	0.000	0.000	3940.350	-74.865	0.000	0.000
../06_emref/emref_3.pdb	-	4	293.510	23.003	0.000	57.941	44.740	0.008	23.775	-	-	-	4689.240	0.000	0.000	3218.060	0.000	0.000	0.000	20.209	0.000	-636.315	0.000	0.000	0.000	0.000	3984.560	-68.360	0.000	0.000
../06_emref/emref_13.pdb	-	5	295.885	7.553	0.031	36.595	23.502	0.040	9.151	-	-	-	4622.330	0.000	0.000	3446.250	0.000	0.000	0.000	8.647	0.000	-500.680	0.000	0.000	0.000	0.000	4046.790	-74.859	0.000	0.000
../06_emref/emref_34.pdb	-	6	296.610	10.837	0.008	25.986	22.949	0.041	11.266	-	-	-	4200.500	0.000	0.000	2908.270	0.000	0.000	0.000	21.652	0.000	-268.624	0.000	0.000	0.000	0.000	3840.510	-91.367	0.000	0.000
../06_emref/emref_5.pdb	-	7	298.245	27.528	0.000	78.676	61.079	0.005	26.508	-	-	-	4367.680	0.000	0.000	2959.630	0.000	0.000	0.000	14.042	0.000	-447.729	0.000	0.000	0.000	0.000	3856.930	-63.019	0.000	0.000
../06_emref/emref_6.pdb	-	8	303.490	20.439	0.000	47.209	42.464	0.012	20.618	-	-	-	4481.230	0.000	0.000	2881.910	0.000	0.000	0.000	12.904	0.000	-404.617	0.000	0.000	0.000	0.000	3999.990	-76.613	0.000	0.000
../06_emref/emref_14.pdb	-	9	304.296	22.135	0.000	58.633	41.361	0.008	23.649	-	-	-	4678.410	0.000	0.000	3266.790	0.000	0.000	0.000	12.402	0.000	-370.418	0.000	0.000	0.000	0.000	4206.130	-101.863	0.000	0.000
../06_emref/emref_21.pdb	-	10	308.525	29.133	0.000	73.223	57.189	0.005	28.350	-	-	-	4668.110	0.000	0.000	3806.890	0.000	0.000	0.000	15.397	0.000	-342.433	0.000	0.000	0.000	0.000	4220.480	-105.196	0.000	0.000
../06_emref/emref_20.pdb	-	11	311.073	24.492	0.015	64.344	48.406	0.012	26.324	-	-	-	4571.380	0.000	0.000	2864.080	0.000	0.000	0.000	4.107	0.000	-345.462	0.000	0.000	0.000	0.000	4144.840	-81.080	0.000	0.000
../06_emref/emref_23.pdb	-	12	312.052	26.437	0.000	66.107	48.740	0.006	27.687	-	-	-	4364.040	0.000	0.000	2831.160	0.000	0.000	0.000	2.661	0.000	-282.981	0.000	0.000	0.000	0.000	4010.640	-70.417	0.000	0.000
../06_emref/emref_15.pdb	-	13	313.867	23.216	0.008	61.842	44.057	0.010	24.295	-	-	-	4854.620	0.000	0.000	3744.090	0.000	0.000	0.000	12.631	0.000	-330.923	0.000	0.000	0.000	0.000	4405.660	-118.042	0.000	0.000
