model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_15.pdb	-	1	251.277	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4570.700	0.000	0.000	3903.980	0.000	0.000	0.000	0.080	0.000	-332.076	0.000	0.000	0.000	0.000	4099.170	-139.458	0.000	0.000
../06_emref/emref_8.pdb	-	2	260.607	31.865	0.000	68.679	50.635	0.006	29.847	-	-	-	4271.750	0.000	0.000	3666.680	0.000	0.000	0.000	15.108	0.000	-373.305	0.000	0.000	0.000	0.000	3791.430	-107.015	0.000	0.000
../06_emref/emref_2.pdb	-	3	267.675	17.947	0.000	49.443	41.689	0.012	20.785	-	-	-	4190.900	0.000	0.000	2908.250	0.000	0.000	0.000	22.200	0.000	-541.634	0.000	0.000	0.000	0.000	3583.980	-65.288	0.000	0.000
../06_emref/emref_11.pdb	-	4	268.197	18.215	0.000	50.003	43.825	0.012	19.252	-	-	-	4643.950	0.000	0.000	3958.750	0.000	0.000	0.000	17.096	0.000	-464.895	0.000	0.000	0.000	0.000	4058.740	-120.315	0.000	0.000
../06_emref/emref_6.pdb	-	5	270.468	31.897	0.000	77.249	58.481	0.005	29.797	-	-	-	4570.470	0.000	0.000	3947.750	0.000	0.000	0.000	28.675	0.000	-571.023	0.000	0.000	0.000	0.000	3898.400	-101.050	0.000	0.000
../06_emref/emref_1.pdb	-	6	273.029	15.038	0.000	48.413	38.865	0.013	15.169	-	-	-	4632.680	0.000	0.000	3991.980	0.000	0.000	0.000	22.633	0.000	-689.163	0.000	0.000	0.000	0.000	3868.480	-75.040	0.000	0.000
../06_emref/emref_5.pdb	-	7	280.760	15.749	0.000	43.999	40.556	0.015	16.865	-	-	-	4822.290	0.000	0.000	3562.540	0.000	0.000	0.000	6.299	0.000	-510.123	0.000	0.000	0.000	0.000	4206.420	-105.744	0.000	0.000
../06_emref/emref_17.pdb	-	8	288.528	22.631	0.000	57.591	47.223	0.009	24.922	-	-	-	4498.050	0.000	0.000	2926.470	0.000	0.000	0.000	7.050	0.000	-412.322	0.000	0.000	0.000	0.000	3999.870	-85.862	0.000	0.000
../06_emref/emref_4.pdb	-	9	292.091	26.244	0.000	65.500	51.580	0.007	27.588	-	-	-	4515.370	0.000	0.000	2948.810	0.000	0.000	0.000	15.970	0.000	-447.151	0.000	0.000	0.000	0.000	3982.230	-85.986	0.000	0.000
../06_emref/emref_16.pdb	-	10	292.658	13.119	0.006	48.415	38.482	0.016	13.272	-	-	-	4388.240	0.000	0.000	3275.700	0.000	0.000	0.000	8.810	0.000	-386.032	0.000	0.000	0.000	0.000	3924.440	-77.770	0.000	0.000
../06_emref/emref_3.pdb	-	11	292.800	30.572	0.000	76.331	60.689	0.005	28.900	-	-	-	4690.100	0.000	0.000	4075.750	0.000	0.000	0.000	22.192	0.000	-562.332	0.000	0.000	0.000	0.000	4041.830	-85.936	0.000	0.000
../06_emref/emref_19.pdb	-	12	300.954	26.865	0.000	70.086	56.638	0.006	26.992	-	-	-	4432.650	0.000	0.000	3245.780	0.000	0.000	0.000	24.716	0.000	-377.042	0.000	0.000	0.000	0.000	3963.990	-91.619	0.000	0.000
../06_emref/emref_31.pdb	-	13	310.415	13.560	0.000	32.965	26.630	0.025	14.868	-	-	-	4813.510	0.000	0.000	3432.620	0.000	0.000	0.000	13.459	0.000	-470.697	0.000	0.000	0.000	0.000	4252.560	-90.256	0.000	0.000
../06_emref/emref_10.pdb	-	14	317.062	29.984	0.000	76.010	60.863	0.005	29.619	-	-	-	4618.810	0.000	0.000	2988.480	0.000	0.000	0.000	6.742	0.000	-424.310	0.000	0.000	0.000	0.000	4127.800	-66.699	0.000	0.000
../06_emref/emref_9.pdb	-	15	318.282	30.586	0.000	76.335	59.926	0.005	28.052	-	-	-	4742.840	0.000	0.000	3380.780	0.000	0.000	0.000	17.697	0.000	-469.456	0.000	0.000	0.000	0.000	4193.580	-79.808	0.000	0.000
../06_emref/emref_13.pdb	-	16	320.799	31.248	0.000	77.811	56.830	0.005	28.411	-	-	-	4364.790	0.000	0.000	2839.660	0.000	0.000	0.000	28.142	0.000	-477.477	0.000	0.000	0.000	0.000	3838.990	-48.326	0.000	0.000
../06_emref/emref_7.pdb	-	17	323.041	15.336	0.000	40.747	33.773	0.017	14.733	-	-	-	4865.760	0.000	0.000	3670.160	0.000	0.000	0.000	7.700	0.000	-476.881	0.000	0.000	0.000	0.000	4313.020	-75.859	0.000	0.000
../06_emref/emref_27.pdb	-	18	324.132	12.167	0.000	46.058	34.368	0.016	11.618	-	-	-	4501.050	0.000	0.000	3040.110	0.000	0.000	0.000	6.530	0.000	-281.486	0.000	0.000	0.000	0.000	4143.360	-76.206	0.000	0.000
../06_emref/emref_24.pdb	-	19	326.379	15.611	0.000	44.912	40.239	0.015	16.617	-	-	-	4736.730	0.000	0.000	2922.230	0.000	0.000	0.000	12.961	0.000	-496.736	0.000	0.000	0.000	0.000	4179.090	-60.908	0.000	0.000
../06_emref/emref_12.pdb	-	20	329.189	19.439	0.000	60.773	47.577	0.008	19.889	-	-	-	4825.860	0.000	0.000	3152.980	0.000	0.000	0.000	12.720	0.000	-453.452	0.000	0.000	0.000	0.000	4296.980	-75.426	0.000	0.000
