model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	197.434	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3780.650	0.000	0.000	3780.840	0.000	0.000	0.000	20.264	0.000	-389.160	0.000	0.000	0.000	0.000	3268.430	-123.063	0.000	0.000
../06_emref/emref_3.pdb	-	2	240.505	28.669	0.000	88.546	51.005	0.004	28.746	-	-	-	3738.030	0.000	0.000	3554.500	0.000	0.000	0.000	15.842	0.000	-318.126	0.000	0.000	0.000	0.000	3334.390	-85.515	0.000	0.000
../06_emref/emref_4.pdb	-	3	242.179	21.574	0.050	71.181	40.766	0.023	22.910	-	-	-	4078.440	0.000	0.000	3292.970	0.000	0.000	0.000	7.241	0.000	-427.290	0.000	0.000	0.000	0.000	3563.700	-87.448	0.000	0.000
../06_emref/emref_11.pdb	-	4	259.525	17.664	0.000	60.185	44.130	0.009	19.431	-	-	-	4143.230	0.000	0.000	3189.840	0.000	0.000	0.000	17.434	0.000	-412.911	0.000	0.000	0.000	0.000	3640.670	-89.650	0.000	0.000
../06_emref/emref_26.pdb	-	5	273.768	14.817	0.006	52.329	29.871	0.014	16.435	-	-	-	4132.400	0.000	0.000	3091.970	0.000	0.000	0.000	7.022	0.000	-296.280	0.000	0.000	0.000	0.000	3748.880	-87.238	0.000	0.000
../06_emref/emref_8.pdb	-	6	276.603	22.698	0.000	76.782	48.606	0.005	23.457	-	-	-	4189.850	0.000	0.000	2816.230	0.000	0.000	0.000	14.829	0.000	-374.849	0.000	0.000	0.000	0.000	3732.760	-82.242	0.000	0.000
../06_emref/emref_10.pdb	-	7	278.534	28.148	0.044	86.539	49.776	0.019	27.229	-	-	-	3913.880	0.000	0.000	2796.320	0.000	0.000	0.000	27.000	0.000	-372.450	0.000	0.000	0.000	0.000	3476.070	-65.365	0.000	0.000
../06_emref/emref_7.pdb	-	8	279.892	29.349	0.000	84.544	54.716	0.004	29.613	-	-	-	4480.810	0.000	0.000	3650.050	0.000	0.000	0.000	0.051	0.000	-387.216	0.000	0.000	0.000	0.000	4002.800	-90.796	0.000	0.000
../06_emref/emref_22.pdb	-	9	280.377	28.040	0.000	88.550	48.735	0.004	27.503	-	-	-	3939.830	0.000	0.000	2711.600	0.000	0.000	0.000	5.421	0.000	-351.524	0.000	0.000	0.000	0.000	3539.590	-48.723	0.000	0.000
../06_emref/emref_2.pdb	-	10	284.971	17.425	0.000	45.289	39.503	0.014	18.863	-	-	-	4562.890	0.000	0.000	3575.420	0.000	0.000	0.000	13.089	0.000	-462.121	0.000	0.000	0.000	0.000	4008.790	-91.983	0.000	0.000
../06_emref/emref_5.pdb	-	11	287.635	27.557	0.019	84.237	48.973	0.011	27.136	-	-	-	4213.460	0.000	0.000	2726.290	0.000	0.000	0.000	23.283	0.000	-431.077	0.000	0.000	0.000	0.000	3711.600	-70.779	0.000	0.000
../06_emref/emref_20.pdb	-	12	291.199	7.771	0.025	23.886	15.166	0.058	8.710	-	-	-	4209.700	0.000	0.000	2713.130	0.000	0.000	0.000	15.463	0.000	-342.315	0.000	0.000	0.000	0.000	3790.610	-76.771	0.000	0.000
../06_emref/emref_6.pdb	-	13	291.776	28.520	0.006	94.676	58.457	0.006	28.518	-	-	-	4367.200	0.000	0.000	2874.980	0.000	0.000	0.000	17.201	0.000	-425.938	0.000	0.000	0.000	0.000	3864.310	-76.957	0.000	0.000
../06_emref/emref_13.pdb	-	14	293.165	29.553	0.000	99.520	58.999	0.003	30.281	-	-	-	4393.150	0.000	0.000	2896.370	0.000	0.000	0.000	11.513	0.000	-444.049	0.000	0.000	0.000	0.000	3880.240	-68.854	0.000	0.000
../06_emref/emref_14.pdb	-	15	295.150	25.429	0.000	83.433	52.514	0.005	27.114	-	-	-	4078.490	0.000	0.000	3029.570	0.000	0.000	0.000	11.308	0.000	-281.642	0.000	0.000	0.000	0.000	3729.170	-67.678	0.000	0.000
