model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_2.pdb	-	1	235.843	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4488.920	0.000	0.000	3681.940	0.000	0.000	0.000	8.178	0.000	-649.842	0.000	0.000	0.000	0.000	3747.820	-91.258	0.000	0.000
../06_emref/emref_1.pdb	-	2	250.993	1.052	0.862	2.328	2.217	0.821	0.993	-	-	-	4738.650	0.000	0.000	3829.030	0.000	0.000	0.000	11.256	0.000	-726.312	0.000	0.000	0.000	0.000	3923.470	-88.866	0.000	0.000
../06_emref/emref_7.pdb	-	3	269.274	25.096	0.000	63.385	48.770	0.007	27.451	-	-	-	4303.950	0.000	0.000	3836.970	0.000	0.000	0.000	20.043	0.000	-396.527	0.000	0.000	0.000	0.000	3805.560	-101.859	0.000	0.000
../06_emref/emref_8.pdb	-	4	274.615	16.085	0.036	46.074	30.970	0.026	20.833	-	-	-	4488.310	0.000	0.000	3422.170	0.000	0.000	0.000	12.156	0.000	-416.832	0.000	0.000	0.000	0.000	3968.470	-103.006	0.000	0.000
../06_emref/emref_6.pdb	-	5	275.905	21.655	0.000	70.874	49.726	0.006	23.942	-	-	-	4387.440	0.000	0.000	3643.930	0.000	0.000	0.000	26.958	0.000	-486.631	0.000	0.000	0.000	0.000	3808.340	-92.471	0.000	0.000
../06_emref/emref_3.pdb	-	6	279.781	23.251	0.000	54.494	45.195	0.009	26.511	-	-	-	4481.270	0.000	0.000	3281.630	0.000	0.000	0.000	4.214	0.000	-463.260	0.000	0.000	0.000	0.000	3938.100	-79.908	0.000	0.000
../06_emref/emref_14.pdb	-	7	285.072	23.265	0.000	68.548	40.806	0.006	25.779	-	-	-	4695.790	0.000	0.000	3439.950	0.000	0.000	0.000	2.117	0.000	-429.375	0.000	0.000	0.000	0.000	4165.670	-100.749	0.000	0.000
../06_emref/emref_13.pdb	-	8	289.949	26.371	0.000	71.419	51.215	0.006	28.107	-	-	-	4338.590	0.000	0.000	3044.770	0.000	0.000	0.000	7.044	0.000	-364.679	0.000	0.000	0.000	0.000	3895.890	-78.018	0.000	0.000
../06_emref/emref_11.pdb	-	9	300.756	18.380	0.000	51.292	40.104	0.011	20.401	-	-	-	4635.130	0.000	0.000	3056.940	0.000	0.000	0.000	15.074	0.000	-507.804	0.000	0.000	0.000	0.000	4051.060	-76.270	0.000	0.000
../06_emref/emref_20.pdb	-	10	302.072	21.662	0.000	73.012	51.054	0.006	23.824	-	-	-	4327.290	0.000	0.000	3245.040	0.000	0.000	0.000	28.605	0.000	-401.856	0.000	0.000	0.000	0.000	3846.550	-78.892	0.000	0.000
