model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_32.pdb	-	1	-2.621	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-2.621	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_33.pdb	-	2	-2.171	nan	nan	284.962	284.962	nan	16.145	-	-	-	0.000	0.000	0.000	27.047	0.000	0.000	0.000	-2.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_40.pdb	-	3	-1.550	nan	nan	505.763	505.763	nan	43.360	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_20.pdb	-	4	-0.907	nan	nan	391.372	391.372	nan	33.429	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_2.pdb	-	5	-0.863	nan	nan	442.476	442.476	nan	33.633	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.863	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_12.pdb	-	6	-0.845	nan	nan	589.340	589.340	nan	35.331	-	-	-	0.000	0.000	0.000	5.439	0.000	0.000	0.000	-0.845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_27.pdb	-	7	-0.810	nan	nan	406.076	406.076	nan	27.501	-	-	-	0.000	0.000	0.000	23.187	0.000	0.000	0.000	-0.810	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_47.pdb	-	8	-0.769	nan	nan	327.084	327.084	nan	22.366	-	-	-	0.000	0.000	0.000	16.625	0.000	0.000	0.000	-0.769	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_1.pdb	-	9	-0.641	nan	nan	498.462	498.462	nan	46.301	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_45.pdb	-	10	-0.638	nan	nan	512.761	512.761	nan	31.409	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.638	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
