model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_46.pdb	-	1	-4.083	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-4.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_6.pdb	-	2	-3.366	nan	nan	562.772	562.772	nan	47.293	-	-	-	0.000	0.000	0.000	11.696	0.000	0.000	0.000	-3.366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_19.pdb	-	3	-2.646	nan	nan	278.845	278.845	nan	45.648	-	-	-	0.000	0.000	0.000	39.092	0.000	0.000	0.000	-2.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_39.pdb	-	4	-1.636	nan	nan	310.222	310.222	nan	45.613	-	-	-	0.000	0.000	0.000	65.691	0.000	0.000	0.000	-1.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_12.pdb	-	5	-1.503	nan	nan	287.125	287.125	nan	21.681	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.503	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_38.pdb	-	6	-1.429	nan	nan	400.150	400.150	nan	46.149	-	-	-	0.000	0.000	0.000	13.929	0.000	0.000	0.000	-1.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_1.pdb	-	7	-1.212	nan	nan	596.322	596.322	nan	30.588	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_20.pdb	-	8	-1.210	nan	nan	525.692	525.692	nan	32.212	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_14.pdb	-	9	-1.161	nan	nan	481.553	481.553	nan	34.312	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_22.pdb	-	10	-1.135	nan	nan	554.362	554.362	nan	24.551	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
