model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_8.pdb	-	1	-3.835	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-3.835	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_5.pdb	-	2	-2.493	nan	nan	219.101	219.101	nan	35.732	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-2.493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_17.pdb	-	3	-2.451	nan	nan	311.044	311.044	nan	35.646	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-2.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_44.pdb	-	4	-2.269	nan	nan	625.421	625.421	nan	40.430	-	-	-	0.000	0.000	0.000	10.842	0.000	0.000	0.000	-2.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_9.pdb	-	5	-2.236	nan	nan	516.598	516.598	nan	42.933	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-2.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_12.pdb	-	6	-1.613	nan	nan	444.821	444.821	nan	25.297	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_11.pdb	-	7	-1.403	nan	nan	640.541	640.541	nan	19.337	-	-	-	0.000	0.000	0.000	17.631	0.000	0.000	0.000	-1.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_27.pdb	-	8	-1.350	nan	nan	278.625	278.625	nan	46.011	-	-	-	0.000	0.000	0.000	3.814	0.000	0.000	0.000	-1.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_31.pdb	-	9	-0.967	nan	nan	233.193	233.193	nan	47.556	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_4.pdb	-	10	-0.846	nan	nan	571.472	571.472	nan	28.400	-	-	-	0.000	0.000	0.000	9.482	0.000	0.000	0.000	-0.846	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_45.pdb	-	11	-0.826	nan	nan	222.759	222.759	nan	33.388	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.826	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_34.pdb	-	12	-0.794	nan	nan	614.883	614.883	nan	34.780	-	-	-	0.000	0.000	0.000	15.235	0.000	0.000	0.000	-0.794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_39.pdb	-	13	-0.746	nan	nan	448.250	448.250	nan	53.158	-	-	-	0.000	0.000	0.000	7.140	0.000	0.000	0.000	-0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_49.pdb	-	14	-0.683	nan	nan	317.847	317.847	nan	27.660	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_10.pdb	-	15	-0.579	nan	nan	337.780	337.780	nan	43.661	-	-	-	0.000	0.000	0.000	27.169	0.000	0.000	0.000	-0.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_32.pdb	-	16	-0.487	nan	nan	367.199	367.199	nan	32.793	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_36.pdb	-	17	-0.420	nan	nan	325.449	325.449	nan	21.098	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_22.pdb	-	18	-0.389	nan	nan	637.898	637.898	nan	37.838	-	-	-	0.000	0.000	0.000	18.808	0.000	0.000	0.000	-0.389	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_48.pdb	-	19	-0.266	nan	nan	374.738	374.738	nan	38.738	-	-	-	0.000	0.000	0.000	8.730	0.000	0.000	0.000	-0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_21.pdb	-	20	-0.253	nan	nan	636.300	636.300	nan	41.259	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_23.pdb	-	21	-0.087	nan	nan	547.731	547.731	nan	45.956	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_42.pdb	-	22	0.067	nan	nan	576.319	576.319	nan	51.655	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
