model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_24.pdb	-	1	-2.120	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-2.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_21.pdb	-	2	-1.996	nan	nan	216.406	216.406	nan	42.107	-	-	-	0.000	0.000	0.000	2.807	0.000	0.000	0.000	-1.996	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_31.pdb	-	3	-1.990	nan	nan	659.808	659.808	nan	34.092	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_2.pdb	-	4	-1.576	nan	nan	579.942	579.942	nan	33.109	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.576	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_1.pdb	-	5	-1.385	nan	nan	550.178	550.178	nan	26.076	-	-	-	0.000	0.000	0.000	19.630	0.000	0.000	0.000	-1.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_20.pdb	-	6	-1.123	nan	nan	553.922	553.922	nan	27.913	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_8.pdb	-	7	-1.084	nan	nan	427.318	427.318	nan	29.402	-	-	-	0.000	0.000	0.000	16.631	0.000	0.000	0.000	-1.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_7.pdb	-	8	-1.048	nan	nan	189.159	189.159	nan	36.857	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_42.pdb	-	9	-1.044	nan	nan	520.134	520.134	nan	33.222	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-1.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_32.pdb	-	10	-0.921	nan	nan	580.079	580.079	nan	46.125	-	-	-	0.000	0.000	0.000	27.917	0.000	0.000	0.000	-0.921	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_9.pdb	-	11	-0.913	nan	nan	405.174	405.174	nan	45.263	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.913	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_49.pdb	-	12	-0.707	nan	nan	638.506	638.506	nan	40.704	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_3.pdb	-	13	-0.537	nan	nan	104.445	104.445	nan	51.521	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_6.pdb	-	14	-0.505	nan	nan	585.930	585.930	nan	33.868	-	-	-	0.000	0.000	0.000	21.145	0.000	0.000	0.000	-0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_10.pdb	-	15	-0.501	nan	nan	142.435	142.435	nan	37.317	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_46.pdb	-	16	-0.457	nan	nan	243.352	243.352	nan	35.811	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_12.pdb	-	17	-0.289	nan	nan	593.760	593.760	nan	46.841	-	-	-	0.000	0.000	0.000	13.964	0.000	0.000	0.000	-0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_37.pdb	-	18	-0.183	nan	nan	215.381	215.381	nan	47.583	-	-	-	0.000	0.000	0.000	0.950	0.000	0.000	0.000	-0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_43.pdb	-	19	-0.153	nan	nan	659.492	659.492	nan	32.142	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_40.pdb	-	20	-0.144	nan	nan	254.089	254.089	nan	26.931	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_5.pdb	-	21	-0.037	nan	nan	684.999	684.999	nan	27.602	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_41.pdb	-	22	-0.012	nan	nan	205.795	205.795	nan	33.689	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_11.pdb	-	23	0.047	nan	nan	620.357	620.357	nan	20.612	-	-	-	0.000	0.000	0.000	6.002	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_16.pdb	-	24	0.134	nan	nan	571.763	571.763	nan	32.504	-	-	-	0.000	0.000	0.000	-999999.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../06_emref/emref_28.pdb	-	25	0.147	nan	nan	529.251	529.251	nan	26.819	-	-	-	0.000	0.000	0.000	4.571	0.000	0.000	0.000	0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
