model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_4.pdb	-	1	237.947	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4309.220	0.000	0.000	3990.850	0.000	0.000	0.000	18.428	0.000	-511.892	0.000	0.000	0.000	0.000	3688.310	-109.025	0.000	0.000
../06_emref/emref_7.pdb	-	2	261.129	18.859	0.000	54.585	47.092	0.010	19.161	-	-	-	4656.390	0.000	0.000	3371.880	0.000	0.000	0.000	27.426	0.000	-643.880	0.000	0.000	0.000	0.000	3909.350	-103.160	0.000	0.000
../06_emref/emref_8.pdb	-	3	263.175	34.379	0.017	67.843	62.096	0.012	32.483	-	-	-	4669.140	0.000	0.000	3738.120	0.000	0.000	0.000	20.777	0.000	-536.818	0.000	0.000	0.000	0.000	4015.170	-117.152	0.000	0.000
../06_emref/emref_1.pdb	-	4	266.131	20.231	0.000	40.931	41.167	0.016	20.296	-	-	-	4258.330	0.000	0.000	3165.010	0.000	0.000	0.000	24.476	0.000	-611.964	0.000	0.000	0.000	0.000	3584.580	-61.785	0.000	0.000
../06_emref/emref_6.pdb	-	5	293.248	20.322	0.000	41.259	40.970	0.015	20.683	-	-	-	4377.270	0.000	0.000	3238.560	0.000	0.000	0.000	8.507	0.000	-353.018	0.000	0.000	0.000	0.000	3941.870	-82.382	0.000	0.000
../06_emref/emref_9.pdb	-	6	294.901	28.629	0.000	65.791	50.141	0.006	30.577	-	-	-	4570.380	0.000	0.000	3261.490	0.000	0.000	0.000	6.137	0.000	-418.763	0.000	0.000	0.000	0.000	4067.090	-84.522	0.000	0.000
../06_emref/emref_3.pdb	-	7	296.674	30.256	0.000	79.223	54.775	0.005	27.710	-	-	-	4365.230	0.000	0.000	3007.790	0.000	0.000	0.000	22.128	0.000	-559.057	0.000	0.000	0.000	0.000	3756.010	-50.166	0.000	0.000
../06_emref/emref_16.pdb	-	8	301.720	19.338	0.000	39.196	39.522	0.017	19.037	-	-	-	4671.720	0.000	0.000	3584.230	0.000	0.000	0.000	19.996	0.000	-578.355	0.000	0.000	0.000	0.000	4023.580	-69.777	0.000	0.000
../06_emref/emref_18.pdb	-	9	305.005	20.996	0.000	52.958	46.724	0.010	21.918	-	-	-	4531.170	0.000	0.000	2866.640	0.000	0.000	0.000	18.505	0.000	-480.040	0.000	0.000	0.000	0.000	3980.530	-70.609	0.000	0.000
../06_emref/emref_17.pdb	-	10	305.649	31.025	0.000	85.133	60.025	0.004	28.135	-	-	-	5016.420	0.000	0.000	3421.710	0.000	0.000	0.000	1.009	0.000	-440.541	0.000	0.000	0.000	0.000	4466.990	-108.893	0.000	0.000
../06_emref/emref_2.pdb	-	11	306.466	32.222	0.000	76.072	65.979	0.005	32.085	-	-	-	4575.450	0.000	0.000	3706.090	0.000	0.000	0.000	29.391	0.000	-504.019	0.000	0.000	0.000	0.000	3991.770	-79.667	0.000	0.000
../06_emref/emref_11.pdb	-	12	311.960	17.072	0.000	36.967	34.585	0.019	17.442	-	-	-	4542.460	0.000	0.000	2946.220	0.000	0.000	0.000	10.095	0.000	-471.924	0.000	0.000	0.000	0.000	4012.540	-57.996	0.000	0.000
../06_emref/emref_13.pdb	-	13	312.277	23.281	0.000	55.090	55.579	0.009	21.603	-	-	-	4636.930	0.000	0.000	3194.460	0.000	0.000	0.000	23.683	0.000	-461.089	0.000	0.000	0.000	0.000	4092.960	-82.881	0.000	0.000
../06_emref/emref_10.pdb	-	14	313.370	20.541	0.000	42.722	39.575	0.014	21.536	-	-	-	4404.770	0.000	0.000	3204.770	0.000	0.000	0.000	31.764	0.000	-515.500	0.000	0.000	0.000	0.000	3833.500	-55.771	0.000	0.000
../06_emref/emref_12.pdb	-	15	314.476	22.863	0.000	47.516	43.912	0.012	23.786	-	-	-	4620.110	0.000	0.000	2535.880	0.000	0.000	0.000	3.485	0.000	-366.433	0.000	0.000	0.000	0.000	4175.940	-77.733	0.000	0.000
../06_emref/emref_32.pdb	-	16	317.208	27.760	0.000	74.290	51.222	0.005	26.421	-	-	-	4544.470	0.000	0.000	2919.200	0.000	0.000	0.000	14.597	0.000	-414.132	0.000	0.000	0.000	0.000	4061.330	-69.009	0.000	0.000
../06_emref/emref_15.pdb	-	17	320.983	31.015	0.000	80.927	63.539	0.004	30.501	-	-	-	4696.200	0.000	0.000	3244.160	0.000	0.000	0.000	21.100	0.000	-473.623	0.000	0.000	0.000	0.000	4147.570	-75.012	0.000	0.000
../06_emref/emref_21.pdb	-	18	323.006	29.898	0.029	67.052	55.525	0.016	28.208	-	-	-	4532.870	0.000	0.000	3006.770	0.000	0.000	0.000	20.330	0.000	-410.795	0.000	0.000	0.000	0.000	4053.630	-68.453	0.000	0.000
../06_emref/emref_22.pdb	-	19	323.220	29.349	0.006	75.372	58.598	0.007	27.999	-	-	-	4649.900	0.000	0.000	3403.610	0.000	0.000	0.000	13.994	0.000	-310.018	0.000	0.000	0.000	0.000	4246.120	-93.760	0.000	0.000
../06_emref/emref_31.pdb	-	20	323.887	25.458	0.012	66.363	46.421	0.010	25.491	-	-	-	4603.020	0.000	0.000	3181.920	0.000	0.000	0.000	16.789	0.000	-387.300	0.000	0.000	0.000	0.000	4139.970	-75.745	0.000	0.000
../06_emref/emref_27.pdb	-	21	323.967	31.752	0.000	76.275	61.549	0.005	30.212	-	-	-	4469.240	0.000	0.000	2714.370	0.000	0.000	0.000	7.553	0.000	-304.764	0.000	0.000	0.000	0.000	4094.920	-69.558	0.000	0.000
../06_emref/emref_5.pdb	-	22	328.846	15.331	0.000	37.760	35.544	0.019	14.396	-	-	-	4651.490	0.000	0.000	2831.150	0.000	0.000	0.000	20.613	0.000	-471.210	0.000	0.000	0.000	0.000	4117.610	-62.674	0.000	0.000
