model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	59.061	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3414.210	0.000	0.000	4546.470	0.000	0.000	0.000	-11.793	0.000	-736.896	0.000	0.000	0.000	0.000	2554.120	-123.187	0.000	0.000
../06_emref/emref_4.pdb	-	2	103.486	6.583	0.250	20.454	16.939	0.149	6.210	-	-	-	3047.660	0.000	0.000	3627.240	0.000	0.000	0.000	-1.308	0.000	-531.295	0.000	0.000	0.000	0.000	2422.650	-93.714	0.000	0.000
../06_emref/emref_5.pdb	-	3	122.723	12.939	0.000	42.599	35.624	0.017	11.866	-	-	-	3016.820	0.000	0.000	3801.400	0.000	0.000	0.000	20.331	0.000	-591.613	0.000	0.000	0.000	0.000	2344.240	-80.968	0.000	0.000
../06_emref/emref_7.pdb	-	4	142.428	30.197	0.000	60.774	54.353	0.007	29.224	-	-	-	3267.120	0.000	0.000	3666.720	0.000	0.000	0.000	19.198	0.000	-479.983	0.000	0.000	0.000	0.000	2679.650	-107.486	0.000	0.000
../06_emref/emref_15.pdb	-	5	144.976	29.714	0.006	59.267	53.522	0.010	28.977	-	-	-	3046.660	0.000	0.000	3495.870	0.000	0.000	0.000	2.560	0.000	-249.375	0.000	0.000	0.000	0.000	2684.910	-112.375	0.000	0.000
../06_emref/emref_3.pdb	-	6	151.755	31.099	0.000	64.635	56.073	0.006	29.637	-	-	-	3052.230	0.000	0.000	3176.380	0.000	0.000	0.000	28.427	0.000	-563.296	0.000	0.000	0.000	0.000	2419.690	-69.236	0.000	0.000
../06_emref/emref_10.pdb	-	7	166.958	34.545	0.000	74.684	62.448	0.005	31.394	-	-	-	3450.800	0.000	0.000	3649.000	0.000	0.000	0.000	16.324	0.000	-507.202	0.000	0.000	0.000	0.000	2850.600	-93.006	0.000	0.000
../06_emref/emref_13.pdb	-	8	174.701	30.020	0.000	60.184	53.960	0.007	29.066	-	-	-	3409.170	0.000	0.000	3442.910	0.000	0.000	0.000	20.318	0.000	-421.108	0.000	0.000	0.000	0.000	2885.750	-102.312	0.000	0.000
../06_emref/emref_2.pdb	-	9	177.232	12.249	0.000	29.384	26.520	0.031	12.009	-	-	-	3274.620	0.000	0.000	3155.840	0.000	0.000	0.000	34.044	0.000	-657.959	0.000	0.000	0.000	0.000	2563.980	-52.682	0.000	0.000
../06_emref/emref_12.pdb	-	10	177.419	22.586	0.000	52.335	46.132	0.010	22.165	-	-	-	3405.600	0.000	0.000	2833.950	0.000	0.000	0.000	5.459	0.000	-405.927	0.000	0.000	0.000	0.000	2912.260	-87.415	0.000	0.000
