model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	231.954	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3810.250	0.000	0.000	3443.110	0.000	0.000	0.000	16.931	0.000	-481.272	0.000	0.000	0.000	0.000	3259.230	-69.748	0.000	0.000
../06_emref/emref_5.pdb	-	2	234.767	16.923	0.000	42.904	36.208	0.015	16.710	-	-	-	3963.820	0.000	0.000	3436.530	0.000	0.000	0.000	3.701	0.000	-361.555	0.000	0.000	0.000	0.000	3509.260	-93.006	0.000	0.000
../06_emref/emref_2.pdb	-	3	258.145	18.123	0.000	43.297	37.686	0.015	17.995	-	-	-	4337.550	0.000	0.000	3309.680	0.000	0.000	0.000	10.863	0.000	-552.774	0.000	0.000	0.000	0.000	3708.860	-75.917	0.000	0.000
../06_emref/emref_3.pdb	-	4	262.090	4.152	0.228	10.266	9.020	0.250	4.331	-	-	-	4500.250	0.000	0.000	3345.430	0.000	0.000	0.000	16.523	0.000	-670.907	0.000	0.000	0.000	0.000	3759.070	-70.277	0.000	0.000
../06_emref/emref_4.pdb	-	5	269.399	12.446	0.016	25.590	21.875	0.043	18.464	-	-	-	4249.590	0.000	0.000	3380.740	0.000	0.000	0.000	32.174	0.000	-597.167	0.000	0.000	0.000	0.000	3584.120	-68.300	0.000	0.000
../06_emref/emref_6.pdb	-	6	276.703	24.370	0.000	64.405	37.406	0.007	26.987	-	-	-	4376.740	0.000	0.000	3405.920	0.000	0.000	0.000	10.296	0.000	-487.693	0.000	0.000	0.000	0.000	3815.320	-73.728	0.000	0.000
../06_emref/emref_15.pdb	-	7	292.123	9.974	0.000	37.943	25.742	0.023	9.869	-	-	-	4463.550	0.000	0.000	3294.830	0.000	0.000	0.000	26.515	0.000	-443.773	0.000	0.000	0.000	0.000	3927.790	-91.992	0.000	0.000
../06_emref/emref_19.pdb	-	8	297.645	23.980	0.000	79.567	50.061	0.005	25.492	-	-	-	4262.140	0.000	0.000	2662.520	0.000	0.000	0.000	15.574	0.000	-319.679	0.000	0.000	0.000	0.000	3862.250	-80.208	0.000	0.000
../06_emref/emref_9.pdb	-	9	305.564	13.540	0.000	27.532	26.830	0.033	18.410	-	-	-	4437.140	0.000	0.000	3147.210	0.000	0.000	0.000	33.288	0.000	-491.155	0.000	0.000	0.000	0.000	3872.780	-73.207	0.000	0.000
../06_emref/emref_18.pdb	-	10	312.804	22.995	0.000	72.016	48.246	0.006	26.751	-	-	-	4794.430	0.000	0.000	3085.600	0.000	0.000	0.000	-2.079	0.000	-331.093	0.000	0.000	0.000	0.000	4364.990	-98.342	0.000	0.000
../06_emref/emref_10.pdb	-	11	315.500	11.246	0.000	28.173	20.910	0.034	14.430	-	-	-	4653.080	0.000	0.000	3356.630	0.000	0.000	0.000	17.575	0.000	-400.007	0.000	0.000	0.000	0.000	4165.700	-87.381	0.000	0.000
../06_emref/emref_17.pdb	-	12	316.309	9.648	0.016	38.975	25.425	0.028	9.706	-	-	-	4450.220	0.000	0.000	3384.670	0.000	0.000	0.000	21.113	0.000	-339.044	0.000	0.000	0.000	0.000	4029.160	-82.018	0.000	0.000
../06_emref/emref_14.pdb	-	13	318.630	24.948	0.031	67.168	38.390	0.017	26.177	-	-	-	4612.490	0.000	0.000	2847.900	0.000	0.000	0.000	4.967	0.000	-458.629	0.000	0.000	0.000	0.000	4098.000	-55.861	0.000	0.000
../06_emref/emref_23.pdb	-	14	320.512	11.170	0.000	45.275	29.159	0.017	11.523	-	-	-	4667.070	0.000	0.000	2825.120	0.000	0.000	0.000	7.574	0.000	-335.524	0.000	0.000	0.000	0.000	4244.880	-86.664	0.000	0.000
../06_emref/emref_16.pdb	-	15	320.545	24.882	0.016	67.422	38.173	0.012	27.241	-	-	-	4551.800	0.000	0.000	3101.850	0.000	0.000	0.000	22.374	0.000	-471.289	0.000	0.000	0.000	0.000	4017.760	-62.752	0.000	0.000
../06_emref/emref_22.pdb	-	16	321.282	12.164	0.000	32.892	29.872	0.026	10.571	-	-	-	4728.270	0.000	0.000	3064.970	0.000	0.000	0.000	22.126	0.000	-429.144	0.000	0.000	0.000	0.000	4211.280	-87.842	0.000	0.000
../06_emref/emref_24.pdb	-	17	325.251	4.739	0.323	17.334	9.395	0.203	5.791	-	-	-	4383.950	0.000	0.000	2585.410	0.000	0.000	0.000	4.095	0.000	-227.708	0.000	0.000	0.000	0.000	4084.540	-71.697	0.000	0.000
../06_emref/emref_8.pdb	-	18	326.825	27.180	0.000	69.642	44.796	0.006	28.877	-	-	-	4704.740	0.000	0.000	3433.700	0.000	0.000	0.000	25.936	0.000	-456.577	0.000	0.000	0.000	0.000	4169.890	-78.269	0.000	0.000
../06_emref/emref_31.pdb	-	19	329.579	26.110	0.000	67.618	42.412	0.006	28.258	-	-	-	4410.870	0.000	0.000	2875.440	0.000	0.000	0.000	15.683	0.000	-243.969	0.000	0.000	0.000	0.000	4088.510	-78.397	0.000	0.000
../06_emref/emref_21.pdb	-	20	329.917	5.689	0.134	25.815	15.882	0.099	5.595	-	-	-	4514.720	0.000	0.000	2594.290	0.000	0.000	0.000	20.019	0.000	-354.285	0.000	0.000	0.000	0.000	4089.720	-70.717	0.000	0.000
../06_emref/emref_29.pdb	-	21	329.948	14.285	0.000	43.661	25.752	0.016	21.470	-	-	-	4562.320	0.000	0.000	2768.200	0.000	0.000	0.000	11.006	0.000	-249.538	0.000	0.000	0.000	0.000	4225.400	-87.383	0.000	0.000
