model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	242.771	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4594.570	0.000	0.000	3960.290	0.000	0.000	0.000	12.870	0.000	-529.251	0.000	0.000	0.000	0.000	3941.620	-123.706	0.000	0.000
../06_emref/emref_9.pdb	-	2	249.635	21.117	0.013	53.121	38.661	0.014	21.702	-	-	-	3896.530	0.000	0.000	3188.970	0.000	0.000	0.000	11.746	0.000	-362.278	0.000	0.000	0.000	0.000	3454.940	-79.309	0.000	0.000
../06_emref/emref_3.pdb	-	3	253.577	27.786	0.039	65.646	46.382	0.019	25.292	-	-	-	4218.890	0.000	0.000	3222.450	0.000	0.000	0.000	6.306	0.000	-325.929	0.000	0.000	0.000	0.000	3783.530	-109.432	0.000	0.000
../06_emref/emref_14.pdb	-	4	291.899	30.941	0.000	67.284	47.618	0.006	27.743	-	-	-	4360.630	0.000	0.000	3090.560	0.000	0.000	0.000	11.977	0.000	-442.864	0.000	0.000	0.000	0.000	3850.200	-67.569	0.000	0.000
../06_emref/emref_17.pdb	-	5	292.755	19.526	0.000	39.166	41.559	0.017	20.970	-	-	-	4697.830	0.000	0.000	3478.540	0.000	0.000	0.000	2.602	0.000	-310.986	0.000	0.000	0.000	0.000	4269.410	-117.433	0.000	0.000
../06_emref/emref_7.pdb	-	6	293.168	16.780	0.000	43.587	32.058	0.015	19.219	-	-	-	4328.700	0.000	0.000	3223.100	0.000	0.000	0.000	20.009	0.000	-404.600	0.000	0.000	0.000	0.000	3845.310	-78.791	0.000	0.000
../06_emref/emref_26.pdb	-	7	295.126	25.344	0.013	61.711	45.364	0.012	23.222	-	-	-	4498.730	0.000	0.000	3012.620	0.000	0.000	0.000	13.850	0.000	-437.653	0.000	0.000	0.000	0.000	3980.010	-81.067	0.000	0.000
../06_emref/emref_6.pdb	-	8	299.108	29.668	0.026	67.641	46.716	0.015	25.638	-	-	-	4338.060	0.000	0.000	2896.120	0.000	0.000	0.000	23.232	0.000	-476.125	0.000	0.000	0.000	0.000	3799.230	-62.705	0.000	0.000
../06_emref/emref_8.pdb	-	9	301.145	25.778	0.000	68.811	55.269	0.006	25.324	-	-	-	4548.100	0.000	0.000	3392.870	0.000	0.000	0.000	12.104	0.000	-386.885	0.000	0.000	0.000	0.000	4072.830	-88.392	0.000	0.000
../06_emref/emref_30.pdb	-	10	306.583	22.818	0.000	59.840	46.705	0.008	22.085	-	-	-	4511.440	0.000	0.000	2583.810	0.000	0.000	0.000	15.941	0.000	-425.699	0.000	0.000	0.000	0.000	4010.380	-75.362	0.000	0.000
../06_emref/emref_32.pdb	-	11	313.574	19.300	0.000	40.684	37.104	0.016	19.265	-	-	-	4430.210	0.000	0.000	3017.830	0.000	0.000	0.000	8.066	0.000	-307.534	0.000	0.000	0.000	0.000	4046.680	-76.006	0.000	0.000
../06_emref/emref_37.pdb	-	12	314.557	17.139	0.000	42.456	34.222	0.015	21.935	-	-	-	4388.690	0.000	0.000	3057.190	0.000	0.000	0.000	21.616	0.000	-396.890	0.000	0.000	0.000	0.000	3925.250	-66.549	0.000	0.000
../06_emref/emref_16.pdb	-	13	315.266	14.614	0.000	33.074	26.276	0.024	17.436	-	-	-	4877.390	0.000	0.000	3759.510	0.000	0.000	0.000	12.836	0.000	-405.888	0.000	0.000	0.000	0.000	4367.370	-104.131	0.000	0.000
../06_emref/emref_12.pdb	-	14	317.348	31.952	0.006	73.155	50.363	0.007	26.656	-	-	-	4416.580	0.000	0.000	3100.520	0.000	0.000	0.000	27.309	0.000	-413.911	0.000	0.000	0.000	0.000	3933.840	-68.837	0.000	0.000
../06_emref/emref_5.pdb	-	15	321.708	12.927	0.000	27.020	19.431	0.034	19.306	-	-	-	4453.320	0.000	0.000	3224.030	0.000	0.000	0.000	25.963	0.000	-390.812	0.000	0.000	0.000	0.000	3991.080	-71.424	0.000	0.000
