model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	78.263	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3050.310	0.000	0.000	3990.960	0.000	0.000	0.000	33.053	0.000	-663.090	0.000	0.000	0.000	0.000	2260.020	-127.203	0.000	0.000
../06_emref/emref_4.pdb	-	2	144.804	7.122	0.029	26.224	20.206	0.056	6.887	-	-	-	2952.520	0.000	0.000	2835.690	0.000	0.000	0.000	16.025	0.000	-493.375	0.000	0.000	0.000	0.000	2391.350	-67.797	0.000	0.000
../06_emref/emref_3.pdb	-	3	148.993	27.298	0.041	69.781	45.390	0.020	27.140	-	-	-	3330.240	0.000	0.000	3491.670	0.000	0.000	0.000	32.519	0.000	-631.640	0.000	0.000	0.000	0.000	2608.380	-90.222	0.000	0.000
../06_emref/emref_6.pdb	-	4	154.157	11.192	0.000	32.088	26.474	0.028	11.658	-	-	-	3370.150	0.000	0.000	3340.260	0.000	0.000	0.000	9.791	0.000	-435.236	0.000	0.000	0.000	0.000	2829.310	-105.602	0.000	0.000
../06_emref/emref_2.pdb	-	5	169.567	28.423	0.000	77.509	57.635	0.005	28.132	-	-	-	3415.050	0.000	0.000	3540.400	0.000	0.000	0.000	20.185	0.000	-573.062	0.000	0.000	0.000	0.000	2764.480	-77.511	0.000	0.000
../06_emref/emref_22.pdb	-	6	177.125	26.777	0.023	74.470	48.658	0.013	27.822	-	-	-	3095.080	0.000	0.000	3294.060	0.000	0.000	0.000	8.161	0.000	-322.812	0.000	0.000	0.000	0.000	2696.290	-75.981	0.000	0.000
../06_emref/emref_8.pdb	-	7	184.114	21.174	0.006	68.772	44.291	0.009	22.152	-	-	-	3222.440	0.000	0.000	2917.620	0.000	0.000	0.000	8.589	0.000	-387.812	0.000	0.000	0.000	0.000	2765.470	-69.156	0.000	0.000
../06_emref/emref_9.pdb	-	8	187.028	28.703	0.000	78.311	57.837	0.005	30.644	-	-	-	3354.740	0.000	0.000	3308.660	0.000	0.000	0.000	10.091	0.000	-389.970	0.000	0.000	0.000	0.000	2884.230	-80.543	0.000	0.000
../06_emref/emref_12.pdb	-	9	187.551	11.924	0.000	47.921	36.014	0.015	13.931	-	-	-	3238.110	0.000	0.000	2764.260	0.000	0.000	0.000	19.280	0.000	-398.509	0.000	0.000	0.000	0.000	2763.760	-75.839	0.000	0.000
../06_emref/emref_10.pdb	-	10	187.658	10.729	0.000	25.083	21.428	0.041	11.467	-	-	-	3488.870	0.000	0.000	2934.960	0.000	0.000	0.000	16.329	0.000	-559.619	0.000	0.000	0.000	0.000	2863.610	-65.634	0.000	0.000
