model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_9.pdb	-	1	263.157	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4019.200	0.000	0.000	2858.470	0.000	0.000	0.000	6.136	0.000	-314.071	0.000	0.000	0.000	0.000	3623.050	-82.085	0.000	0.000
../06_emref/emref_2.pdb	-	2	263.326	22.748	0.019	67.125	40.142	0.013	26.420	-	-	-	4429.040	0.000	0.000	3644.870	0.000	0.000	0.000	15.863	0.000	-438.525	0.000	0.000	0.000	0.000	3882.780	-107.736	0.000	0.000
../06_emref/emref_7.pdb	-	3	265.594	9.407	0.000	28.069	23.188	0.036	8.780	-	-	-	4107.390	0.000	0.000	3428.650	0.000	0.000	0.000	11.013	0.000	-455.772	0.000	0.000	0.000	0.000	3586.610	-65.003	0.000	0.000
../06_emref/emref_1.pdb	-	4	271.966	27.734	0.000	76.080	55.089	0.005	30.543	-	-	-	4621.980	0.000	0.000	3286.160	0.000	0.000	0.000	8.512	0.000	-460.260	0.000	0.000	0.000	0.000	4055.030	-106.692	0.000	0.000
../06_emref/emref_3.pdb	-	5	276.290	5.087	0.093	13.696	10.273	0.150	5.082	-	-	-	4099.540	0.000	0.000	2982.100	0.000	0.000	0.000	12.124	0.000	-467.172	0.000	0.000	0.000	0.000	3580.010	-52.354	0.000	0.000
../06_emref/emref_11.pdb	-	6	279.658	25.855	0.000	74.015	49.280	0.005	26.456	-	-	-	4343.020	0.000	0.000	3442.430	0.000	0.000	0.000	13.481	0.000	-492.758	0.000	0.000	0.000	0.000	3780.680	-69.573	0.000	0.000
../06_emref/emref_22.pdb	-	7	295.495	26.549	0.037	68.483	43.299	0.018	27.633	-	-	-	4477.320	0.000	0.000	3292.790	0.000	0.000	0.000	21.038	0.000	-375.279	0.000	0.000	0.000	0.000	4003.830	-98.219	0.000	0.000
../06_emref/emref_17.pdb	-	8	296.080	14.551	0.000	35.816	35.109	0.021	19.483	-	-	-	4405.730	0.000	0.000	3177.580	0.000	0.000	0.000	7.169	0.000	-319.934	0.000	0.000	0.000	0.000	3998.120	-87.674	0.000	0.000
../06_emref/emref_20.pdb	-	9	301.643	26.560	0.037	68.503	43.104	0.018	27.528	-	-	-	4528.630	0.000	0.000	3087.520	0.000	0.000	0.000	22.533	0.000	-405.491	0.000	0.000	0.000	0.000	4030.490	-92.656	0.000	0.000
../06_emref/emref_12.pdb	-	10	307.861	6.187	0.046	25.754	15.576	0.067	6.408	-	-	-	4202.650	0.000	0.000	2822.160	0.000	0.000	0.000	8.272	0.000	-333.792	0.000	0.000	0.000	0.000	3814.940	-53.918	0.000	0.000
../06_emref/emref_4.pdb	-	11	310.904	16.664	0.000	45.849	36.887	0.014	17.445	-	-	-	4902.120	0.000	0.000	3585.430	0.000	0.000	0.000	17.431	0.000	-507.929	0.000	0.000	0.000	0.000	4299.040	-95.153	0.000	0.000
../06_emref/emref_10.pdb	-	12	311.126	26.062	0.037	66.417	41.911	0.019	28.102	-	-	-	4916.100	0.000	0.000	3456.060	0.000	0.000	0.000	16.241	0.000	-510.244	0.000	0.000	0.000	0.000	4311.180	-94.677	0.000	0.000
../06_emref/emref_29.pdb	-	13	312.015	24.500	0.000	74.485	54.153	0.006	26.978	-	-	-	4473.020	0.000	0.000	2774.150	0.000	0.000	0.000	0.340	0.000	-253.680	0.000	0.000	0.000	0.000	4134.450	-84.891	0.000	0.000
../06_emref/emref_5.pdb	-	14	313.874	17.271	0.000	47.837	34.847	0.013	21.840	-	-	-	4726.920	0.000	0.000	3138.510	0.000	0.000	0.000	15.771	0.000	-452.499	0.000	0.000	0.000	0.000	4190.330	-84.089	0.000	0.000
../06_emref/emref_6.pdb	-	15	314.333	10.383	0.000	26.548	16.630	0.038	17.370	-	-	-	4612.050	0.000	0.000	3249.540	0.000	0.000	0.000	11.247	0.000	-378.376	0.000	0.000	0.000	0.000	4151.230	-82.444	0.000	0.000
../06_emref/emref_26.pdb	-	16	315.204	26.470	0.009	67.797	42.972	0.009	28.415	-	-	-	4485.280	0.000	0.000	3363.210	0.000	0.000	0.000	8.269	0.000	-261.781	0.000	0.000	0.000	0.000	4134.270	-89.237	0.000	0.000
../06_emref/emref_40.pdb	-	17	320.567	11.400	0.056	43.685	22.438	0.036	16.356	-	-	-	4833.140	0.000	0.000	3445.210	0.000	0.000	0.000	-7.123	0.000	-226.163	0.000	0.000	0.000	0.000	4496.580	-110.391	0.000	0.000
../06_emref/emref_23.pdb	-	18	322.123	23.343	0.000	68.974	50.798	0.006	26.810	-	-	-	4628.890	0.000	0.000	2760.600	0.000	0.000	0.000	13.271	0.000	-371.389	0.000	0.000	0.000	0.000	4177.750	-79.759	0.000	0.000
../06_emref/emref_18.pdb	-	19	322.385	12.655	0.000	29.972	26.530	0.029	17.752	-	-	-	4634.160	0.000	0.000	3352.810	0.000	0.000	0.000	17.720	0.000	-294.619	0.000	0.000	0.000	0.000	4239.720	-99.827	0.000	0.000
../06_emref/emref_8.pdb	-	20	324.038	23.376	0.056	66.105	41.336	0.025	26.655	-	-	-	5161.250	0.000	0.000	3871.820	0.000	0.000	0.000	13.621	0.000	-543.752	0.000	0.000	0.000	0.000	4520.540	-96.958	0.000	0.000
../06_emref/emref_37.pdb	-	21	325.822	24.494	0.000	74.486	53.379	0.006	26.937	-	-	-	4900.560	0.000	0.000	3140.860	0.000	0.000	0.000	8.120	0.000	-398.937	0.000	0.000	0.000	0.000	4409.060	-92.567	0.000	0.000
../06_emref/emref_31.pdb	-	22	326.878	29.566	0.000	77.832	55.833	0.005	30.997	-	-	-	4756.070	0.000	0.000	3060.420	0.000	0.000	0.000	10.610	0.000	-312.871	0.000	0.000	0.000	0.000	4346.430	-96.765	0.000	0.000
../06_emref/emref_45.pdb	-	23	328.259	15.518	0.000	38.234	37.512	0.019	20.339	-	-	-	4683.030	0.000	0.000	3243.550	0.000	0.000	0.000	16.589	0.000	-295.688	0.000	0.000	0.000	0.000	4289.850	-97.495	0.000	0.000
../06_emref/emref_43.pdb	-	24	333.332	15.196	0.000	41.052	36.469	0.017	20.618	-	-	-	4964.430	0.000	0.000	3243.790	0.000	0.000	0.000	8.103	0.000	-284.385	0.000	0.000	0.000	0.000	4565.710	-114.337	0.000	0.000
../06_emref/emref_16.pdb	-	25	335.209	16.781	0.000	46.029	36.734	0.014	17.553	-	-	-	5189.210	0.000	0.000	3579.820	0.000	0.000	0.000	11.259	0.000	-481.777	0.000	0.000	0.000	0.000	4608.820	-98.616	0.000	0.000
../06_emref/emref_46.pdb	-	26	338.512	17.198	0.056	57.975	36.289	0.028	19.307	-	-	-	4983.160	0.000	0.000	3175.190	0.000	0.000	0.000	-2.434	0.000	-322.199	0.000	0.000	0.000	0.000	4568.030	-92.930	0.000	0.000
../06_emref/emref_15.pdb	-	27	338.961	15.936	0.000	47.512	40.140	0.013	15.174	-	-	-	5017.330	0.000	0.000	3202.890	0.000	0.000	0.000	10.490	0.000	-475.309	0.000	0.000	0.000	0.000	4463.820	-78.200	0.000	0.000
../06_emref/emref_13.pdb	-	28	339.316	15.002	0.000	35.178	34.367	0.022	20.268	-	-	-	4978.160	0.000	0.000	3678.970	0.000	0.000	0.000	31.277	0.000	-405.167	0.000	0.000	0.000	0.000	4464.250	-108.744	0.000	0.000
../06_emref/emref_25.pdb	-	29	340.501	27.925	0.000	66.871	41.733	0.006	28.838	-	-	-	4713.270	0.000	0.000	2859.270	0.000	0.000	0.000	12.911	0.000	-259.446	0.000	0.000	0.000	0.000	4361.980	-91.848	0.000	0.000
../06_emref/emref_14.pdb	-	30	340.736	29.065	0.000	75.217	54.716	0.005	29.804	-	-	-	4857.080	0.000	0.000	3108.740	0.000	0.000	0.000	22.141	0.000	-425.810	0.000	0.000	0.000	0.000	4349.320	-81.951	0.000	0.000
../06_emref/emref_24.pdb	-	31	341.127	13.994	0.000	46.553	25.913	0.015	19.144	-	-	-	4667.910	0.000	0.000	2829.800	0.000	0.000	0.000	-3.665	0.000	-283.456	0.000	0.000	0.000	0.000	4319.140	-65.308	0.000	0.000
../06_emref/emref_19.pdb	-	32	341.838	28.312	0.000	82.423	59.144	0.004	28.984	-	-	-	4995.420	0.000	0.000	2888.950	0.000	0.000	0.000	7.841	0.000	-512.961	0.000	0.000	0.000	0.000	4419.500	-62.953	0.000	0.000
../06_emref/emref_21.pdb	-	33	344.442	7.761	0.009	18.130	16.443	0.075	7.372	-	-	-	4722.110	0.000	0.000	3134.490	0.000	0.000	0.000	19.737	0.000	-397.351	0.000	0.000	0.000	0.000	4256.720	-68.035	0.000	0.000
