model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_8.pdb	-	1	144.740	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3106.640	0.000	0.000	3301.350	0.000	0.000	0.000	11.691	0.000	-396.041	0.000	0.000	0.000	0.000	2612.190	-98.407	0.000	0.000
../06_emref/emref_1.pdb	-	2	146.261	8.458	0.023	31.376	17.774	0.041	11.809	-	-	-	3576.850	0.000	0.000	3601.890	0.000	0.000	0.000	15.862	0.000	-596.821	0.000	0.000	0.000	0.000	2872.110	-107.921	0.000	0.000
../06_emref/emref_4.pdb	-	3	166.781	15.815	0.000	62.969	28.646	0.009	24.274	-	-	-	3324.160	0.000	0.000	2839.260	0.000	0.000	0.000	23.578	0.000	-557.553	0.000	0.000	0.000	0.000	2688.900	-77.703	0.000	0.000
../06_emref/emref_3.pdb	-	4	172.623	24.533	0.000	68.162	42.300	0.006	29.997	-	-	-	3592.380	0.000	0.000	3670.690	0.000	0.000	0.000	40.680	0.000	-686.943	0.000	0.000	0.000	0.000	2815.530	-89.907	0.000	0.000
../06_emref/emref_9.pdb	-	5	177.263	15.510	0.000	55.365	40.620	0.011	18.039	-	-	-	3130.210	0.000	0.000	3103.480	0.000	0.000	0.000	5.296	0.000	-383.381	0.000	0.000	0.000	0.000	2682.450	-64.378	0.000	0.000
../06_emref/emref_22.pdb	-	6	177.485	29.845	0.000	80.137	63.279	0.005	32.315	-	-	-	3309.890	0.000	0.000	3314.000	0.000	0.000	0.000	13.459	0.000	-397.669	0.000	0.000	0.000	0.000	2824.800	-87.430	0.000	0.000
../06_emref/emref_2.pdb	-	7	177.838	19.226	0.000	59.043	39.053	0.009	28.277	-	-	-	3393.950	0.000	0.000	3035.250	0.000	0.000	0.000	12.567	0.000	-537.647	0.000	0.000	0.000	0.000	2789.710	-66.595	0.000	0.000
../06_emref/emref_7.pdb	-	8	178.530	11.521	0.000	58.302	24.878	0.012	15.039	-	-	-	3747.260	0.000	0.000	3265.630	0.000	0.000	0.000	11.344	0.000	-598.316	0.000	0.000	0.000	0.000	3061.070	-87.877	0.000	0.000
../06_emref/emref_28.pdb	-	9	185.256	24.856	0.000	78.760	50.164	0.005	27.058	-	-	-	3157.230	0.000	0.000	2798.070	0.000	0.000	0.000	9.737	0.000	-422.785	0.000	0.000	0.000	0.000	2678.800	-55.647	0.000	0.000
../06_emref/emref_19.pdb	-	10	186.389	12.146	0.000	80.346	38.426	0.009	11.338	-	-	-	3063.000	0.000	0.000	2759.510	0.000	0.000	0.000	4.840	0.000	-275.967	0.000	0.000	0.000	0.000	2717.470	-69.557	0.000	0.000
../06_emref/emref_5.pdb	-	11	189.953	12.547	0.000	37.774	28.613	0.021	16.005	-	-	-	3629.080	0.000	0.000	3212.230	0.000	0.000	0.000	23.335	0.000	-669.552	0.000	0.000	0.000	0.000	2897.140	-62.380	0.000	0.000
../06_emref/emref_14.pdb	-	12	190.993	28.322	0.000	79.016	59.315	0.005	31.353	-	-	-	3548.620	0.000	0.000	3455.470	0.000	0.000	0.000	22.104	0.000	-429.099	0.000	0.000	0.000	0.000	3019.370	-100.154	0.000	0.000
../06_emref/emref_15.pdb	-	13	199.507	22.333	0.000	81.807	43.137	0.005	25.963	-	-	-	3278.710	0.000	0.000	3157.680	0.000	0.000	0.000	20.668	0.000	-341.597	0.000	0.000	0.000	0.000	2856.400	-80.713	0.000	0.000
../06_emref/emref_20.pdb	-	14	201.093	28.569	0.000	80.526	60.222	0.005	31.117	-	-	-	3541.920	0.000	0.000	3085.180	0.000	0.000	0.000	31.310	0.000	-508.898	0.000	0.000	0.000	0.000	2950.390	-82.630	0.000	0.000
../06_emref/emref_21.pdb	-	15	201.770	21.543	0.008	84.591	35.311	0.007	26.402	-	-	-	3646.730	0.000	0.000	3333.410	0.000	0.000	0.000	6.871	0.000	-422.055	0.000	0.000	0.000	0.000	3139.310	-85.362	0.000	0.000
../06_emref/emref_27.pdb	-	16	202.194	13.170	0.000	74.932	38.432	0.009	12.381	-	-	-	3395.910	0.000	0.000	3468.250	0.000	0.000	0.000	4.659	0.000	-310.573	0.000	0.000	0.000	0.000	3005.390	-79.942	0.000	0.000
../06_emref/emref_12.pdb	-	17	204.959	12.958	0.000	33.142	32.408	0.025	13.649	-	-	-	3535.380	0.000	0.000	3653.040	0.000	0.000	0.000	10.072	0.000	-448.305	0.000	0.000	0.000	0.000	3018.080	-68.990	0.000	0.000
../06_emref/emref_11.pdb	-	18	207.008	18.063	0.000	54.611	34.920	0.010	23.032	-	-	-	4036.370	0.000	0.000	3341.090	0.000	0.000	0.000	28.674	0.000	-608.701	0.000	0.000	0.000	0.000	3324.110	-103.563	0.000	0.000
../06_emref/emref_16.pdb	-	19	207.052	18.075	0.000	71.509	30.914	0.007	23.551	-	-	-	3526.170	0.000	0.000	2985.900	0.000	0.000	0.000	19.192	0.000	-503.649	0.000	0.000	0.000	0.000	2958.500	-64.027	0.000	0.000
../06_emref/emref_24.pdb	-	20	208.512	20.152	0.000	59.199	38.574	0.009	27.645	-	-	-	3447.290	0.000	0.000	2800.100	0.000	0.000	0.000	17.255	0.000	-356.499	0.000	0.000	0.000	0.000	3008.620	-82.173	0.000	0.000
../06_emref/emref_6.pdb	-	21	209.329	25.706	0.000	81.718	54.583	0.005	30.693	-	-	-	3836.440	0.000	0.000	3728.100	0.000	0.000	0.000	27.124	0.000	-591.013	0.000	0.000	0.000	0.000	3162.190	-83.237	0.000	0.000
../06_emref/emref_26.pdb	-	22	209.900	24.113	0.000	91.082	49.408	0.004	25.617	-	-	-	3480.600	0.000	0.000	2690.850	0.000	0.000	0.000	0.467	0.000	-311.718	0.000	0.000	0.000	0.000	3092.600	-76.283	0.000	0.000
../06_emref/emref_17.pdb	-	23	210.856	24.387	0.000	76.353	48.957	0.005	28.594	-	-	-	3445.960	0.000	0.000	3165.880	0.000	0.000	0.000	20.091	0.000	-526.621	0.000	0.000	0.000	0.000	2870.830	-48.507	0.000	0.000
../06_emref/emref_33.pdb	-	24	210.867	23.273	0.000	93.643	44.450	0.004	26.024	-	-	-	3415.720	0.000	0.000	3125.940	0.000	0.000	0.000	3.688	0.000	-253.647	0.000	0.000	0.000	0.000	3078.410	-83.664	0.000	0.000
../06_emref/emref_10.pdb	-	25	212.806	21.284	0.031	80.089	38.192	0.016	25.860	-	-	-	3601.370	0.000	0.000	3129.660	0.000	0.000	0.000	12.401	0.000	-497.842	0.000	0.000	0.000	0.000	3043.360	-60.164	0.000	0.000
../06_emref/emref_25.pdb	-	26	213.218	15.567	0.000	59.257	36.860	0.010	17.684	-	-	-	3572.780	0.000	0.000	2964.970	0.000	0.000	0.000	0.831	0.000	-340.396	0.000	0.000	0.000	0.000	3155.570	-76.812	0.000	0.000
../06_emref/emref_43.pdb	-	27	213.396	26.493	0.000	77.899	57.082	0.005	29.429	-	-	-	3457.510	0.000	0.000	3189.670	0.000	0.000	0.000	5.559	0.000	-343.164	0.000	0.000	0.000	0.000	3045.060	-69.282	0.000	0.000
../06_emref/emref_13.pdb	-	28	213.772	22.605	0.000	90.202	45.493	0.004	26.175	-	-	-	3277.600	0.000	0.000	2813.430	0.000	0.000	0.000	5.869	0.000	-374.465	0.000	0.000	0.000	0.000	2858.170	-44.965	0.000	0.000
../06_emref/emref_30.pdb	-	29	217.718	14.392	0.000	37.308	37.631	0.020	13.840	-	-	-	3278.060	0.000	0.000	3002.120	0.000	0.000	0.000	-3.745	0.000	-191.939	0.000	0.000	0.000	0.000	3018.170	-67.955	0.000	0.000
../06_emref/emref_23.pdb	-	30	220.518	18.585	0.000	94.910	45.023	0.005	20.498	-	-	-	3697.560	0.000	0.000	2508.130	0.000	0.000	0.000	25.709	0.000	-556.260	0.000	0.000	0.000	0.000	3077.610	-63.696	0.000	0.000
../06_emref/emref_29.pdb	-	31	231.667	16.040	0.000	59.821	42.139	0.009	20.401	-	-	-	3595.240	0.000	0.000	2700.690	0.000	0.000	0.000	5.824	0.000	-376.819	0.000	0.000	0.000	0.000	3160.100	-58.317	0.000	0.000
