model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	141.679	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3589.970	0.000	0.000	4387.050	0.000	0.000	0.000	28.235	0.000	-587.894	0.000	0.000	0.000	0.000	2874.100	-127.975	0.000	0.000
../06_emref/emref_4.pdb	-	2	152.094	8.448	0.000	20.799	20.432	0.058	7.467	-	-	-	3243.460	0.000	0.000	3261.340	0.000	0.000	0.000	15.043	0.000	-562.299	0.000	0.000	0.000	0.000	2606.320	-74.835	0.000	0.000
../06_emref/emref_2.pdb	-	3	161.902	26.366	0.029	67.453	50.590	0.016	26.373	-	-	-	3279.450	0.000	0.000	3367.510	0.000	0.000	0.000	18.790	0.000	-482.145	0.000	0.000	0.000	0.000	2708.900	-88.404	0.000	0.000
../06_emref/emref_3.pdb	-	4	162.729	29.165	0.041	68.062	51.376	0.020	29.221	-	-	-	3362.710	0.000	0.000	3582.510	0.000	0.000	0.000	27.910	0.000	-484.569	0.000	0.000	0.000	0.000	2773.610	-104.538	0.000	0.000
../06_emref/emref_21.pdb	-	5	170.978	29.254	0.000	76.237	63.310	0.005	29.611	-	-	-	3409.370	0.000	0.000	3370.390	0.000	0.000	0.000	12.106	0.000	-297.793	0.000	0.000	0.000	0.000	2989.070	-122.506	0.000	0.000
../06_emref/emref_5.pdb	-	6	173.794	29.093	0.000	76.281	66.570	0.005	29.352	-	-	-	3228.670	0.000	0.000	3307.340	0.000	0.000	0.000	12.057	0.000	-418.471	0.000	0.000	0.000	0.000	2732.770	-77.436	0.000	0.000
../06_emref/emref_13.pdb	-	7	177.274	12.773	0.000	45.206	34.668	0.016	13.555	-	-	-	3331.920	0.000	0.000	3159.640	0.000	0.000	0.000	10.161	0.000	-424.852	0.000	0.000	0.000	0.000	2825.960	-81.109	0.000	0.000
../06_emref/emref_10.pdb	-	8	180.584	1.033	0.635	2.898	2.121	0.736	1.052	-	-	-	3409.380	0.000	0.000	3811.680	0.000	0.000	0.000	17.062	0.000	-361.985	0.000	0.000	0.000	0.000	2942.370	-105.019	0.000	0.000
../06_emref/emref_9.pdb	-	9	180.924	29.736	0.000	77.228	66.386	0.005	29.593	-	-	-	3278.830	0.000	0.000	3389.630	0.000	0.000	0.000	1.650	0.000	-309.649	0.000	0.000	0.000	0.000	2882.500	-86.680	0.000	0.000
../06_emref/emref_11.pdb	-	10	181.690	31.164	0.000	73.582	65.702	0.005	31.894	-	-	-	3223.090	0.000	0.000	2613.340	0.000	0.000	0.000	8.516	0.000	-397.136	0.000	0.000	0.000	0.000	2756.250	-69.709	0.000	0.000
