model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_3.pdb	-	1	218.763	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3913.350	0.000	0.000	3375.180	0.000	0.000	0.000	-5.458	0.000	-340.886	0.000	0.000	0.000	0.000	3473.530	-98.937	0.000	0.000
../06_emref/emref_1.pdb	-	2	221.994	16.201	0.035	59.130	30.734	0.021	21.431	-	-	-	4254.230	0.000	0.000	3906.190	0.000	0.000	0.000	15.807	0.000	-639.399	0.000	0.000	0.000	0.000	3523.470	-91.356	0.000	0.000
../06_emref/emref_2.pdb	-	3	268.150	17.140	0.000	45.278	36.854	0.014	18.984	-	-	-	4348.370	0.000	0.000	3463.360	0.000	0.000	0.000	19.704	0.000	-477.051	0.000	0.000	0.000	0.000	3780.340	-90.981	0.000	0.000
../06_emref/emref_7.pdb	-	4	268.591	19.063	0.000	55.725	39.223	0.010	23.244	-	-	-	4404.640	0.000	0.000	3384.150	0.000	0.000	0.000	24.169	0.000	-517.447	0.000	0.000	0.000	0.000	3794.640	-92.553	0.000	0.000
../06_emref/emref_19.pdb	-	5	272.247	14.871	0.000	47.720	30.012	0.014	18.284	-	-	-	4198.530	0.000	0.000	3317.960	0.000	0.000	0.000	-11.221	0.000	-258.704	0.000	0.000	0.000	0.000	3855.190	-84.645	0.000	0.000
../06_emref/emref_8.pdb	-	6	283.365	15.864	0.000	56.067	37.117	0.010	18.617	-	-	-	4177.370	0.000	0.000	2959.960	0.000	0.000	0.000	-2.826	0.000	-300.002	0.000	0.000	0.000	0.000	3805.820	-71.545	0.000	0.000
../06_emref/emref_5.pdb	-	7	292.366	16.252	0.000	51.945	35.826	0.012	19.772	-	-	-	4397.540	0.000	0.000	3203.310	0.000	0.000	0.000	13.470	0.000	-488.442	0.000	0.000	0.000	0.000	3845.920	-63.170	0.000	0.000
../06_emref/emref_12.pdb	-	8	295.198	13.746	0.000	64.088	38.183	0.010	14.142	-	-	-	4560.390	0.000	0.000	3715.880	0.000	0.000	0.000	4.981	0.000	-374.407	0.000	0.000	0.000	0.000	4095.040	-90.941	0.000	0.000
../06_emref/emref_28.pdb	-	9	302.439	19.030	0.000	64.211	33.387	0.008	23.123	-	-	-	4540.690	0.000	0.000	2856.990	0.000	0.000	0.000	4.685	0.000	-398.640	0.000	0.000	0.000	0.000	4065.460	-76.587	0.000	0.000
../06_emref/emref_11.pdb	-	10	302.866	6.730	0.014	19.648	13.085	0.073	8.444	-	-	-	4839.770	0.000	0.000	3454.080	0.000	0.000	0.000	2.817	0.000	-373.007	0.000	0.000	0.000	0.000	4357.430	-109.326	0.000	0.000
../06_emref/emref_24.pdb	-	11	314.086	19.106	0.014	47.377	39.087	0.017	21.765	-	-	-	4514.060	0.000	0.000	3381.060	0.000	0.000	0.000	25.048	0.000	-342.046	0.000	0.000	0.000	0.000	4078.050	-93.959	0.000	0.000
../06_emref/emref_4.pdb	-	12	318.625	20.439	0.000	64.033	37.515	0.008	25.355	-	-	-	4660.520	0.000	0.000	2834.320	0.000	0.000	0.000	13.538	0.000	-496.781	0.000	0.000	0.000	0.000	4102.130	-61.608	0.000	0.000
../06_emref/emref_29.pdb	-	13	318.707	19.860	0.000	50.731	40.765	0.011	22.891	-	-	-	4531.620	0.000	0.000	3606.490	0.000	0.000	0.000	8.532	0.000	-247.596	0.000	0.000	0.000	0.000	4190.560	-93.468	0.000	0.000
../06_emref/emref_14.pdb	-	14	321.743	17.366	0.014	58.159	33.724	0.014	21.495	-	-	-	4794.070	0.000	0.000	3574.670	0.000	0.000	0.000	2.796	0.000	-396.848	0.000	0.000	0.000	0.000	4316.130	-81.090	0.000	0.000
../06_emref/emref_6.pdb	-	15	326.640	17.044	0.000	62.573	35.096	0.009	23.436	-	-	-	4670.430	0.000	0.000	3131.250	0.000	0.000	0.000	16.963	0.000	-389.079	0.000	0.000	0.000	0.000	4201.810	-79.550	0.000	0.000
../06_emref/emref_41.pdb	-	16	331.114	13.563	0.000	43.342	31.357	0.016	15.001	-	-	-	4852.590	0.000	0.000	3596.950	0.000	0.000	0.000	1.667	0.000	-308.482	0.000	0.000	0.000	0.000	4449.990	-94.116	0.000	0.000
../06_emref/emref_20.pdb	-	17	331.528	18.286	0.000	63.213	38.221	0.008	22.296	-	-	-	4789.790	0.000	0.000	3456.580	0.000	0.000	0.000	30.579	0.000	-325.091	0.000	0.000	0.000	0.000	4351.690	-113.012	0.000	0.000
../06_emref/emref_13.pdb	-	18	331.856	18.597	0.021	42.063	36.310	0.022	21.016	-	-	-	4634.110	0.000	0.000	3463.990	0.000	0.000	0.000	25.292	0.000	-410.742	0.000	0.000	0.000	0.000	4148.670	-74.698	0.000	0.000
../06_emref/emref_23.pdb	-	19	332.752	20.770	0.000	64.612	33.444	0.007	23.396	-	-	-	4382.990	0.000	0.000	2720.050	0.000	0.000	0.000	11.900	0.000	-292.520	0.000	0.000	0.000	0.000	4031.530	-58.943	0.000	0.000
../06_emref/emref_22.pdb	-	20	333.137	15.522	0.000	49.898	31.747	0.012	21.489	-	-	-	4938.720	0.000	0.000	2877.330	0.000	0.000	0.000	16.145	0.000	-569.809	0.000	0.000	0.000	0.000	4305.990	-62.919	0.000	0.000
../06_emref/emref_38.pdb	-	21	335.354	19.785	0.007	66.441	34.056	0.010	23.874	-	-	-	4249.750	0.000	0.000	2864.530	0.000	0.000	0.000	17.284	0.000	-225.091	0.000	0.000	0.000	0.000	3962.770	-61.887	0.000	0.000
../06_emref/emref_15.pdb	-	22	339.583	20.345	0.000	62.947	35.043	0.008	24.528	-	-	-	5026.470	0.000	0.000	3255.780	0.000	0.000	0.000	9.165	0.000	-460.243	0.000	0.000	0.000	0.000	4486.050	-80.181	0.000	0.000
../06_emref/emref_16.pdb	-	23	342.367	15.360	0.000	68.251	42.180	0.008	15.282	-	-	-	4625.510	0.000	0.000	3011.330	0.000	0.000	0.000	11.527	0.000	-355.278	0.000	0.000	0.000	0.000	4209.580	-60.656	0.000	0.000
../06_emref/emref_9.pdb	-	24	342.991	20.271	0.000	62.551	34.631	0.008	24.104	-	-	-	5102.750	0.000	0.000	3381.680	0.000	0.000	0.000	17.281	0.000	-551.118	0.000	0.000	0.000	0.000	4477.290	-74.342	0.000	0.000
../06_emref/emref_10.pdb	-	25	344.046	21.485	0.000	56.243	40.759	0.009	25.038	-	-	-	4911.700	0.000	0.000	3437.100	0.000	0.000	0.000	29.965	0.000	-439.139	0.000	0.000	0.000	0.000	4383.300	-89.261	0.000	0.000
../06_emref/emref_34.pdb	-	26	351.346	18.899	0.007	69.003	33.798	0.009	20.683	-	-	-	4706.770	0.000	0.000	3010.260	0.000	0.000	0.000	2.092	0.000	-257.808	0.000	0.000	0.000	0.000	4379.100	-69.862	0.000	0.000
../06_emref/emref_26.pdb	-	27	352.255	18.637	0.000	59.457	43.349	0.009	21.668	-	-	-	4732.900	0.000	0.000	3035.340	0.000	0.000	0.000	29.180	0.000	-418.050	0.000	0.000	0.000	0.000	4248.250	-66.605	0.000	0.000
../06_emref/emref_35.pdb	-	28	357.140	20.873	0.000	63.617	33.798	0.008	23.806	-	-	-	4760.820	0.000	0.000	3063.950	0.000	0.000	0.000	-1.017	0.000	-190.014	0.000	0.000	0.000	0.000	4490.880	-79.922	0.000	0.000
../06_emref/emref_32.pdb	-	29	358.680	10.307	0.000	36.099	21.292	0.024	13.481	-	-	-	5028.700	0.000	0.000	3135.800	0.000	0.000	0.000	15.180	0.000	-442.168	0.000	0.000	0.000	0.000	4515.590	-70.936	0.000	0.000
../06_emref/emref_47.pdb	-	30	360.245	21.673	0.000	63.864	46.790	0.007	24.143	-	-	-	4681.310	0.000	0.000	3104.750	0.000	0.000	0.000	26.042	0.000	-260.653	0.000	0.000	0.000	0.000	4338.860	-81.798	0.000	0.000
../06_emref/emref_17.pdb	-	31	363.424	16.543	0.007	67.360	31.040	0.010	19.416	-	-	-	5005.400	0.000	0.000	3002.340	0.000	0.000	0.000	5.671	0.000	-394.969	0.000	0.000	0.000	0.000	4546.640	-63.793	0.000	0.000
../06_emref/emref_27.pdb	-	32	364.169	20.299	0.000	62.622	44.294	0.008	23.638	-	-	-	4972.340	0.000	0.000	2961.180	0.000	0.000	0.000	22.746	0.000	-412.835	0.000	0.000	0.000	0.000	4486.260	-73.244	0.000	0.000
../06_emref/emref_31.pdb	-	33	367.322	16.582	0.035	45.889	33.437	0.025	19.374	-	-	-	5085.250	0.000	0.000	2809.270	0.000	0.000	0.000	2.776	0.000	-394.439	0.000	0.000	0.000	0.000	4625.720	-65.092	0.000	0.000
../06_emref/emref_18.pdb	-	34	367.826	20.500	0.000	64.210	37.941	0.008	25.352	-	-	-	5015.930	0.000	0.000	2554.670	0.000	0.000	0.000	11.091	0.000	-439.345	0.000	0.000	0.000	0.000	4519.600	-56.989	0.000	0.000
../06_emref/emref_37.pdb	-	35	371.065	16.324	0.035	63.052	29.774	0.020	18.942	-	-	-	5040.680	0.000	0.000	2838.650	0.000	0.000	0.000	-17.980	0.000	-260.245	0.000	0.000	0.000	0.000	4717.460	-62.974	0.000	0.000
../06_emref/emref_43.pdb	-	36	371.139	19.349	0.042	49.086	33.612	0.026	21.739	-	-	-	5212.260	0.000	0.000	2836.280	0.000	0.000	0.000	-5.183	0.000	-283.680	0.000	0.000	0.000	0.000	4840.410	-88.168	0.000	0.000
../06_emref/emref_21.pdb	-	37	381.045	23.663	0.000	61.586	50.266	0.008	26.177	-	-	-	4922.370	0.000	0.000	2499.910	0.000	0.000	0.000	15.376	0.000	-416.474	0.000	0.000	0.000	0.000	4462.620	-43.273	0.000	0.000
../06_emref/emref_33.pdb	-	38	383.758	15.334	0.000	52.824	25.912	0.012	23.699	-	-	-	5350.540	0.000	0.000	3400.210	0.000	0.000	0.000	1.794	0.000	-433.642	0.000	0.000	0.000	0.000	4850.540	-66.362	0.000	0.000
../06_emref/emref_39.pdb	-	39	388.590	17.242	0.000	62.841	37.398	0.008	22.239	-	-	-	4941.570	0.000	0.000	2607.850	0.000	0.000	0.000	10.266	0.000	-320.733	0.000	0.000	0.000	0.000	4569.150	-51.687	0.000	0.000
../06_emref/emref_36.pdb	-	40	390.520	21.196	0.000	64.582	43.296	0.007	26.048	-	-	-	4798.080	0.000	0.000	2397.530	0.000	0.000	0.000	16.679	0.000	-242.515	0.000	0.000	0.000	0.000	4498.100	-57.464	0.000	0.000
../06_emref/emref_25.pdb	-	41	390.871	20.464	0.000	62.774	44.563	0.008	23.492	-	-	-	5162.490	0.000	0.000	3257.900	0.000	0.000	0.000	31.945	0.000	-537.983	0.000	0.000	0.000	0.000	4574.780	-49.726	0.000	0.000
../06_emref/emref_44.pdb	-	42	395.827	20.964	0.007	64.453	35.733	0.010	23.668	-	-	-	4973.660	0.000	0.000	2483.380	0.000	0.000	0.000	25.852	0.000	-449.110	0.000	0.000	0.000	0.000	4486.980	-37.569	0.000	0.000
../06_emref/emref_49.pdb	-	43	397.468	19.645	0.000	66.631	33.199	0.007	24.081	-	-	-	4903.110	0.000	0.000	1977.180	0.000	0.000	0.000	-3.385	0.000	-172.326	0.000	0.000	0.000	0.000	4675.790	-54.992	0.000	0.000
../06_emref/emref_48.pdb	-	44	398.335	19.807	0.000	66.796	45.446	0.007	22.832	-	-	-	5013.770	0.000	0.000	2604.990	0.000	0.000	0.000	-5.880	0.000	-211.591	0.000	0.000	0.000	0.000	4747.340	-54.843	0.000	0.000
../06_emref/emref_40.pdb	-	45	400.068	8.789	0.063	38.318	21.570	0.046	11.471	-	-	-	5164.490	0.000	0.000	2545.270	0.000	0.000	0.000	18.198	0.000	-428.512	0.000	0.000	0.000	0.000	4687.110	-48.876	0.000	0.000
../06_emref/emref_46.pdb	-	46	402.173	18.986	0.028	58.830	38.513	0.018	23.828	-	-	-	4990.450	0.000	0.000	2535.020	0.000	0.000	0.000	8.456	0.000	-201.108	0.000	0.000	0.000	0.000	4724.240	-65.106	0.000	0.000
../06_emref/emref_30.pdb	-	47	403.566	20.439	0.000	62.798	44.754	0.008	23.610	-	-	-	4951.210	0.000	0.000	2997.670	0.000	0.000	0.000	27.615	0.000	-378.901	0.000	0.000	0.000	0.000	4528.920	-43.391	0.000	0.000
../06_emref/emref_42.pdb	-	48	412.082	20.501	0.000	63.460	41.892	0.008	25.442	-	-	-	4979.730	0.000	0.000	2757.760	0.000	0.000	0.000	14.966	0.000	-231.854	0.000	0.000	0.000	0.000	4693.390	-54.487	0.000	0.000
../06_emref/emref_45.pdb	-	49	413.656	20.393	0.028	60.224	36.887	0.018	24.115	-	-	-	5250.700	0.000	0.000	2643.870	0.000	0.000	0.000	2.997	0.000	-408.433	0.000	0.000	0.000	0.000	4809.550	-32.724	0.000	0.000
