model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	102.146	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	2685.670	0.000	0.000	3390.510	0.000	0.000	0.000	-0.521	0.000	-416.220	0.000	0.000	0.000	0.000	2186.800	-82.656	0.000	0.000
../06_emref/emref_2.pdb	-	2	128.916	16.602	0.000	44.031	35.830	0.015	17.820	-	-	-	2967.750	0.000	0.000	3015.290	0.000	0.000	0.000	13.572	0.000	-447.033	0.000	0.000	0.000	0.000	2428.690	-92.023	0.000	0.000
../06_emref/emref_4.pdb	-	3	149.366	26.198	0.014	71.659	45.097	0.011	29.159	-	-	-	3265.080	0.000	0.000	3419.620	0.000	0.000	0.000	25.093	0.000	-499.659	0.000	0.000	0.000	0.000	2663.110	-102.303	0.000	0.000
../06_emref/emref_5.pdb	-	4	159.940	16.466	0.000	43.702	35.615	0.015	17.677	-	-	-	3372.560	0.000	0.000	3104.890	0.000	0.000	0.000	9.799	0.000	-459.899	0.000	0.000	0.000	0.000	2817.530	-95.135	0.000	0.000
../06_emref/emref_3.pdb	-	5	163.638	27.350	0.000	71.721	49.270	0.006	26.809	-	-	-	3321.930	0.000	0.000	3380.950	0.000	0.000	0.000	35.265	0.000	-634.275	0.000	0.000	0.000	0.000	2610.690	-76.964	0.000	0.000
../06_emref/emref_8.pdb	-	6	165.936	20.182	0.000	45.253	46.447	0.013	18.333	-	-	-	3418.330	0.000	0.000	3834.090	0.000	0.000	0.000	27.148	0.000	-548.468	0.000	0.000	0.000	0.000	2776.510	-93.352	0.000	0.000
../06_emref/emref_12.pdb	-	7	178.105	22.583	0.000	72.787	42.669	0.006	25.769	-	-	-	3106.920	0.000	0.000	3025.000	0.000	0.000	0.000	22.909	0.000	-417.399	0.000	0.000	0.000	0.000	2617.500	-72.016	0.000	0.000
../06_emref/emref_6.pdb	-	8	185.553	27.041	0.029	69.607	45.331	0.016	29.901	-	-	-	3325.640	0.000	0.000	2851.640	0.000	0.000	0.000	15.044	0.000	-483.073	0.000	0.000	0.000	0.000	2777.130	-65.440	0.000	0.000
../06_emref/emref_14.pdb	-	9	188.283	26.216	0.000	79.594	49.674	0.005	27.372	-	-	-	3463.720	0.000	0.000	3355.690	0.000	0.000	0.000	15.414	0.000	-389.506	0.000	0.000	0.000	0.000	2978.610	-95.601	0.000	0.000
../06_emref/emref_15.pdb	-	10	188.722	4.774	0.130	11.402	8.639	0.192	5.698	-	-	-	3160.720	0.000	0.000	2943.670	0.000	0.000	0.000	8.732	0.000	-312.913	0.000	0.000	0.000	0.000	2774.310	-73.499	0.000	0.000
../06_emref/emref_28.pdb	-	11	190.247	27.321	0.014	69.373	44.758	0.011	29.466	-	-	-	3617.920	0.000	0.000	3195.490	0.000	0.000	0.000	9.680	0.000	-582.345	0.000	0.000	0.000	0.000	2970.820	-64.756	0.000	0.000
../06_emref/emref_18.pdb	-	12	194.147	13.667	0.000	52.022	23.574	0.013	20.365	-	-	-	3336.780	0.000	0.000	3293.110	0.000	0.000	0.000	5.615	0.000	-266.892	0.000	0.000	0.000	0.000	2978.120	-91.767	0.000	0.000
../06_emref/emref_7.pdb	-	13	196.610	16.523	0.000	43.870	35.872	0.015	17.644	-	-	-	3645.860	0.000	0.000	3114.580	0.000	0.000	0.000	12.235	0.000	-443.726	0.000	0.000	0.000	0.000	3110.670	-91.466	0.000	0.000
../06_emref/emref_10.pdb	-	14	197.307	9.543	0.065	34.681	20.254	0.049	12.040	-	-	-	3617.140	0.000	0.000	3498.870	0.000	0.000	0.000	26.455	0.000	-545.521	0.000	0.000	0.000	0.000	2989.860	-81.758	0.000	0.000
../06_emref/emref_24.pdb	-	15	203.285	6.003	0.101	17.218	10.342	0.119	8.607	-	-	-	3577.370	0.000	0.000	2911.930	0.000	0.000	0.000	13.074	0.000	-460.080	0.000	0.000	0.000	0.000	3041.780	-75.510	0.000	0.000
../06_emref/emref_13.pdb	-	16	204.325	10.569	0.043	34.215	23.654	0.040	12.119	-	-	-	3273.670	0.000	0.000	2930.790	0.000	0.000	0.000	13.108	0.000	-428.887	0.000	0.000	0.000	0.000	2794.410	-50.373	0.000	0.000
../06_emref/emref_17.pdb	-	17	208.776	26.836	0.007	78.098	41.711	0.007	28.942	-	-	-	3413.180	0.000	0.000	2971.080	0.000	0.000	0.000	9.655	0.000	-433.802	0.000	0.000	0.000	0.000	2923.940	-55.437	0.000	0.000
../06_emref/emref_16.pdb	-	18	209.275	13.037	0.000	36.653	22.036	0.021	19.554	-	-	-	3343.320	0.000	0.000	2653.300	0.000	0.000	0.000	15.373	0.000	-391.783	0.000	0.000	0.000	0.000	2889.460	-62.072	0.000	0.000
../06_emref/emref_30.pdb	-	19	212.493	29.380	0.043	67.629	46.874	0.021	30.173	-	-	-	3461.690	0.000	0.000	2880.680	0.000	0.000	0.000	9.600	0.000	-274.169	0.000	0.000	0.000	0.000	3099.080	-88.442	0.000	0.000
../06_emref/emref_21.pdb	-	20	214.325	15.651	0.000	50.031	39.613	0.012	15.198	-	-	-	3261.680	0.000	0.000	2479.530	0.000	0.000	0.000	21.802	0.000	-332.393	0.000	0.000	0.000	0.000	2862.120	-67.167	0.000	0.000
../06_emref/emref_29.pdb	-	21	216.260	10.521	0.036	34.578	23.424	0.038	12.280	-	-	-	3519.710	0.000	0.000	2966.090	0.000	0.000	0.000	14.861	0.000	-385.025	0.000	0.000	0.000	0.000	3061.110	-73.568	0.000	0.000
../06_emref/emref_23.pdb	-	22	217.413	5.863	0.210	18.891	11.581	0.147	8.254	-	-	-	3498.230	0.000	0.000	2951.580	0.000	0.000	0.000	8.290	0.000	-349.209	0.000	0.000	0.000	0.000	3078.160	-70.858	0.000	0.000
../06_emref/emref_9.pdb	-	23	217.761	29.753	0.000	86.979	52.207	0.004	32.744	-	-	-	3430.080	0.000	0.000	2710.280	0.000	0.000	0.000	23.701	0.000	-463.995	0.000	0.000	0.000	0.000	2909.930	-56.149	0.000	0.000
../06_emref/emref_31.pdb	-	24	219.589	13.336	0.000	50.773	23.715	0.013	19.909	-	-	-	3594.690	0.000	0.000	3434.290	0.000	0.000	0.000	7.778	0.000	-330.353	0.000	0.000	0.000	0.000	3182.750	-81.587	0.000	0.000
../06_emref/emref_35.pdb	-	25	222.704	7.273	0.022	14.570	14.250	0.105	8.376	-	-	-	3283.350	0.000	0.000	2087.160	0.000	0.000	0.000	9.194	0.000	-310.170	0.000	0.000	0.000	0.000	2920.390	-52.792	0.000	0.000
../06_emref/emref_37.pdb	-	26	222.765	11.524	0.014	38.949	25.916	0.026	13.777	-	-	-	3442.380	0.000	0.000	2558.950	0.000	0.000	0.000	27.247	0.000	-362.515	0.000	0.000	0.000	0.000	3003.650	-76.218	0.000	0.000
../06_emref/emref_34.pdb	-	27	222.953	26.105	0.000	67.527	44.213	0.006	27.509	-	-	-	3318.400	0.000	0.000	2274.750	0.000	0.000	0.000	3.914	0.000	-300.036	0.000	0.000	0.000	0.000	2965.570	-52.794	0.000	0.000
../06_emref/emref_38.pdb	-	28	225.358	27.330	0.000	74.643	47.616	0.005	28.087	-	-	-	3554.380	0.000	0.000	2907.540	0.000	0.000	0.000	15.692	0.000	-220.789	0.000	0.000	0.000	0.000	3231.980	-101.615	0.000	0.000
../06_emref/emref_11.pdb	-	29	225.708	11.504	0.014	40.683	26.539	0.024	13.723	-	-	-	3567.240	0.000	0.000	2739.300	0.000	0.000	0.000	25.926	0.000	-401.711	0.000	0.000	0.000	0.000	3088.930	-76.600	0.000	0.000
../06_emref/emref_41.pdb	-	30	227.399	13.527	0.000	52.933	27.312	0.012	18.889	-	-	-	3493.790	0.000	0.000	2783.140	0.000	0.000	0.000	-1.694	0.000	-262.086	0.000	0.000	0.000	0.000	3163.840	-67.870	0.000	0.000
../06_emref/emref_43.pdb	-	31	230.558	15.621	0.000	48.297	40.852	0.013	16.280	-	-	-	3830.570	0.000	0.000	2978.700	0.000	0.000	0.000	27.276	0.000	-504.508	0.000	0.000	0.000	0.000	3247.180	-78.874	0.000	0.000
../06_emref/emref_25.pdb	-	32	230.899	15.238	0.000	55.918	32.836	0.011	19.365	-	-	-	3366.950	0.000	0.000	2622.930	0.000	0.000	0.000	17.950	0.000	-368.846	0.000	0.000	0.000	0.000	2948.120	-49.977	0.000	0.000
../06_emref/emref_36.pdb	-	33	231.752	28.093	0.000	78.118	43.523	0.005	29.280	-	-	-	3402.040	0.000	0.000	2744.960	0.000	0.000	0.000	1.155	0.000	-284.387	0.000	0.000	0.000	0.000	3064.920	-52.730	0.000	0.000
../06_emref/emref_19.pdb	-	34	232.596	16.629	0.007	42.149	40.432	0.018	15.551	-	-	-	3786.280	0.000	0.000	2591.930	0.000	0.000	0.000	17.497	0.000	-498.154	0.000	0.000	0.000	0.000	3224.230	-63.899	0.000	0.000
../06_emref/emref_27.pdb	-	35	235.044	12.866	0.000	38.515	20.246	0.020	21.457	-	-	-	3252.200	0.000	0.000	2504.580	0.000	0.000	0.000	10.257	0.000	-292.509	0.000	0.000	0.000	0.000	2917.760	-41.931	0.000	0.000
../06_emref/emref_20.pdb	-	36	236.927	28.162	0.000	74.573	47.273	0.005	30.168	-	-	-	3757.230	0.000	0.000	2707.440	0.000	0.000	0.000	19.931	0.000	-453.644	0.000	0.000	0.000	0.000	3235.580	-67.998	0.000	0.000
../06_emref/emref_32.pdb	-	37	239.462	16.589	0.058	51.242	31.065	0.031	17.935	-	-	-	3654.040	0.000	0.000	2809.780	0.000	0.000	0.000	5.614	0.000	-275.581	0.000	0.000	0.000	0.000	3302.020	-76.440	0.000	0.000
../06_emref/emref_22.pdb	-	38	239.650	12.418	0.007	40.841	23.659	0.021	15.680	-	-	-	3586.000	0.000	0.000	2623.980	0.000	0.000	0.000	10.362	0.000	-372.058	0.000	0.000	0.000	0.000	3159.040	-54.901	0.000	0.000
../06_emref/emref_42.pdb	-	39	241.702	26.337	0.000	63.904	46.191	0.007	27.003	-	-	-	3673.810	0.000	0.000	3086.610	0.000	0.000	0.000	16.610	0.000	-289.117	0.000	0.000	0.000	0.000	3300.230	-84.465	0.000	0.000
../06_emref/emref_39.pdb	-	40	244.059	24.103	0.000	75.406	44.725	0.005	27.063	-	-	-	3826.210	0.000	0.000	2998.340	0.000	0.000	0.000	12.486	0.000	-388.255	0.000	0.000	0.000	0.000	3364.560	-73.397	0.000	0.000
../06_emref/emref_40.pdb	-	41	244.194	14.775	0.036	40.181	30.278	0.030	15.842	-	-	-	3449.030	0.000	0.000	1941.720	0.000	0.000	0.000	13.768	0.000	-319.305	0.000	0.000	0.000	0.000	3079.110	-50.616	0.000	0.000
../06_emref/emref_26.pdb	-	42	252.777	30.573	0.000	86.809	50.505	0.004	30.879	-	-	-	3689.440	0.000	0.000	2306.560	0.000	0.000	0.000	25.788	0.000	-476.038	0.000	0.000	0.000	0.000	3166.660	-46.747	0.000	0.000
../06_emref/emref_46.pdb	-	43	260.360	11.811	0.000	31.683	22.567	0.028	15.807	-	-	-	3606.070	0.000	0.000	2061.360	0.000	0.000	0.000	3.864	0.000	-200.138	0.000	0.000	0.000	0.000	3341.850	-64.083	0.000	0.000
../06_emref/emref_33.pdb	-	44	271.381	21.435	0.000	71.299	44.126	0.006	22.190	-	-	-	3835.180	0.000	0.000	2309.160	0.000	0.000	0.000	12.626	0.000	-361.481	0.000	0.000	0.000	0.000	3421.230	-52.467	0.000	0.000
../06_emref/emref_47.pdb	-	45	285.774	21.027	0.000	73.347	38.235	0.006	24.456	-	-	-	3824.080	0.000	0.000	2321.990	0.000	0.000	0.000	3.418	0.000	-191.176	0.000	0.000	0.000	0.000	3571.090	-61.817	0.000	0.000
../06_emref/emref_44.pdb	-	46	291.354	18.055	0.000	65.404	34.331	0.008	21.028	-	-	-	3894.330	0.000	0.000	2461.520	0.000	0.000	0.000	17.243	0.000	-397.625	0.000	0.000	0.000	0.000	3460.910	-35.797	0.000	0.000
../06_emref/emref_45.pdb	-	47	295.716	26.632	0.000	85.945	48.462	0.004	28.777	-	-	-	3865.180	0.000	0.000	2140.610	0.000	0.000	0.000	10.274	0.000	-347.578	0.000	0.000	0.000	0.000	3486.040	-31.560	0.000	0.000
