model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	142.341	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3059.710	0.000	0.000	3168.380	0.000	0.000	0.000	11.226	0.000	-525.624	0.000	0.000	0.000	0.000	2464.360	-69.731	0.000	0.000
../06_emref/emref_4.pdb	-	2	161.419	35.791	0.000	77.629	71.627	0.005	33.285	-	-	-	3330.770	0.000	0.000	3485.870	0.000	0.000	0.000	11.732	0.000	-447.935	0.000	0.000	0.000	0.000	2789.030	-93.803	0.000	0.000
../06_emref/emref_5.pdb	-	3	169.185	30.593	0.000	73.606	66.258	0.005	26.833	-	-	-	3110.150	0.000	0.000	2676.210	0.000	0.000	0.000	8.453	0.000	-421.296	0.000	0.000	0.000	0.000	2622.820	-66.024	0.000	0.000
../06_emref/emref_17.pdb	-	4	169.646	14.133	0.000	30.643	31.462	0.028	12.768	-	-	-	3182.030	0.000	0.000	3118.400	0.000	0.000	0.000	6.845	0.000	-315.594	0.000	0.000	0.000	0.000	2774.160	-92.283	0.000	0.000
../06_emref/emref_18.pdb	-	5	173.950	33.393	0.000	72.804	67.335	0.005	29.494	-	-	-	3066.390	0.000	0.000	2962.230	0.000	0.000	0.000	0.071	0.000	-402.470	0.000	0.000	0.000	0.000	2611.650	-52.266	0.000	0.000
../06_emref/emref_12.pdb	-	6	175.274	22.290	0.000	41.561	42.807	0.015	21.750	-	-	-	3312.950	0.000	0.000	3136.460	0.000	0.000	0.000	16.684	0.000	-437.265	0.000	0.000	0.000	0.000	2790.440	-85.252	0.000	0.000
../06_emref/emref_14.pdb	-	7	176.014	37.649	0.000	80.401	74.330	0.004	33.868	-	-	-	3448.850	0.000	0.000	3571.970	0.000	0.000	0.000	23.411	0.000	-387.241	0.000	0.000	0.000	0.000	2946.770	-114.834	0.000	0.000
../06_emref/emref_3.pdb	-	8	179.254	36.665	0.000	77.917	72.446	0.004	33.426	-	-	-	3432.720	0.000	0.000	3363.810	0.000	0.000	0.000	1.036	0.000	-477.937	0.000	0.000	0.000	0.000	2885.320	-69.466	0.000	0.000
../06_emref/emref_6.pdb	-	9	185.223	33.155	0.000	75.426	69.288	0.005	28.910	-	-	-	3524.560	0.000	0.000	2874.050	0.000	0.000	0.000	23.894	0.000	-695.928	0.000	0.000	0.000	0.000	2776.690	-51.941	0.000	0.000
../06_emref/emref_10.pdb	-	10	188.314	32.653	0.000	79.673	72.509	0.004	28.060	-	-	-	3363.850	0.000	0.000	2854.220	0.000	0.000	0.000	9.974	0.000	-443.364	0.000	0.000	0.000	0.000	2851.120	-69.372	0.000	0.000
../06_emref/emref_7.pdb	-	11	195.181	38.314	0.000	84.638	77.296	0.004	33.817	-	-	-	3239.290	0.000	0.000	2847.650	0.000	0.000	0.000	29.064	0.000	-466.692	0.000	0.000	0.000	0.000	2708.120	-64.473	0.000	0.000
