model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	146.476	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3045.250	0.000	0.000	3587.230	0.000	0.000	0.000	40.967	0.000	-611.682	0.000	0.000	0.000	0.000	2356.890	-76.679	0.000	0.000
../06_emref/emref_9.pdb	-	2	147.127	34.562	0.000	84.945	74.511	0.004	34.204	-	-	-	3274.000	0.000	0.000	3345.360	0.000	0.000	0.000	18.948	0.000	-563.525	0.000	0.000	0.000	0.000	2623.960	-86.516	0.000	0.000
../06_emref/emref_3.pdb	-	3	166.081	18.120	0.000	48.868	45.451	0.012	16.451	-	-	-	3192.830	0.000	0.000	3196.330	0.000	0.000	0.000	12.524	0.000	-454.764	0.000	0.000	0.000	0.000	2663.290	-74.773	0.000	0.000
../06_emref/emref_6.pdb	-	4	173.643	31.410	0.008	69.235	55.974	0.008	32.198	-	-	-	3580.380	0.000	0.000	3603.410	0.000	0.000	0.000	19.325	0.000	-546.532	0.000	0.000	0.000	0.000	2939.440	-94.413	0.000	0.000
../06_emref/emref_15.pdb	-	5	176.123	20.169	0.000	37.641	39.955	0.018	20.375	-	-	-	3178.930	0.000	0.000	3094.530	0.000	0.000	0.000	10.207	0.000	-360.205	0.000	0.000	0.000	0.000	2738.790	-79.936	0.000	0.000
../06_emref/emref_19.pdb	-	6	177.527	5.105	0.141	12.360	10.955	0.180	5.092	-	-	-	3212.990	0.000	0.000	3000.960	0.000	0.000	0.000	30.220	0.000	-403.262	0.000	0.000	0.000	0.000	2716.390	-93.340	0.000	0.000
../06_emref/emref_7.pdb	-	7	184.432	28.295	0.031	70.265	51.041	0.016	26.453	-	-	-	3233.980	0.000	0.000	3430.340	0.000	0.000	0.000	26.864	0.000	-346.782	0.000	0.000	0.000	0.000	2790.720	-96.474	0.000	0.000
../06_emref/emref_13.pdb	-	8	184.844	21.619	0.000	60.114	54.796	0.008	20.292	-	-	-	3188.800	0.000	0.000	2981.520	0.000	0.000	0.000	12.744	0.000	-323.434	0.000	0.000	0.000	0.000	2783.270	-82.093	0.000	0.000
../06_emref/emref_32.pdb	-	9	186.524	17.960	0.000	49.681	35.832	0.012	20.763	-	-	-	3112.030	0.000	0.000	2803.690	0.000	0.000	0.000	15.669	0.000	-291.994	0.000	0.000	0.000	0.000	2738.080	-81.949	0.000	0.000
../06_emref/emref_4.pdb	-	10	187.607	28.019	0.031	68.969	52.032	0.016	26.493	-	-	-	3102.720	0.000	0.000	2826.190	0.000	0.000	0.000	16.990	0.000	-331.986	0.000	0.000	0.000	0.000	2697.470	-73.258	0.000	0.000
../06_emref/emref_10.pdb	-	11	195.684	29.048	0.000	76.830	63.573	0.005	28.467	-	-	-	3270.840	0.000	0.000	3041.750	0.000	0.000	0.000	12.908	0.000	-339.464	0.000	0.000	0.000	0.000	2854.970	-76.415	0.000	0.000
../06_emref/emref_5.pdb	-	12	195.727	19.088	0.000	33.481	35.498	0.022	19.437	-	-	-	3390.610	0.000	0.000	3043.020	0.000	0.000	0.000	16.410	0.000	-440.169	0.000	0.000	0.000	0.000	2878.730	-71.710	0.000	0.000
../06_emref/emref_17.pdb	-	13	206.340	21.402	0.000	55.949	49.145	0.009	21.113	-	-	-	3410.120	0.000	0.000	2791.490	0.000	0.000	0.000	12.250	0.000	-397.558	0.000	0.000	0.000	0.000	2945.150	-67.411	0.000	0.000
../06_emref/emref_20.pdb	-	14	207.668	12.961	0.000	25.554	22.125	0.038	17.045	-	-	-	3453.060	0.000	0.000	3281.440	0.000	0.000	0.000	23.130	0.000	-361.630	0.000	0.000	0.000	0.000	3002.990	-88.442	0.000	0.000
../06_emref/emref_12.pdb	-	15	210.447	31.728	0.000	72.033	63.711	0.005	32.552	-	-	-	3479.390	0.000	0.000	3273.480	0.000	0.000	0.000	14.146	0.000	-284.065	0.000	0.000	0.000	0.000	3100.500	-94.825	0.000	0.000
../06_emref/emref_16.pdb	-	16	212.966	26.036	0.039	65.958	49.501	0.020	25.319	-	-	-	3195.770	0.000	0.000	2458.730	0.000	0.000	0.000	15.287	0.000	-314.414	0.000	0.000	0.000	0.000	2822.340	-59.015	0.000	0.000
../06_emref/emref_18.pdb	-	17	213.253	27.777	0.000	59.790	51.066	0.008	29.714	-	-	-	3435.960	0.000	0.000	2723.560	0.000	0.000	0.000	8.175	0.000	-260.917	0.000	0.000	0.000	0.000	3088.710	-86.335	0.000	0.000
../06_emref/emref_8.pdb	-	18	215.831	17.371	0.000	36.140	36.638	0.020	16.355	-	-	-	3356.770	0.000	0.000	2772.770	0.000	0.000	0.000	22.146	0.000	-359.915	0.000	0.000	0.000	0.000	2926.850	-70.008	0.000	0.000
../06_emref/emref_28.pdb	-	19	218.860	5.097	0.203	15.058	13.846	0.175	4.737	-	-	-	3226.310	0.000	0.000	2616.980	0.000	0.000	0.000	30.214	0.000	-399.692	0.000	0.000	0.000	0.000	2772.570	-54.046	0.000	0.000
../06_emref/emref_30.pdb	-	20	219.310	23.034	0.000	65.015	48.351	0.007	27.166	-	-	-	3582.550	0.000	0.000	3031.400	0.000	0.000	0.000	3.456	0.000	-333.350	0.000	0.000	0.000	0.000	3173.470	-75.731	0.000	0.000
../06_emref/emref_2.pdb	-	21	222.848	21.580	0.000	43.439	40.934	0.014	22.171	-	-	-	3596.040	0.000	0.000	3346.040	0.000	0.000	0.000	25.648	0.000	-407.852	0.000	0.000	0.000	0.000	3107.350	-80.834	0.000	0.000
../06_emref/emref_29.pdb	-	22	225.771	18.198	0.000	47.885	40.553	0.012	18.711	-	-	-	3344.260	0.000	0.000	2758.080	0.000	0.000	0.000	22.420	0.000	-337.624	0.000	0.000	0.000	0.000	2943.090	-63.550	0.000	0.000
../06_emref/emref_21.pdb	-	23	226.595	28.970	0.023	70.210	52.984	0.014	27.406	-	-	-	3632.770	0.000	0.000	3305.540	0.000	0.000	0.000	24.617	0.000	-269.744	0.000	0.000	0.000	0.000	3255.670	-107.350	0.000	0.000
../06_emref/emref_27.pdb	-	24	233.814	32.853	0.000	73.719	64.060	0.005	33.465	-	-	-	3245.520	0.000	0.000	2510.880	0.000	0.000	0.000	19.145	0.000	-244.738	0.000	0.000	0.000	0.000	2939.840	-60.936	0.000	0.000
../06_emref/emref_14.pdb	-	25	235.183	30.827	0.008	71.928	63.386	0.008	30.123	-	-	-	3553.330	0.000	0.000	2740.080	0.000	0.000	0.000	4.877	0.000	-321.487	0.000	0.000	0.000	0.000	3171.120	-60.729	0.000	0.000
