model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	239.309	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4294.210	0.000	0.000	4267.410	0.000	0.000	0.000	21.492	0.000	-482.853	0.000	0.000	0.000	0.000	3696.320	-115.033	0.000	0.000
../06_emref/emref_12.pdb	-	2	251.598	27.479	0.019	67.910	49.277	0.012	29.625	-	-	-	4320.200	0.000	0.000	4183.880	0.000	0.000	0.000	3.255	0.000	-340.572	0.000	0.000	0.000	0.000	3864.070	-115.563	0.000	0.000
../06_emref/emref_7.pdb	-	3	262.543	15.257	0.000	51.542	38.743	0.012	15.912	-	-	-	4000.680	0.000	0.000	3017.750	0.000	0.000	0.000	6.758	0.000	-284.604	0.000	0.000	0.000	0.000	3628.710	-87.363	0.000	0.000
../06_emref/emref_5.pdb	-	4	268.722	29.745	0.000	78.233	63.603	0.005	29.254	-	-	-	4162.240	0.000	0.000	3320.340	0.000	0.000	0.000	30.390	0.000	-418.060	0.000	0.000	0.000	0.000	3649.910	-94.279	0.000	0.000
../06_emref/emref_17.pdb	-	5	279.262	29.260	0.000	77.157	64.582	0.005	28.181	-	-	-	4254.270	0.000	0.000	3262.530	0.000	0.000	0.000	4.632	0.000	-194.390	0.000	0.000	0.000	0.000	3947.970	-111.919	0.000	0.000
../06_emref/emref_9.pdb	-	6	282.282	21.199	0.000	57.687	46.257	0.009	23.655	-	-	-	4297.930	0.000	0.000	3540.740	0.000	0.000	0.000	10.654	0.000	-337.118	0.000	0.000	0.000	0.000	3870.070	-90.742	0.000	0.000
../06_emref/emref_2.pdb	-	7	282.509	25.885	0.037	66.453	51.511	0.019	25.599	-	-	-	4452.690	0.000	0.000	3473.640	0.000	0.000	0.000	26.697	0.000	-613.479	0.000	0.000	0.000	0.000	3772.450	-66.761	0.000	0.000
../06_emref/emref_6.pdb	-	8	292.235	2.259	0.613	5.033	4.700	0.553	2.243	-	-	-	4295.980	0.000	0.000	3604.850	0.000	0.000	0.000	17.036	0.000	-335.999	0.000	0.000	0.000	0.000	3872.780	-87.198	0.000	0.000
../06_emref/emref_11.pdb	-	9	294.878	5.393	0.181	14.471	12.155	0.170	5.381	-	-	-	4549.850	0.000	0.000	3443.950	0.000	0.000	0.000	22.657	0.000	-438.834	0.000	0.000	0.000	0.000	4016.020	-94.997	0.000	0.000
../06_emref/emref_13.pdb	-	10	307.537	25.422	0.013	70.966	52.347	0.010	25.726	-	-	-	4301.630	0.000	0.000	2949.930	0.000	0.000	0.000	12.184	0.000	-273.450	0.000	0.000	0.000	0.000	3948.050	-80.121	0.000	0.000
../06_emref/emref_16.pdb	-	11	310.036	25.008	0.019	66.881	53.149	0.013	25.105	-	-	-	4190.100	0.000	0.000	2577.170	0.000	0.000	0.000	16.764	0.000	-291.417	0.000	0.000	0.000	0.000	3831.220	-67.455	0.000	0.000
../06_emref/emref_3.pdb	-	12	311.213	30.793	0.000	82.061	66.921	0.004	29.966	-	-	-	4338.440	0.000	0.000	2944.290	0.000	0.000	0.000	36.927	0.000	-431.089	0.000	0.000	0.000	0.000	3834.010	-73.340	0.000	0.000
../06_emref/emref_26.pdb	-	13	317.853	16.896	0.000	39.295	31.103	0.018	21.636	-	-	-	4715.740	0.000	0.000	3457.140	0.000	0.000	0.000	16.429	0.000	-378.251	0.000	0.000	0.000	0.000	4242.990	-94.499	0.000	0.000
../06_emref/emref_20.pdb	-	14	319.998	24.977	0.006	67.203	49.259	0.009	25.057	-	-	-	4375.460	0.000	0.000	3120.170	0.000	0.000	0.000	21.565	0.000	-314.238	0.000	0.000	0.000	0.000	3984.960	-76.265	0.000	0.000
