model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_4.pdb	-	1	255.092	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4054.670	0.000	0.000	3366.360	0.000	0.000	0.000	24.282	0.000	-405.111	0.000	0.000	0.000	0.000	3555.930	-93.634	0.000	0.000
../06_emref/emref_6.pdb	-	2	288.788	17.858	0.000	46.267	36.761	0.013	18.638	-	-	-	4440.400	0.000	0.000	3632.680	0.000	0.000	0.000	10.566	0.000	-333.107	0.000	0.000	0.000	0.000	4008.090	-99.197	0.000	0.000
../06_emref/emref_1.pdb	-	3	290.218	26.185	0.037	73.081	46.934	0.018	26.381	-	-	-	4410.940	0.000	0.000	2816.950	0.000	0.000	0.000	7.611	0.000	-510.175	0.000	0.000	0.000	0.000	3844.320	-56.452	0.000	0.000
../06_emref/emref_3.pdb	-	4	298.609	29.749	0.000	71.247	53.669	0.006	32.990	-	-	-	4680.470	0.000	0.000	3655.070	0.000	0.000	0.000	-0.109	0.000	-377.907	0.000	0.000	0.000	0.000	4208.820	-93.748	0.000	0.000
../06_emref/emref_9.pdb	-	5	309.041	6.659	0.022	17.155	15.578	0.089	6.560	-	-	-	4588.970	0.000	0.000	2970.540	0.000	0.000	0.000	16.780	0.000	-286.588	0.000	0.000	0.000	0.000	4193.070	-109.318	0.000	0.000
../06_emref/emref_2.pdb	-	6	310.224	1.023	0.851	3.114	1.940	0.805	1.074	-	-	-	4885.710	0.000	0.000	3751.300	0.000	0.000	0.000	26.447	0.000	-502.762	0.000	0.000	0.000	0.000	4278.700	-104.241	0.000	0.000
../06_emref/emref_18.pdb	-	7	312.421	18.513	0.000	43.489	38.970	0.014	19.099	-	-	-	4311.260	0.000	0.000	2805.930	0.000	0.000	0.000	2.458	0.000	-197.180	0.000	0.000	0.000	0.000	4032.350	-81.727	0.000	0.000
../06_emref/emref_12.pdb	-	8	316.335	7.961	0.000	16.642	16.810	0.080	7.714	-	-	-	4732.890	0.000	0.000	3550.590	0.000	0.000	0.000	16.357	0.000	-371.212	0.000	0.000	0.000	0.000	4262.610	-99.069	0.000	0.000
../06_emref/emref_24.pdb	-	9	329.343	26.833	0.000	67.639	45.241	0.006	30.141	-	-	-	4459.180	0.000	0.000	3016.800	0.000	0.000	0.000	23.418	0.000	-240.847	0.000	0.000	0.000	0.000	4126.510	-91.824	0.000	0.000
../06_emref/emref_25.pdb	-	10	329.930	17.043	0.000	50.082	39.213	0.012	18.684	-	-	-	4668.550	0.000	0.000	2999.150	0.000	0.000	0.000	1.318	0.000	-229.108	0.000	0.000	0.000	0.000	4347.020	-92.421	0.000	0.000
../06_emref/emref_7.pdb	-	11	334.106	13.290	0.000	51.622	37.751	0.013	15.439	-	-	-	4473.690	0.000	0.000	3123.030	0.000	0.000	0.000	3.537	0.000	-384.382	0.000	0.000	0.000	0.000	4049.380	-39.923	0.000	0.000
../06_emref/emref_5.pdb	-	12	334.610	26.244	0.000	78.396	51.106	0.005	26.039	-	-	-	4770.010	0.000	0.000	3009.480	0.000	0.000	0.000	31.381	0.000	-555.369	0.000	0.000	0.000	0.000	4151.950	-62.698	0.000	0.000
../06_emref/emref_10.pdb	-	13	343.544	20.876	0.000	67.237	46.405	0.007	24.247	-	-	-	4850.800	0.000	0.000	3024.900	0.000	0.000	0.000	11.072	0.000	-347.619	0.000	0.000	0.000	0.000	4420.100	-83.085	0.000	0.000
../06_emref/emref_19.pdb	-	14	343.964	16.243	0.000	61.260	44.912	0.009	16.125	-	-	-	4624.150	0.000	0.000	2781.500	0.000	0.000	0.000	10.440	0.000	-279.813	0.000	0.000	0.000	0.000	4271.410	-72.929	0.000	0.000
../06_emref/emref_14.pdb	-	15	345.506	25.891	0.030	70.061	42.050	0.016	26.251	-	-	-	4741.020	0.000	0.000	2960.390	0.000	0.000	0.000	24.289	0.000	-398.962	0.000	0.000	0.000	0.000	4268.970	-73.092	0.000	0.000
../06_emref/emref_26.pdb	-	16	346.835	26.523	0.000	65.490	42.728	0.007	31.235	-	-	-	4736.690	0.000	0.000	3248.700	0.000	0.000	0.000	10.709	0.000	-218.916	0.000	0.000	0.000	0.000	4424.010	-93.760	0.000	0.000
../06_emref/emref_23.pdb	-	17	346.902	25.823	0.000	74.975	54.852	0.005	27.036	-	-	-	4918.450	0.000	0.000	2738.110	0.000	0.000	0.000	3.121	0.000	-451.739	0.000	0.000	0.000	0.000	4409.000	-57.716	0.000	0.000
../06_emref/emref_37.pdb	-	18	352.758	26.150	0.037	70.609	41.645	0.018	26.261	-	-	-	4665.230	0.000	0.000	2962.620	0.000	0.000	0.000	9.433	0.000	-209.435	0.000	0.000	0.000	0.000	4374.490	-81.311	0.000	0.000
