model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_5.pdb	-	1	110.681	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3027.550	0.000	0.000	3749.750	0.000	0.000	0.000	24.084	0.000	-552.471	0.000	0.000	0.000	0.000	2369.410	-105.664	0.000	0.000
../06_emref/emref_1.pdb	-	2	117.322	13.996	0.038	50.021	36.004	0.026	14.889	-	-	-	2774.610	0.000	0.000	3316.670	0.000	0.000	0.000	17.300	0.000	-564.976	0.000	0.000	0.000	0.000	2145.190	-64.444	0.000	0.000
../06_emref/emref_2.pdb	-	3	130.264	8.232	0.136	24.332	16.188	0.092	9.570	-	-	-	3301.680	0.000	0.000	3509.580	0.000	0.000	0.000	10.080	0.000	-471.445	0.000	0.000	0.000	0.000	2714.540	-115.695	0.000	0.000
../06_emref/emref_7.pdb	-	4	160.109	4.205	0.273	10.700	8.480	0.258	4.361	-	-	-	3223.320	0.000	0.000	3330.360	0.000	0.000	0.000	12.851	0.000	-413.443	0.000	0.000	0.000	0.000	2717.490	-92.386	0.000	0.000
../06_emref/emref_3.pdb	-	5	162.805	3.429	0.258	8.319	7.598	0.310	3.192	-	-	-	3210.430	0.000	0.000	3466.930	0.000	0.000	0.000	31.211	0.000	-537.077	0.000	0.000	0.000	0.000	2591.320	-82.034	0.000	0.000
../06_emref/emref_6.pdb	-	6	164.397	27.831	0.000	71.313	55.104	0.006	27.576	-	-	-	3629.500	0.000	0.000	3609.530	0.000	0.000	0.000	13.414	0.000	-497.298	0.000	0.000	0.000	0.000	3019.690	-112.507	0.000	0.000
../06_emref/emref_4.pdb	-	7	168.348	13.097	0.000	52.267	37.344	0.013	13.727	-	-	-	3299.510	0.000	0.000	3209.350	0.000	0.000	0.000	35.723	0.000	-616.158	0.000	0.000	0.000	0.000	2609.260	-74.095	0.000	0.000
../06_emref/emref_11.pdb	-	8	168.474	29.006	0.000	83.886	65.406	0.004	27.165	-	-	-	3294.820	0.000	0.000	3321.970	0.000	0.000	0.000	10.273	0.000	-372.674	0.000	0.000	0.000	0.000	2825.400	-96.747	0.000	0.000
../06_emref/emref_20.pdb	-	9	170.384	7.966	0.023	15.787	15.102	0.094	8.445	-	-	-	3020.250	0.000	0.000	3273.390	0.000	0.000	0.000	28.030	0.000	-385.168	0.000	0.000	0.000	0.000	2552.450	-82.638	0.000	0.000
../06_emref/emref_15.pdb	-	10	177.991	15.770	0.000	47.837	39.202	0.013	16.443	-	-	-	3462.440	0.000	0.000	2979.750	0.000	0.000	0.000	19.249	0.000	-482.219	0.000	0.000	0.000	0.000	2889.160	-91.058	0.000	0.000
../06_emref/emref_25.pdb	-	11	180.400	4.118	0.333	14.633	9.943	0.234	4.290	-	-	-	3249.040	0.000	0.000	3121.360	0.000	0.000	0.000	20.082	0.000	-513.388	0.000	0.000	0.000	0.000	2673.740	-61.908	0.000	0.000
../06_emref/emref_10.pdb	-	12	181.186	4.202	0.250	12.074	9.243	0.231	4.208	-	-	-	3302.390	0.000	0.000	3380.810	0.000	0.000	0.000	21.692	0.000	-484.867	0.000	0.000	0.000	0.000	2743.760	-73.771	0.000	0.000
../06_emref/emref_8.pdb	-	13	182.494	30.926	0.000	80.372	66.928	0.004	29.540	-	-	-	3187.330	0.000	0.000	3157.410	0.000	0.000	0.000	24.778	0.000	-469.648	0.000	0.000	0.000	0.000	2650.600	-67.087	0.000	0.000
../06_emref/emref_14.pdb	-	14	186.180	15.032	0.000	53.387	41.927	0.012	15.432	-	-	-	3241.470	0.000	0.000	2931.770	0.000	0.000	0.000	17.706	0.000	-405.860	0.000	0.000	0.000	0.000	2761.110	-74.501	0.000	0.000
../06_emref/emref_13.pdb	-	15	191.983	15.245	0.000	53.729	42.554	0.011	15.754	-	-	-	3327.820	0.000	0.000	2930.020	0.000	0.000	0.000	14.201	0.000	-501.231	0.000	0.000	0.000	0.000	2771.840	-54.753	0.000	0.000
../06_emref/emref_19.pdb	-	16	194.090	21.217	0.000	62.156	54.029	0.008	20.858	-	-	-	3298.960	0.000	0.000	2550.010	0.000	0.000	0.000	27.020	0.000	-546.993	0.000	0.000	0.000	0.000	2698.540	-53.428	0.000	0.000
../06_emref/emref_29.pdb	-	17	197.677	29.722	0.000	83.190	65.424	0.004	27.511	-	-	-	3260.370	0.000	0.000	2755.980	0.000	0.000	0.000	17.156	0.000	-311.819	0.000	0.000	0.000	0.000	2865.390	-83.153	0.000	0.000
../06_emref/emref_31.pdb	-	18	199.567	15.801	0.000	44.998	38.749	0.014	15.503	-	-	-	3717.720	0.000	0.000	3865.730	0.000	0.000	0.000	14.476	0.000	-387.608	0.000	0.000	0.000	0.000	3220.950	-109.160	0.000	0.000
../06_emref/emref_33.pdb	-	19	206.869	20.328	0.000	57.882	50.818	0.009	21.581	-	-	-	3613.360	0.000	0.000	3162.690	0.000	0.000	0.000	14.535	0.000	-425.284	0.000	0.000	0.000	0.000	3104.130	-83.946	0.000	0.000
../06_emref/emref_24.pdb	-	20	207.224	12.054	0.000	37.318	29.940	0.022	12.308	-	-	-	3537.270	0.000	0.000	3365.160	0.000	0.000	0.000	4.456	0.000	-387.057	0.000	0.000	0.000	0.000	3076.660	-73.548	0.000	0.000
../06_emref/emref_30.pdb	-	21	212.912	13.608	0.015	50.832	35.462	0.018	14.022	-	-	-	3594.200	0.000	0.000	2805.730	0.000	0.000	0.000	13.742	0.000	-414.845	0.000	0.000	0.000	0.000	3102.080	-77.281	0.000	0.000
../06_emref/emref_17.pdb	-	22	213.044	28.323	0.000	71.796	55.563	0.006	28.041	-	-	-	3657.140	0.000	0.000	3011.730	0.000	0.000	0.000	17.085	0.000	-511.452	0.000	0.000	0.000	0.000	3078.220	-67.464	0.000	0.000
../06_emref/emref_12.pdb	-	23	213.820	28.857	0.000	68.556	52.762	0.006	27.376	-	-	-	3280.430	0.000	0.000	2434.920	0.000	0.000	0.000	17.842	0.000	-379.987	0.000	0.000	0.000	0.000	2844.380	-56.068	0.000	0.000
../06_emref/emref_26.pdb	-	24	227.522	29.218	0.000	69.255	56.062	0.006	30.418	-	-	-	3552.240	0.000	0.000	2746.530	0.000	0.000	0.000	14.238	0.000	-409.827	0.000	0.000	0.000	0.000	3082.440	-59.974	0.000	0.000
../06_emref/emref_22.pdb	-	25	227.584	17.536	0.000	56.162	46.866	0.010	17.425	-	-	-	3616.430	0.000	0.000	2631.700	0.000	0.000	0.000	18.309	0.000	-490.595	0.000	0.000	0.000	0.000	3071.580	-54.250	0.000	0.000
../06_emref/emref_38.pdb	-	26	228.857	20.486	0.000	60.467	52.734	0.008	20.194	-	-	-	3520.150	0.000	0.000	2463.220	0.000	0.000	0.000	21.608	0.000	-508.982	0.000	0.000	0.000	0.000	2968.200	-42.971	0.000	0.000
