model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_3.pdb	-	1	443.298	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	6675.000	0.000	0.000	4270.160	0.000	0.000	0.000	11.405	0.000	-695.584	0.000	0.000	0.000	0.000	5882.930	-96.490	0.000	0.000
../06_emref/emref_16.pdb	-	2	459.714	9.311	0.023	18.444	16.350	0.075	9.428	-	-	-	6718.190	0.000	0.000	4933.840	0.000	0.000	0.000	20.666	0.000	-501.011	0.000	0.000	0.000	0.000	6084.610	-132.569	0.000	0.000
../06_emref/emref_5.pdb	-	3	465.069	1.376	0.577	2.338	2.505	0.683	1.294	-	-	-	6860.250	0.000	0.000	4231.210	0.000	0.000	0.000	7.028	0.000	-690.378	0.000	0.000	0.000	0.000	6079.970	-89.909	0.000	0.000
../06_emref/emref_9.pdb	-	4	476.694	2.069	0.415	3.535	3.839	0.537	1.884	-	-	-	6680.290	0.000	0.000	3734.400	0.000	0.000	0.000	28.212	0.000	-792.056	0.000	0.000	0.000	0.000	5827.100	-61.135	0.000	0.000
../06_emref/emref_13.pdb	-	5	480.989	46.489	0.000	69.742	70.749	0.005	42.681	-	-	-	6906.750	0.000	0.000	4236.400	0.000	0.000	0.000	2.124	0.000	-430.076	0.000	0.000	0.000	0.000	6350.880	-125.794	0.000	0.000
../06_emref/emref_20.pdb	-	6	483.393	7.706	0.077	16.589	15.056	0.107	7.835	-	-	-	6795.320	0.000	0.000	3332.180	0.000	0.000	0.000	-6.539	0.000	-513.166	0.000	0.000	0.000	0.000	6195.190	-86.967	0.000	0.000
../06_emref/emref_2.pdb	-	7	485.846	46.419	0.000	69.724	70.296	0.005	42.722	-	-	-	7213.870	0.000	0.000	4619.050	0.000	0.000	0.000	-1.100	0.000	-575.627	0.000	0.000	0.000	0.000	6518.930	-119.316	0.000	0.000
../06_emref/emref_7.pdb	-	8	494.855	12.936	0.000	21.670	21.846	0.049	12.399	-	-	-	6583.350	0.000	0.000	3821.270	0.000	0.000	0.000	30.308	0.000	-566.366	0.000	0.000	0.000	0.000	5936.470	-80.515	0.000	0.000
../06_emref/emref_15.pdb	-	9	495.515	15.167	0.000	28.718	30.536	0.030	13.716	-	-	-	6213.280	0.000	0.000	3336.470	0.000	0.000	0.000	29.987	0.000	-296.880	0.000	0.000	0.000	0.000	5819.980	-96.424	0.000	0.000
../06_emref/emref_6.pdb	-	10	495.928	46.676	0.000	71.506	70.863	0.005	43.223	-	-	-	6938.440	0.000	0.000	4233.450	0.000	0.000	0.000	21.484	0.000	-628.530	0.000	0.000	0.000	0.000	6216.210	-93.694	0.000	0.000
../06_emref/emref_4.pdb	-	11	499.017	46.147	0.000	72.693	69.747	0.005	43.681	-	-	-	6684.260	0.000	0.000	3634.450	0.000	0.000	0.000	30.021	0.000	-568.738	0.000	0.000	0.000	0.000	6029.840	-85.682	0.000	0.000
../06_emref/emref_1.pdb	-	12	503.442	4.772	0.115	8.490	9.024	0.235	4.363	-	-	-	6981.550	0.000	0.000	4146.100	0.000	0.000	0.000	31.458	0.000	-715.550	0.000	0.000	0.000	0.000	6182.940	-83.061	0.000	0.000
../06_emref/emref_12.pdb	-	13	504.167	46.027	0.046	74.884	69.338	0.020	44.451	-	-	-	6821.840	0.000	0.000	3921.440	0.000	0.000	0.000	26.116	0.000	-410.839	0.000	0.000	0.000	0.000	6289.030	-121.965	0.000	0.000
../06_emref/emref_8.pdb	-	14	520.005	6.763	0.077	14.682	13.084	0.125	7.062	-	-	-	7344.970	0.000	0.000	4100.560	0.000	0.000	0.000	9.074	0.000	-696.377	0.000	0.000	0.000	0.000	6564.300	-84.291	0.000	0.000
