model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	352.619	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	6515.890	0.000	0.000	5859.010	0.000	0.000	0.000	-12.888	0.000	-652.994	0.000	0.000	0.000	0.000	5707.410	-155.483	0.000	0.000
../06_emref/emref_3.pdb	-	2	375.428	2.408	0.377	4.919	4.960	0.469	2.260	-	-	-	6100.480	0.000	0.000	4755.940	0.000	0.000	0.000	9.265	0.000	-658.873	0.000	0.000	0.000	0.000	5329.490	-112.110	0.000	0.000
../06_emref/emref_6.pdb	-	3	431.386	47.287	0.000	67.928	71.857	0.005	41.148	-	-	-	6793.790	0.000	0.000	4965.680	0.000	0.000	0.000	-0.669	0.000	-455.844	0.000	0.000	0.000	0.000	6181.790	-156.156	0.000	0.000
../06_emref/emref_13.pdb	-	4	434.362	47.461	0.000	68.337	72.405	0.005	41.312	-	-	-	6319.030	0.000	0.000	4179.060	0.000	0.000	0.000	9.503	0.000	-425.343	0.000	0.000	0.000	0.000	5771.710	-121.976	0.000	0.000
../06_emref/emref_4.pdb	-	5	440.403	4.609	0.160	8.995	8.939	0.242	4.430	-	-	-	6419.930	0.000	0.000	4182.120	0.000	0.000	0.000	34.817	0.000	-781.207	0.000	0.000	0.000	0.000	5558.560	-80.165	0.000	0.000
../06_emref/emref_2.pdb	-	6	446.558	47.229	0.000	69.098	71.713	0.005	41.600	-	-	-	6594.910	0.000	0.000	4291.580	0.000	0.000	0.000	27.140	0.000	-853.101	0.000	0.000	0.000	0.000	5672.350	-69.453	0.000	0.000
../06_emref/emref_5.pdb	-	7	465.142	5.484	0.131	12.467	10.972	0.173	5.817	-	-	-	6714.200	0.000	0.000	4089.850	0.000	0.000	0.000	26.290	0.000	-756.890	0.000	0.000	0.000	0.000	5876.120	-81.189	0.000	0.000
../06_emref/emref_18.pdb	-	8	486.557	14.649	0.000	32.180	31.232	0.025	14.395	-	-	-	6174.800	0.000	0.000	3104.110	0.000	0.000	0.000	10.432	0.000	-332.425	0.000	0.000	0.000	0.000	5767.500	-74.870	0.000	0.000
../06_emref/emref_10.pdb	-	9	495.360	7.757	0.057	12.323	13.645	0.139	6.914	-	-	-	6784.150	0.000	0.000	3511.270	0.000	0.000	0.000	26.125	0.000	-666.341	0.000	0.000	0.000	0.000	6041.900	-75.912	0.000	0.000
../06_emref/emref_22.pdb	-	10	498.090	47.071	0.017	68.294	71.198	0.011	41.388	-	-	-	6249.400	0.000	0.000	2892.380	0.000	0.000	0.000	5.666	0.000	-408.601	0.000	0.000	0.000	0.000	5790.000	-50.795	0.000	0.000
