model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	207.307	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4371.230	0.000	0.000	4557.820	0.000	0.000	0.000	27.902	0.000	-776.086	0.000	0.000	0.000	0.000	3492.640	-102.501	0.000	0.000
../06_emref/emref_4.pdb	-	2	229.838	33.630	0.012	70.551	58.026	0.009	37.930	-	-	-	4296.670	0.000	0.000	4242.010	0.000	0.000	0.000	14.172	0.000	-395.155	0.000	0.000	0.000	0.000	3766.540	-134.970	0.000	0.000
../06_emref/emref_18.pdb	-	3	270.319	11.629	0.000	29.390	26.260	0.031	13.665	-	-	-	4694.730	0.000	0.000	4308.090	0.000	0.000	0.000	32.538	0.000	-443.516	0.000	0.000	0.000	0.000	4108.230	-142.989	0.000	0.000
../06_emref/emref_23.pdb	-	4	275.304	34.221	0.017	65.951	55.109	0.012	39.483	-	-	-	4548.220	0.000	0.000	3661.510	0.000	0.000	0.000	12.653	0.000	-491.150	0.000	0.000	0.000	0.000	3963.130	-93.942	0.000	0.000
../06_emref/emref_7.pdb	-	5	275.678	6.478	0.104	19.111	14.879	0.107	9.578	-	-	-	4444.410	0.000	0.000	3662.640	0.000	0.000	0.000	15.711	0.000	-452.055	0.000	0.000	0.000	0.000	3898.290	-94.064	0.000	0.000
../06_emref/emref_15.pdb	-	6	276.559	19.100	0.000	46.611	37.046	0.013	23.176	-	-	-	4562.350	0.000	0.000	3091.010	0.000	0.000	0.000	7.076	0.000	-432.160	0.000	0.000	0.000	0.000	4029.870	-100.320	0.000	0.000
../06_emref/emref_13.pdb	-	7	280.013	32.616	0.017	68.825	57.377	0.011	36.482	-	-	-	4255.860	0.000	0.000	3363.580	0.000	0.000	0.000	22.139	0.000	-352.918	0.000	0.000	0.000	0.000	3805.810	-97.129	0.000	0.000
../06_emref/emref_5.pdb	-	8	280.873	38.318	0.000	70.374	64.110	0.005	41.005	-	-	-	4444.430	0.000	0.000	3554.790	0.000	0.000	0.000	25.152	0.000	-524.209	0.000	0.000	0.000	0.000	3836.340	-83.880	0.000	0.000
../06_emref/emref_12.pdb	-	9	281.397	33.905	0.006	64.326	54.465	0.008	39.095	-	-	-	4292.800	0.000	0.000	3513.530	0.000	0.000	0.000	10.829	0.000	-368.117	0.000	0.000	0.000	0.000	3839.590	-85.088	0.000	0.000
../06_emref/emref_22.pdb	-	10	287.562	37.535	0.017	66.820	61.410	0.012	39.289	-	-	-	4599.550	0.000	0.000	3465.040	0.000	0.000	0.000	12.126	0.000	-381.324	0.000	0.000	0.000	0.000	4109.970	-108.254	0.000	0.000
../06_emref/emref_2.pdb	-	11	287.891	36.046	0.006	67.151	55.229	0.008	40.882	-	-	-	4574.770	0.000	0.000	3292.960	0.000	0.000	0.000	24.110	0.000	-693.661	0.000	0.000	0.000	0.000	3826.140	-54.964	0.000	0.000
../06_emref/emref_8.pdb	-	12	295.417	37.190	0.006	67.351	59.849	0.008	40.351	-	-	-	4898.560	0.000	0.000	4050.510	0.000	0.000	0.000	28.409	0.000	-486.808	0.000	0.000	0.000	0.000	4286.260	-125.486	0.000	0.000
../06_emref/emref_20.pdb	-	13	296.261	31.027	0.000	69.350	57.698	0.006	36.464	-	-	-	4405.830	0.000	0.000	3389.600	0.000	0.000	0.000	23.193	0.000	-329.947	0.000	0.000	0.000	0.000	3974.360	-101.525	0.000	0.000
../06_emref/emref_10.pdb	-	14	299.071	37.271	0.000	75.547	65.159	0.005	42.200	-	-	-	4619.670	0.000	0.000	3662.330	0.000	0.000	0.000	23.553	0.000	-445.458	0.000	0.000	0.000	0.000	4076.860	-97.358	0.000	0.000
../06_emref/emref_21.pdb	-	15	299.222	36.085	0.000	67.842	55.684	0.006	41.430	-	-	-	4583.670	0.000	0.000	3241.350	0.000	0.000	0.000	-5.192	0.000	-295.501	0.000	0.000	0.000	0.000	4193.320	-94.852	0.000	0.000
../06_emref/emref_9.pdb	-	16	301.717	33.790	0.000	64.948	58.732	0.006	37.927	-	-	-	4497.050	0.000	0.000	3426.830	0.000	0.000	0.000	21.979	0.000	-425.704	0.000	0.000	0.000	0.000	3986.520	-84.826	0.000	0.000
../06_emref/emref_30.pdb	-	17	303.406	30.849	0.000	57.494	50.247	0.008	34.512	-	-	-	4392.830	0.000	0.000	3263.900	0.000	0.000	0.000	-2.001	0.000	-204.855	0.000	0.000	0.000	0.000	4095.070	-92.904	0.000	0.000
../06_emref/emref_6.pdb	-	18	306.603	35.329	0.012	67.890	55.888	0.010	40.744	-	-	-	4779.600	0.000	0.000	3442.820	0.000	0.000	0.000	17.544	0.000	-484.163	0.000	0.000	0.000	0.000	4203.370	-92.068	0.000	0.000
../06_emref/emref_26.pdb	-	19	316.009	7.280	0.156	21.001	15.309	0.113	10.975	-	-	-	4822.270	0.000	0.000	3104.660	0.000	0.000	0.000	5.920	0.000	-472.481	0.000	0.000	0.000	0.000	4272.150	-77.642	0.000	0.000
../06_emref/emref_3.pdb	-	20	321.730	35.826	0.000	67.006	55.226	0.006	40.722	-	-	-	4765.750	0.000	0.000	3009.400	0.000	0.000	0.000	26.693	0.000	-669.486	0.000	0.000	0.000	0.000	4048.620	-47.641	0.000	0.000
../06_emref/emref_19.pdb	-	21	326.551	32.548	0.006	69.588	57.775	0.008	36.598	-	-	-	4950.720	0.000	0.000	3673.380	0.000	0.000	0.000	5.812	0.000	-436.071	0.000	0.000	0.000	0.000	4427.530	-87.119	0.000	0.000
../06_emref/emref_11.pdb	-	22	329.110	18.705	0.000	45.504	36.422	0.013	22.498	-	-	-	4960.630	0.000	0.000	3104.910	0.000	0.000	0.000	10.127	0.000	-513.489	0.000	0.000	0.000	0.000	4372.750	-74.382	0.000	0.000
../06_emref/emref_29.pdb	-	23	337.337	36.474	0.012	67.381	55.592	0.010	41.228	-	-	-	4799.590	0.000	0.000	3125.220	0.000	0.000	0.000	8.852	0.000	-368.207	0.000	0.000	0.000	0.000	4353.550	-77.833	0.000	0.000
../06_emref/emref_25.pdb	-	24	337.671	17.734	0.000	42.662	35.163	0.015	20.361	-	-	-	4738.920	0.000	0.000	3023.660	0.000	0.000	0.000	18.435	0.000	-327.735	0.000	0.000	0.000	0.000	4322.070	-89.109	0.000	0.000
../06_emref/emref_37.pdb	-	25	338.215	19.402	0.000	63.676	47.174	0.008	32.715	-	-	-	4756.270	0.000	0.000	2663.440	0.000	0.000	0.000	13.471	0.000	-337.385	0.000	0.000	0.000	0.000	4335.480	-83.406	0.000	0.000
../06_emref/emref_28.pdb	-	26	338.966	34.107	0.023	64.556	55.024	0.014	38.945	-	-	-	4686.560	0.000	0.000	3315.780	0.000	0.000	0.000	14.116	0.000	-311.714	0.000	0.000	0.000	0.000	4293.390	-81.463	0.000	0.000
../06_emref/emref_27.pdb	-	27	341.165	35.387	0.000	75.220	62.096	0.005	42.747	-	-	-	4801.990	0.000	0.000	2890.640	0.000	0.000	0.000	23.660	0.000	-429.200	0.000	0.000	0.000	0.000	4295.930	-76.855	0.000	0.000
../06_emref/emref_34.pdb	-	28	343.851	33.025	0.000	62.584	54.068	0.007	36.892	-	-	-	4714.010	0.000	0.000	2567.560	0.000	0.000	0.000	16.833	0.000	-459.448	0.000	0.000	0.000	0.000	4202.060	-52.494	0.000	0.000
../06_emref/emref_24.pdb	-	29	346.733	16.911	0.017	37.945	31.685	0.024	17.344	-	-	-	4720.780	0.000	0.000	3181.290	0.000	0.000	0.000	23.729	0.000	-315.305	0.000	0.000	0.000	0.000	4319.460	-86.013	0.000	0.000
../06_emref/emref_32.pdb	-	30	347.386	35.208	0.000	71.872	60.148	0.005	38.647	-	-	-	4724.250	0.000	0.000	2736.690	0.000	0.000	0.000	3.554	0.000	-242.361	0.000	0.000	0.000	0.000	4401.770	-80.121	0.000	0.000
../06_emref/emref_17.pdb	-	31	348.846	33.329	0.000	61.801	53.131	0.007	37.340	-	-	-	4873.720	0.000	0.000	3427.600	0.000	0.000	0.000	11.622	0.000	-405.135	0.000	0.000	0.000	0.000	4399.470	-69.121	0.000	0.000
../06_emref/emref_16.pdb	-	32	350.347	21.915	0.000	53.529	39.663	0.010	30.289	-	-	-	5032.770	0.000	0.000	3004.770	0.000	0.000	0.000	20.279	0.000	-473.922	0.000	0.000	0.000	0.000	4480.430	-78.424	0.000	0.000
../06_emref/emref_35.pdb	-	33	350.462	12.723	0.000	29.470	23.255	0.030	16.149	-	-	-	4808.470	0.000	0.000	3229.780	0.000	0.000	0.000	8.758	0.000	-364.016	0.000	0.000	0.000	0.000	4378.120	-66.339	0.000	0.000
