model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_5.pdb	-	1	226.319	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	4038.990	0.000	0.000	3433.450	0.000	0.000	0.000	15.768	0.000	-459.214	0.000	0.000	0.000	0.000	3478.270	-101.506	0.000	0.000
../06_emref/emref_1.pdb	-	2	235.508	25.124	0.024	74.517	44.013	0.014	31.930	-	-	-	4551.770	0.000	0.000	3708.560	0.000	0.000	0.000	20.201	0.000	-777.313	0.000	0.000	0.000	0.000	3690.050	-84.407	0.000	0.000
../06_emref/emref_2.pdb	-	3	250.883	22.374	0.000	54.150	36.827	0.010	30.387	-	-	-	4414.480	0.000	0.000	3926.130	0.000	0.000	0.000	24.682	0.000	-553.181	0.000	0.000	0.000	0.000	3756.690	-104.611	0.000	0.000
../06_emref/emref_12.pdb	-	4	269.552	15.673	0.000	38.126	31.059	0.019	20.484	-	-	-	4586.780	0.000	0.000	3652.000	0.000	0.000	0.000	13.018	0.000	-525.863	0.000	0.000	0.000	0.000	3963.950	-96.971	0.000	0.000
../06_emref/emref_3.pdb	-	5	273.071	23.901	0.000	60.191	40.705	0.008	30.372	-	-	-	4442.440	0.000	0.000	3621.490	0.000	0.000	0.000	21.832	0.000	-457.476	0.000	0.000	0.000	0.000	3883.460	-101.510	0.000	0.000
../06_emref/emref_15.pdb	-	6	286.867	16.852	0.000	53.490	31.345	0.011	31.522	-	-	-	4588.010	0.000	0.000	3789.720	0.000	0.000	0.000	8.268	0.000	-428.450	0.000	0.000	0.000	0.000	4065.050	-94.512	0.000	0.000
../06_emref/emref_10.pdb	-	7	287.582	12.444	0.055	41.179	23.358	0.037	22.798	-	-	-	4465.800	0.000	0.000	3267.890	0.000	0.000	0.000	-2.341	0.000	-399.623	0.000	0.000	0.000	0.000	3989.440	-76.732	0.000	0.000
../06_emref/emref_7.pdb	-	8	291.801	21.671	0.000	55.076	36.288	0.009	30.624	-	-	-	4660.780	0.000	0.000	4228.120	0.000	0.000	0.000	20.873	0.000	-553.283	0.000	0.000	0.000	0.000	4023.000	-84.493	0.000	0.000
../06_emref/emref_16.pdb	-	9	291.938	12.258	0.000	25.041	24.194	0.039	11.380	-	-	-	4536.290	0.000	0.000	3177.360	0.000	0.000	0.000	20.884	0.000	-606.088	0.000	0.000	0.000	0.000	3868.850	-61.357	0.000	0.000
../06_emref/emref_14.pdb	-	10	292.031	23.734	0.006	63.075	43.389	0.009	32.730	-	-	-	4644.790	0.000	0.000	3618.490	0.000	0.000	0.000	31.689	0.000	-550.338	0.000	0.000	0.000	0.000	4000.380	-94.069	0.000	0.000
../06_emref/emref_4.pdb	-	11	301.003	13.853	0.000	63.436	39.897	0.010	31.103	-	-	-	4943.780	0.000	0.000	3125.590	0.000	0.000	0.000	18.674	0.000	-606.043	0.000	0.000	0.000	0.000	4246.900	-90.840	0.000	0.000
../06_emref/emref_20.pdb	-	12	306.151	22.802	0.012	66.813	39.076	0.011	26.580	-	-	-	4661.970	0.000	0.000	2800.710	0.000	0.000	0.000	12.483	0.000	-527.763	0.000	0.000	0.000	0.000	4067.230	-66.976	0.000	0.000
../06_emref/emref_21.pdb	-	13	309.840	23.450	0.037	69.634	37.573	0.018	27.496	-	-	-	4294.490	0.000	0.000	2483.300	0.000	0.000	0.000	10.752	0.000	-407.046	0.000	0.000	0.000	0.000	3838.490	-48.952	0.000	0.000
../06_emref/emref_23.pdb	-	14	311.048	18.056	0.000	42.720	37.778	0.015	19.755	-	-	-	4671.400	0.000	0.000	3248.920	0.000	0.000	0.000	13.449	0.000	-379.329	0.000	0.000	0.000	0.000	4198.390	-93.675	0.000	0.000
../06_emref/emref_9.pdb	-	15	311.919	18.469	0.000	44.059	41.134	0.014	19.205	-	-	-	4745.270	0.000	0.000	3410.880	0.000	0.000	0.000	12.090	0.000	-392.301	0.000	0.000	0.000	0.000	4256.740	-96.238	0.000	0.000
../06_emref/emref_24.pdb	-	16	313.902	26.414	0.018	74.145	41.805	0.011	29.937	-	-	-	4480.640	0.000	0.000	2942.160	0.000	0.000	0.000	18.928	0.000	-420.479	0.000	0.000	0.000	0.000	3991.160	-68.995	0.000	0.000
../06_emref/emref_27.pdb	-	17	316.012	16.350	0.000	49.350	33.543	0.012	28.145	-	-	-	4608.030	0.000	0.000	3535.330	0.000	0.000	0.000	18.250	0.000	-406.130	0.000	0.000	0.000	0.000	4120.080	-81.815	0.000	0.000
../06_emref/emref_22.pdb	-	18	317.300	18.777	0.000	56.875	36.454	0.009	33.142	-	-	-	4853.680	0.000	0.000	3340.780	0.000	0.000	0.000	11.531	0.000	-463.074	0.000	0.000	0.000	0.000	4303.620	-86.985	0.000	0.000
../06_emref/emref_18.pdb	-	19	318.571	15.891	0.037	52.457	29.615	0.024	29.484	-	-	-	4786.820	0.000	0.000	3147.390	0.000	0.000	0.000	-0.441	0.000	-420.876	0.000	0.000	0.000	0.000	4290.450	-75.496	0.000	0.000
../06_emref/emref_33.pdb	-	20	320.477	17.036	0.000	54.039	31.824	0.011	31.729	-	-	-	4859.310	0.000	0.000	3548.860	0.000	0.000	0.000	14.221	0.000	-492.286	0.000	0.000	0.000	0.000	4285.810	-81.219	0.000	0.000
../06_emref/emref_30.pdb	-	21	329.327	16.805	0.000	47.028	36.502	0.013	24.971	-	-	-	4672.360	0.000	0.000	2925.360	0.000	0.000	0.000	0.664	0.000	-326.488	0.000	0.000	0.000	0.000	4272.600	-73.275	0.000	0.000
../06_emref/emref_36.pdb	-	22	331.561	25.716	0.000	63.869	42.774	0.007	31.576	-	-	-	4917.400	0.000	0.000	3830.460	0.000	0.000	0.000	24.365	0.000	-390.338	0.000	0.000	0.000	0.000	4420.590	-106.477	0.000	0.000
../06_emref/emref_6.pdb	-	23	332.130	24.786	0.000	78.289	52.695	0.005	27.290	-	-	-	4847.370	0.000	0.000	3568.640	0.000	0.000	0.000	18.984	0.000	-498.830	0.000	0.000	0.000	0.000	4276.720	-71.825	0.000	0.000
../06_emref/emref_41.pdb	-	24	332.645	16.764	0.000	46.779	36.340	0.013	24.803	-	-	-	4713.600	0.000	0.000	2791.410	0.000	0.000	0.000	4.760	0.000	-309.936	0.000	0.000	0.000	0.000	4322.170	-81.487	0.000	0.000
../06_emref/emref_11.pdb	-	25	334.213	6.022	0.116	20.771	15.888	0.106	9.586	-	-	-	5089.510	0.000	0.000	3573.460	0.000	0.000	0.000	23.055	0.000	-477.927	0.000	0.000	0.000	0.000	4509.370	-102.208	0.000	0.000
../06_emref/emref_8.pdb	-	26	334.876	18.980	0.000	48.975	31.518	0.012	27.244	-	-	-	5005.770	0.000	0.000	3754.850	0.000	0.000	0.000	14.735	0.000	-378.146	0.000	0.000	0.000	0.000	4522.820	-104.807	0.000	0.000
../06_emref/emref_43.pdb	-	27	334.893	14.056	0.024	43.764	28.716	0.024	24.133	-	-	-	4671.600	0.000	0.000	3187.030	0.000	0.000	0.000	8.566	0.000	-293.584	0.000	0.000	0.000	0.000	4295.900	-82.116	0.000	0.000
../06_emref/emref_42.pdb	-	28	335.090	11.320	0.006	28.395	17.617	0.035	16.229	-	-	-	4766.400	0.000	0.000	3114.080	0.000	0.000	0.000	9.857	0.000	-342.138	0.000	0.000	0.000	0.000	4341.280	-82.979	0.000	0.000
../06_emref/emref_37.pdb	-	29	335.959	26.184	0.000	63.754	43.151	0.007	29.288	-	-	-	4760.240	0.000	0.000	2830.200	0.000	0.000	0.000	12.948	0.000	-403.167	0.000	0.000	0.000	0.000	4284.700	-72.379	0.000	0.000
../06_emref/emref_26.pdb	-	30	336.421	13.644	0.000	32.974	31.731	0.025	13.606	-	-	-	4877.720	0.000	0.000	3634.400	0.000	0.000	0.000	11.363	0.000	-317.755	0.000	0.000	0.000	0.000	4460.810	-99.163	0.000	0.000
../06_emref/emref_17.pdb	-	31	341.241	24.620	0.012	66.906	41.224	0.011	29.645	-	-	-	4713.660	0.000	0.000	3761.170	0.000	0.000	0.000	26.986	0.000	-433.502	0.000	0.000	0.000	0.000	4209.740	-70.411	0.000	0.000
../06_emref/emref_32.pdb	-	32	344.463	25.717	0.000	76.335	45.554	0.005	33.824	-	-	-	4678.260	0.000	0.000	2971.500	0.000	0.000	0.000	16.127	0.000	-318.916	0.000	0.000	0.000	0.000	4283.630	-75.707	0.000	0.000
../06_emref/emref_28.pdb	-	33	349.574	18.033	0.000	67.590	46.596	0.007	34.647	-	-	-	4917.640	0.000	0.000	2509.540	0.000	0.000	0.000	23.783	0.000	-451.141	0.000	0.000	0.000	0.000	4390.750	-75.745	0.000	0.000
../06_emref/emref_39.pdb	-	34	351.680	18.158	0.000	33.598	33.595	0.022	16.724	-	-	-	4545.700	0.000	0.000	2168.310	0.000	0.000	0.000	2.455	0.000	-300.937	0.000	0.000	0.000	0.000	4199.600	-45.157	0.000	0.000
../06_emref/emref_40.pdb	-	35	352.990	25.591	0.000	64.145	47.875	0.007	28.795	-	-	-	4968.350	0.000	0.000	3443.730	0.000	0.000	0.000	10.538	0.000	-283.129	0.000	0.000	0.000	0.000	4587.470	-97.757	0.000	0.000
../06_emref/emref_13.pdb	-	36	353.925	15.475	0.000	39.183	31.727	0.018	20.192	-	-	-	5000.760	0.000	0.000	3634.300	0.000	0.000	0.000	13.813	0.000	-483.298	0.000	0.000	0.000	0.000	4454.150	-63.304	0.000	0.000
../06_emref/emref_31.pdb	-	37	354.536	14.689	0.024	43.730	30.923	0.024	23.766	-	-	-	4939.110	0.000	0.000	3419.400	0.000	0.000	0.000	21.667	0.000	-378.712	0.000	0.000	0.000	0.000	4475.100	-85.299	0.000	0.000
../06_emref/emref_44.pdb	-	38	359.919	25.891	0.000	67.445	48.653	0.006	32.651	-	-	-	4965.640	0.000	0.000	3004.800	0.000	0.000	0.000	13.095	0.000	-333.632	0.000	0.000	0.000	0.000	4548.990	-83.014	0.000	0.000
../06_emref/emref_29.pdb	-	39	363.248	16.397	0.000	50.570	29.554	0.012	29.514	-	-	-	4937.830	0.000	0.000	3291.240	0.000	0.000	0.000	18.732	0.000	-480.112	0.000	0.000	0.000	0.000	4404.480	-53.245	0.000	0.000
../06_emref/emref_25.pdb	-	40	366.084	22.388	0.000	64.730	40.596	0.007	30.390	-	-	-	4958.680	0.000	0.000	3011.740	0.000	0.000	0.000	20.700	0.000	-460.566	0.000	0.000	0.000	0.000	4439.750	-58.370	0.000	0.000
../06_emref/emref_34.pdb	-	41	367.206	21.598	0.012	61.515	37.414	0.012	30.965	-	-	-	4783.030	0.000	0.000	2768.020	0.000	0.000	0.000	9.247	0.000	-348.271	0.000	0.000	0.000	0.000	4384.070	-50.690	0.000	0.000
../06_emref/emref_38.pdb	-	42	367.717	20.899	0.000	61.843	48.352	0.008	32.882	-	-	-	5019.500	0.000	0.000	2828.280	0.000	0.000	0.000	19.029	0.000	-388.489	0.000	0.000	0.000	0.000	4555.450	-75.565	0.000	0.000
../06_emref/emref_35.pdb	-	43	372.349	17.451	0.000	55.696	32.236	0.010	32.485	-	-	-	5061.170	0.000	0.000	2915.210	0.000	0.000	0.000	7.054	0.000	-375.317	0.000	0.000	0.000	0.000	4620.100	-65.759	0.000	0.000
../06_emref/emref_19.pdb	-	44	374.700	12.069	0.000	22.646	21.415	0.046	11.279	-	-	-	5182.050	0.000	0.000	2922.260	0.000	0.000	0.000	11.322	0.000	-465.802	0.000	0.000	0.000	0.000	4654.580	-61.666	0.000	0.000
../06_emref/emref_48.pdb	-	45	388.990	15.768	0.000	38.447	37.248	0.019	17.849	-	-	-	4891.600	0.000	0.000	2773.840	0.000	0.000	0.000	16.471	0.000	-320.448	0.000	0.000	0.000	0.000	4518.600	-52.551	0.000	0.000
../06_emref/emref_49.pdb	-	46	389.137	17.684	0.000	47.707	41.822	0.013	22.629	-	-	-	4912.860	0.000	0.000	2218.880	0.000	0.000	0.000	5.544	0.000	-278.870	0.000	0.000	0.000	0.000	4582.070	-51.919	0.000	0.000
../06_emref/emref_47.pdb	-	47	395.421	21.220	0.000	55.847	47.956	0.009	28.528	-	-	-	4933.520	0.000	0.000	2567.440	0.000	0.000	0.000	10.618	0.000	-254.993	0.000	0.000	0.000	0.000	4620.980	-57.551	0.000	0.000
../06_emref/emref_45.pdb	-	48	398.674	22.472	0.000	56.650	37.310	0.009	31.023	-	-	-	5071.160	0.000	0.000	2942.130	0.000	0.000	0.000	15.518	0.000	-338.220	0.000	0.000	0.000	0.000	4676.620	-56.316	0.000	0.000
../06_emref/emref_50.pdb	-	49	400.790	13.128	0.000	33.247	23.371	0.025	17.248	-	-	-	4929.840	0.000	0.000	2426.260	0.000	0.000	0.000	-6.018	0.000	-210.948	0.000	0.000	0.000	0.000	4674.900	-43.986	0.000	0.000
../06_emref/emref_46.pdb	-	50	419.193	18.032	0.000	47.446	41.875	0.013	22.512	-	-	-	5187.800	0.000	0.000	2703.660	0.000	0.000	0.000	20.372	0.000	-375.878	0.000	0.000	0.000	0.000	4767.140	-44.783	0.000	0.000
