model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_2.pdb	-	1	205.508	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	3777.800	0.000	0.000	3418.330	0.000	0.000	0.000	22.069	0.000	-387.648	0.000	0.000	0.000	0.000	3273.340	-116.812	0.000	0.000
../06_emref/emref_1.pdb	-	2	231.279	3.161	0.313	13.070	8.303	0.265	3.841	-	-	-	4277.310	0.000	0.000	4081.740	0.000	0.000	0.000	22.998	0.000	-484.286	0.000	0.000	0.000	0.000	3670.430	-122.593	0.000	0.000
../06_emref/emref_18.pdb	-	3	259.452	17.109	0.000	31.300	35.698	0.025	16.368	-	-	-	3831.240	0.000	0.000	3172.540	0.000	0.000	0.000	13.331	0.000	-308.852	0.000	0.000	0.000	0.000	3447.160	-75.233	0.000	0.000
../06_emref/emref_4.pdb	-	4	267.113	15.447	0.000	27.926	27.884	0.031	15.383	-	-	-	3987.780	0.000	0.000	3013.000	0.000	0.000	0.000	12.870	0.000	-352.914	0.000	0.000	0.000	0.000	3560.910	-73.952	0.000	0.000
../06_emref/emref_5.pdb	-	5	267.252	14.255	0.000	40.290	30.095	0.018	17.216	-	-	-	4114.350	0.000	0.000	3040.240	0.000	0.000	0.000	11.451	0.000	-351.439	0.000	0.000	0.000	0.000	3677.560	-85.347	0.000	0.000
../06_emref/emref_14.pdb	-	6	270.767	26.304	0.000	93.669	39.803	0.004	34.334	-	-	-	4139.610	0.000	0.000	2962.930	0.000	0.000	0.000	17.885	0.000	-342.753	0.000	0.000	0.000	0.000	3704.330	-92.528	0.000	0.000
../06_emref/emref_16.pdb	-	7	277.325	8.354	0.038	27.382	14.689	0.052	10.652	-	-	-	4238.200	0.000	0.000	3486.730	0.000	0.000	0.000	25.320	0.000	-460.972	0.000	0.000	0.000	0.000	3697.600	-79.621	0.000	0.000
../06_emref/emref_12.pdb	-	8	285.179	11.932	0.000	59.837	32.545	0.012	25.205	-	-	-	4220.870	0.000	0.000	2948.660	0.000	0.000	0.000	4.979	0.000	-359.286	0.000	0.000	0.000	0.000	3791.550	-70.030	0.000	0.000
../06_emref/emref_13.pdb	-	9	289.155	9.704	0.000	47.296	28.347	0.018	20.600	-	-	-	4127.620	0.000	0.000	2807.440	0.000	0.000	0.000	13.540	0.000	-286.129	0.000	0.000	0.000	0.000	3761.570	-79.921	0.000	0.000
../06_emref/emref_20.pdb	-	10	290.147	14.885	0.000	30.632	28.465	0.027	15.445	-	-	-	4135.220	0.000	0.000	2784.560	0.000	0.000	0.000	16.888	0.000	-343.455	0.000	0.000	0.000	0.000	3720.190	-71.572	0.000	0.000
../06_emref/emref_6.pdb	-	11	291.351	24.962	0.008	88.114	39.682	0.007	43.622	-	-	-	4606.470	0.000	0.000	3768.790	0.000	0.000	0.000	19.945	0.000	-494.268	0.000	0.000	0.000	0.000	4021.820	-90.388	0.000	0.000
../06_emref/emref_26.pdb	-	12	293.476	23.616	0.000	88.102	41.927	0.004	43.888	-	-	-	4410.480	0.000	0.000	3070.330	0.000	0.000	0.000	15.961	0.000	-291.376	0.000	0.000	0.000	0.000	4013.850	-105.258	0.000	0.000
../06_emref/emref_21.pdb	-	13	297.751	26.063	0.008	107.178	47.877	0.006	34.409	-	-	-	4278.730	0.000	0.000	3203.700	0.000	0.000	0.000	12.934	0.000	-305.438	0.000	0.000	0.000	0.000	3891.320	-81.969	0.000	0.000
../06_emref/emref_10.pdb	-	14	300.024	9.868	0.099	30.456	22.991	0.065	13.332	-	-	-	4372.860	0.000	0.000	2886.660	0.000	0.000	0.000	15.374	0.000	-382.180	0.000	0.000	0.000	0.000	3914.470	-76.200	0.000	0.000
../06_emref/emref_32.pdb	-	15	301.671	13.522	0.000	46.315	26.968	0.015	16.317	-	-	-	4326.170	0.000	0.000	2741.030	0.000	0.000	0.000	6.995	0.000	-316.105	0.000	0.000	0.000	0.000	3935.340	-74.720	0.000	0.000
../06_emref/emref_9.pdb	-	16	304.675	10.537	0.099	22.552	19.127	0.081	13.354	-	-	-	4389.090	0.000	0.000	3270.270	0.000	0.000	0.000	24.384	0.000	-426.123	0.000	0.000	0.000	0.000	3889.570	-73.394	0.000	0.000
../06_emref/emref_7.pdb	-	17	308.187	10.690	0.107	22.840	19.343	0.083	13.481	-	-	-	4408.180	0.000	0.000	3060.850	0.000	0.000	0.000	25.870	0.000	-468.695	0.000	0.000	0.000	0.000	3874.720	-64.762	0.000	0.000
../06_emref/emref_28.pdb	-	18	313.091	25.965	0.000	91.150	47.743	0.004	34.934	-	-	-	4563.960	0.000	0.000	3084.590	0.000	0.000	0.000	19.384	0.000	-402.175	0.000	0.000	0.000	0.000	4079.530	-82.254	0.000	0.000
../06_emref/emref_27.pdb	-	19	314.524	14.373	0.000	39.931	30.451	0.018	17.261	-	-	-	4612.410	0.000	0.000	3089.790	0.000	0.000	0.000	9.100	0.000	-339.392	0.000	0.000	0.000	0.000	4185.080	-87.939	0.000	0.000
../06_emref/emref_23.pdb	-	20	315.499	24.129	0.008	89.228	38.524	0.007	42.056	-	-	-	4573.550	0.000	0.000	3106.830	0.000	0.000	0.000	14.093	0.000	-405.617	0.000	0.000	0.000	0.000	4093.110	-74.826	0.000	0.000
../06_emref/emref_37.pdb	-	21	318.582	28.106	0.000	86.240	46.424	0.004	41.915	-	-	-	4524.680	0.000	0.000	2833.450	0.000	0.000	0.000	5.547	0.000	-327.045	0.000	0.000	0.000	0.000	4123.610	-74.024	0.000	0.000
../06_emref/emref_17.pdb	-	22	323.699	27.927	0.000	107.690	45.872	0.003	42.160	-	-	-	4509.110	0.000	0.000	2955.370	0.000	0.000	0.000	4.064	0.000	-348.799	0.000	0.000	0.000	0.000	4098.790	-61.517	0.000	0.000
../06_emref/emref_11.pdb	-	23	324.051	10.199	0.092	26.928	20.421	0.068	13.074	-	-	-	4582.170	0.000	0.000	3192.910	0.000	0.000	0.000	7.364	0.000	-339.493	0.000	0.000	0.000	0.000	4169.040	-73.631	0.000	0.000
../06_emref/emref_30.pdb	-	24	325.816	7.297	0.099	23.482	14.974	0.085	9.712	-	-	-	4634.300	0.000	0.000	2766.850	0.000	0.000	0.000	12.852	0.000	-368.524	0.000	0.000	0.000	0.000	4189.010	-76.761	0.000	0.000
../06_emref/emref_44.pdb	-	25	327.739	21.531	0.000	76.840	37.867	0.006	39.401	-	-	-	4539.110	0.000	0.000	2375.370	0.000	0.000	0.000	7.211	0.000	-378.448	0.000	0.000	0.000	0.000	4102.970	-57.694	0.000	0.000
../06_emref/emref_29.pdb	-	26	329.717	14.811	0.000	29.722	27.713	0.029	15.605	-	-	-	4590.020	0.000	0.000	3081.320	0.000	0.000	0.000	16.749	0.000	-427.402	0.000	0.000	0.000	0.000	4102.060	-60.554	0.000	0.000
../06_emref/emref_34.pdb	-	27	331.420	16.977	0.015	43.795	31.676	0.020	24.348	-	-	-	4405.690	0.000	0.000	2078.690	0.000	0.000	0.000	15.571	0.000	-379.194	0.000	0.000	0.000	0.000	3977.620	-48.881	0.000	0.000
../06_emref/emref_19.pdb	-	28	332.547	10.072	0.084	27.083	20.200	0.065	12.946	-	-	-	4333.990	0.000	0.000	2725.310	0.000	0.000	0.000	18.392	0.000	-279.206	0.000	0.000	0.000	0.000	3991.390	-63.403	0.000	0.000
../06_emref/emref_8.pdb	-	29	332.714	26.054	0.015	90.602	38.979	0.009	40.332	-	-	-	4587.150	0.000	0.000	2960.600	0.000	0.000	0.000	20.036	0.000	-438.423	0.000	0.000	0.000	0.000	4090.380	-58.352	0.000	0.000
../06_emref/emref_24.pdb	-	30	336.815	10.489	0.000	48.588	32.837	0.017	21.155	-	-	-	4801.020	0.000	0.000	3477.980	0.000	0.000	0.000	14.134	0.000	-366.667	0.000	0.000	0.000	0.000	4350.270	-84.088	0.000	0.000
../06_emref/emref_36.pdb	-	31	340.468	14.708	0.000	51.056	34.187	0.012	21.130	-	-	-	4750.320	0.000	0.000	2890.080	0.000	0.000	0.000	7.857	0.000	-345.186	0.000	0.000	0.000	0.000	4331.750	-73.384	0.000	0.000
../06_emref/emref_22.pdb	-	32	344.997	11.264	0.000	52.164	33.296	0.014	21.746	-	-	-	4551.670	0.000	0.000	3022.170	0.000	0.000	0.000	15.323	0.000	-403.789	0.000	0.000	0.000	0.000	4103.150	-44.735	0.000	0.000
../06_emref/emref_15.pdb	-	33	345.144	26.593	0.000	91.480	49.207	0.004	34.009	-	-	-	4707.810	0.000	0.000	2938.090	0.000	0.000	0.000	26.777	0.000	-397.052	0.000	0.000	0.000	0.000	4237.750	-73.004	0.000	0.000
../06_emref/emref_25.pdb	-	34	347.320	12.288	0.000	34.101	27.152	0.024	15.157	-	-	-	4562.380	0.000	0.000	2605.820	0.000	0.000	0.000	11.794	0.000	-300.834	0.000	0.000	0.000	0.000	4201.000	-60.545	0.000	0.000
../06_emref/emref_35.pdb	-	35	348.905	27.703	0.000	81.769	44.546	0.005	42.372	-	-	-	4644.240	0.000	0.000	2487.220	0.000	0.000	0.000	5.386	0.000	-218.281	0.000	0.000	0.000	0.000	4348.710	-77.249	0.000	0.000
../06_emref/emref_40.pdb	-	36	349.718	24.688	0.000	96.837	40.258	0.004	42.073	-	-	-	4653.160	0.000	0.000	2554.490	0.000	0.000	0.000	10.969	0.000	-290.359	0.000	0.000	0.000	0.000	4294.310	-68.496	0.000	0.000
../06_emref/emref_41.pdb	-	37	350.423	13.976	0.000	80.134	39.187	0.008	26.354	-	-	-	4694.970	0.000	0.000	2538.990	0.000	0.000	0.000	5.044	0.000	-359.541	0.000	0.000	0.000	0.000	4283.220	-52.210	0.000	0.000
../06_emref/emref_31.pdb	-	38	351.276	23.647	0.000	82.373	39.162	0.005	40.128	-	-	-	4922.240	0.000	0.000	2934.430	0.000	0.000	0.000	14.635	0.000	-440.267	0.000	0.000	0.000	0.000	4414.440	-67.529	0.000	0.000
../06_emref/emref_3.pdb	-	39	355.014	11.915	0.000	42.679	23.385	0.018	13.580	-	-	-	4825.550	0.000	0.000	2984.730	0.000	0.000	0.000	18.842	0.000	-539.512	0.000	0.000	0.000	0.000	4247.560	-38.480	0.000	0.000
../06_emref/emref_33.pdb	-	40	364.248	25.017	0.000	89.794	40.547	0.004	44.073	-	-	-	4836.940	0.000	0.000	2999.270	0.000	0.000	0.000	7.222	0.000	-447.121	0.000	0.000	0.000	0.000	4352.570	-37.244	0.000	0.000
../06_emref/emref_46.pdb	-	41	368.046	14.142	0.000	28.736	31.069	0.031	13.895	-	-	-	4727.840	0.000	0.000	2202.790	0.000	0.000	0.000	19.905	0.000	-362.762	0.000	0.000	0.000	0.000	4312.990	-52.090	0.000	0.000
../06_emref/emref_38.pdb	-	42	369.085	10.830	0.000	57.444	30.081	0.013	24.066	-	-	-	4754.600	0.000	0.000	2518.980	0.000	0.000	0.000	5.103	0.000	-277.370	0.000	0.000	0.000	0.000	4421.230	-56.004	0.000	0.000
../06_emref/emref_43.pdb	-	43	369.395	14.890	0.000	50.440	35.082	0.013	21.008	-	-	-	4702.020	0.000	0.000	2564.220	0.000	0.000	0.000	6.120	0.000	-179.787	0.000	0.000	0.000	0.000	4451.270	-70.969	0.000	0.000
../06_emref/emref_39.pdb	-	44	370.456	6.800	0.000	27.145	22.614	0.045	12.071	-	-	-	4555.670	0.000	0.000	2261.460	0.000	0.000	0.000	16.709	0.000	-241.717	0.000	0.000	0.000	0.000	4260.470	-53.477	0.000	0.000
../06_emref/emref_45.pdb	-	45	376.472	8.218	0.046	35.766	25.077	0.044	14.156	-	-	-	4733.610	0.000	0.000	2714.740	0.000	0.000	0.000	18.170	0.000	-322.774	0.000	0.000	0.000	0.000	4360.330	-50.504	0.000	0.000
../06_emref/emref_48.pdb	-	46	377.754	15.150	0.000	34.856	31.236	0.022	16.717	-	-	-	4844.440	0.000	0.000	2602.470	0.000	0.000	0.000	12.978	0.000	-305.197	0.000	0.000	0.000	0.000	4480.610	-58.629	0.000	0.000
