model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../06_emref/emref_1.pdb	-	1	75.948	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	2951.590	0.000	0.000	4112.770	0.000	0.000	0.000	12.789	0.000	-598.907	0.000	0.000	0.000	0.000	2240.470	-112.219	0.000	0.000
../06_emref/emref_5.pdb	-	2	111.360	29.843	0.000	75.939	63.452	0.005	31.433	-	-	-	3390.280	0.000	0.000	3677.760	0.000	0.000	0.000	12.650	0.000	-619.163	0.000	0.000	0.000	0.000	2654.630	-116.485	0.000	0.000
../06_emref/emref_4.pdb	-	3	113.771	30.456	0.018	75.557	50.855	0.011	30.407	-	-	-	3083.940	0.000	0.000	3717.400	0.000	0.000	0.000	13.212	0.000	-502.937	0.000	0.000	0.000	0.000	2473.760	-107.247	0.000	0.000
../06_emref/emref_3.pdb	-	4	116.141	20.932	0.000	50.424	41.314	0.011	21.604	-	-	-	2888.900	0.000	0.000	3162.810	0.000	0.000	0.000	13.852	0.000	-550.250	0.000	0.000	0.000	0.000	2262.100	-76.550	0.000	0.000
../06_emref/emref_2.pdb	-	5	120.058	29.930	0.012	88.427	58.949	0.008	28.634	-	-	-	3237.610	0.000	0.000	3619.510	0.000	0.000	0.000	28.484	0.000	-645.683	0.000	0.000	0.000	0.000	2488.870	-103.051	0.000	0.000
../06_emref/emref_6.pdb	-	6	125.038	23.270	0.000	50.999	43.938	0.010	24.610	-	-	-	3012.010	0.000	0.000	3551.460	0.000	0.000	0.000	10.626	0.000	-484.501	0.000	0.000	0.000	0.000	2437.620	-89.889	0.000	0.000
../06_emref/emref_8.pdb	-	7	142.280	30.956	0.000	98.900	65.496	0.003	31.299	-	-	-	2865.830	0.000	0.000	3321.550	0.000	0.000	0.000	19.316	0.000	-415.570	0.000	0.000	0.000	0.000	2369.760	-80.505	0.000	0.000
../06_emref/emref_9.pdb	-	8	146.683	32.771	0.000	88.944	65.106	0.004	30.533	-	-	-	3181.270	0.000	0.000	3271.670	0.000	0.000	0.000	23.868	0.000	-636.036	0.000	0.000	0.000	0.000	2477.130	-68.105	0.000	0.000
../06_emref/emref_12.pdb	-	9	148.786	30.431	0.000	87.017	53.965	0.004	29.934	-	-	-	3063.140	0.000	0.000	3235.960	0.000	0.000	0.000	-0.823	0.000	-354.990	0.000	0.000	0.000	0.000	2622.440	-85.707	0.000	0.000
../06_emref/emref_22.pdb	-	10	159.609	12.657	0.000	25.094	21.935	0.039	13.355	-	-	-	2997.220	0.000	0.000	3208.140	0.000	0.000	0.000	11.332	0.000	-334.945	0.000	0.000	0.000	0.000	2577.820	-84.456	0.000	0.000
